username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PierreAntROY;2018-12-20 05:03;0;1;"Merci pour votre accueil et les échanges très intéressants. À bientôt pour la suite ;)";;;;"1075693221521620993";https://twitter.com/PierreAntROY/status/1075693221521620993
askr_ai;2018-12-19 13:21;0;2;"Ce fut un plaisir de se présenter à #CEBPL ! #askrpower";;;#CEBPL #askrpower;"1075456131374428165";https://twitter.com/askr_ai/status/1075456131374428165
LiseBachelier;2018-12-19 11:32;5;12;"Belles découvertes lors de la notre #startup #Pitch à la #CEBPL avec le pitch de Matthieu Chabeaud CEO de @askr_ai #chatbot #AI #decisionnel et @PierreAntROY cofondateur de @crafty_im #cartographie #compétence";;@askr_ai @PierreAntROY @crafty_im;#startup #Pitch #CEBPL #chatbot #AI #decisionnel #cartographie #comp;"1075428704057286656";https://twitter.com/LiseBachelier/status/1075428704057286656
crafty_im;2018-11-28 07:59;5;6;"Un très bel article de Mélanie Ciussi et Dominique Vian de @SKEMA_BS sur la détection des talents. La connaissance des #compétences des #collaborateurs est la première étape pour les accompagner dans leurs épanouissements. https:// theconversation.com/detecter-les-t alents-un-premier-pas-vers-une-societe-plus-humaine-103798 …";;@SKEMA_BS;#comp #collaborateurs;"1067764842344448002";https://twitter.com/crafty_im/status/1067764842344448002
PViotCoster;2018-11-15 12:13;0;0;"C'est pour vous @crafty_im ! https:// twitter.com/richer_martin/ status/1060492082958213120 …";;@crafty_im;;"1063117793988620293";https://twitter.com/PViotCoster/status/1063117793988620293
LeLabRH;2018-11-13 05:39;2;6;". @crafty_im : Et si les compétences de demain étaient déjà dans votre entreprise ? Détectez vos talents avec Crafty ! Plus d’infos http:// crafty.im pic.twitter.com/zckqh635tM";;@crafty_im;;"1062293934263676928";https://twitter.com/LeLabRH/status/1062293934263676928
crafty_im;2018-11-13 04:25;1;1;"Le #SalonduManagement c'est parti ! Rencontre avec @PViotCoster et discussions passionnantes autour des #competences des collaborateurs. pic.twitter.com/H5DB8wN28H";;@PViotCoster;#SalonduManagement #competences;"1062275157065113600";https://twitter.com/crafty_im/status/1062275157065113600
crafty_im;2018-11-12 11:20;1;5;"Nous y présenterons notre outils de cartographie de compétences";;;;"1062017279582441473";https://twitter.com/crafty_im/status/1062017279582441473
crafty_im;2018-11-12 09:38;1;2;"[J-1] 13 et 14 novembre se déroule le #SalonduManagement . Venez nous rencontrer et discutons #cartographie des #compétences . @lsdm2018 pic.twitter.com/TBvb7mNTkc";;@lsdm2018;#SalonduManagement #cartographie #comp;"1061991677437579266";https://twitter.com/crafty_im/status/1061991677437579266
Jobsferic;2018-10-31 12:07;2;6;"Revue de presse @LeLabRH octobre 2018 @kumullus_video @microdon_fr @Redip_SARL @teamstarterapp @RandomLunchFr @CognitiveMatchB @ContactDigixit @SwaPositive_com @GympassFrance @crafty_im @Bsit_app @iNNERSHiP_News http://www. jobsferic.fr/1day2startups- revue-de-presse-du-lab-rh-octobre-2018/ …";;@LeLabRH @kumullus_video @microdon_fr @Redip_SARL @teamstarterapp @RandomLunchFr @CognitiveMatchB @ContactDigixit @SwaPositive_com @GympassFrance @crafty_im @Bsit_app @iNNERSHiP_News;;"1057665248868687872";https://twitter.com/Jobsferic/status/1057665248868687872
Charlotte_Dvl;2018-10-31 09:45;0;0;"Intéressé·e par les #rh , la #gestion des #compétences ? Profitez du #salon @Inovdia pour rencontrer @crafty_im - stand G7 ! Infos et inscriptions sur http://www. inovdia.fr";;@Inovdia @crafty_im;#rh #gestion #comp #salon;"1057629512807047168";https://twitter.com/Charlotte_Dvl/status/1057629512807047168
crafty_im;2018-10-17 05:04;0;1;"Demain, venez-nous rencontrer à #Rouen pour le #DeclicDay ! pic.twitter.com/a5MRXDsbY5";;;#Rouen #DeclicDay;"1052485485581492225";https://twitter.com/crafty_im/status/1052485485581492225
