username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WebEngage;2018-11-21 22:30;2;3;"Super excited to have @Creditmate co-founder & CEO @jonsonbill at #EngageMint 2018 Bangalore! Catch him in full-swing at the #Fintech panel discussion with @Nihit & @wanderer08 More details coming soon! Registrations open - https:// goo.gl/34kRRL Plz help us spread the word pic.twitter.com/3VArUvzwdx";;@Creditmate @jonsonbill @Nihit @wanderer08;#EngageMint #Fintech;"1065447316730114048";https://twitter.com/WebEngage/status/1065447316730114048
ThePassageMedia;2018-08-29 10:55;0;0;"https:// thepassage.cc/krazybee-stops -offering-two-wheeler-loans/ … KrazyBee Stops Offering Two-Wheeler Loans @krazybeeindia #WanHong @XiaomiIndia @xiaomi @creditmate #college #Students pic.twitter.com/C0TeOqkhxq";;@krazybeeindia @XiaomiIndia @xiaomi @creditmate;#WanHong #college #Students;"1034816858963079170";https://twitter.com/ThePassageMedia/status/1034816858963079170
nxtstartupIN;2018-06-06 08:34;0;0;"Paytm To Invest $10 Million In Digital Lending Platform CreditMate https:// nxtstartup.in/business-news/ paytm-invest-10-million-digital-lending-platform-creditmate … @creditmate @Paytm #LendingPlatform pic.twitter.com/OvMGBpzK1h";;@creditmate @Paytm;#LendingPlatform;"1004340809573863424";https://twitter.com/nxtstartupIN/status/1004340809573863424
StartNExcel;2018-06-06 02:19;1;1;"Creditmate ( @creditmate ) aims to raise $5-$10Mn from @Paytm Read More: http:// startnexcel.com/blog/creditmat e-aims-to-raise-5-10mn-from-paytm/ … #Startup #StartupIndia #Funding #StartupNews pic.twitter.com/7WE453AXKM";;@creditmate @Paytm;#Startup #StartupIndia #Funding #StartupNews;"1004246371266777088";https://twitter.com/StartNExcel/status/1004246371266777088
sangwan_sujata;2018-06-05 09:51;0;0;". @Paytm set to #invest Rs 67 Cr in #online #lending #startup @creditmate #fundingtweets #StartupIndia #startupnews";;@Paytm @creditmate;#invest #online #lending #startup #fundingtweets #StartupIndia #startupnews;"1003997841419689985";https://twitter.com/sangwan_sujata/status/1003997841419689985
zyoin_jobs;2018-06-05 08:16;0;0;"@Paytm to invest $10Mn in digital lending startup @creditmate https:// inc42.com/buzz/paytm-to- invest-10-mn-in-digital-lending-startup-creditmate/ … pic.twitter.com/JNQli6Caii";;@Paytm @creditmate;;"1003973889578242048";https://twitter.com/zyoin_jobs/status/1003973889578242048
Newskart;2018-06-05 06:37;0;0;"Digital Payment Firm Paytm To Infuse Rs 67 Crore In Lending Startup CreditMate- http://www. newskart.com/digital-paymen t-firm-paytm-to-infuse-rs-67-crore-lending-startup-creditmate/ … #Digital #PaymentFirm #Paytm #LendingStartup #CreditMate #India #DigitalIndia @Paytm @creditmate pic.twitter.com/mUGxE82xQ8";;@Paytm @creditmate;#Digital #PaymentFirm #Paytm #LendingStartup #CreditMate #India #DigitalIndia;"1003948985235791873";https://twitter.com/Newskart/status/1003948985235791873
entrackr;2018-06-05 04:58;2;1;"Paytm to invest $5-10 million in two wheeler-focused lending platform CreditMate @Paytm @creditmate #lending #startup #funding https:// entrackr.com/2018/06/paytm- fund-creditmate/ …";;@Paytm @creditmate;#lending #startup #funding;"1003924010369986560";https://twitter.com/entrackr/status/1003924010369986560
Inc42;2018-06-05 01:46;0;1;"Congratulations @creditmate ... @Paytm https:// inc42.com/buzz/paytm-to- invest-10-mn-in-digital-lending-startup-creditmate/?utm_source=twitter&utm_medium=social&utm_campaign=inc42-official-page …";;@creditmate @Paytm;;"1003875737386930176";https://twitter.com/Inc42/status/1003875737386930176
ET_RISE;2018-06-05 01:30;2;1;". @creditmate has disbursed around 10,000 loans after having received more than 15,000 applications. @Paytm https:// bit.ly/2sHgcuh";;@creditmate @Paytm;;"1003871538066571264";https://twitter.com/ET_RISE/status/1003871538066571264
