username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MeghanMargaret;2018-11-06 04:27;1;4;"You can find us at the @WebSummit the whole week in the startup area @crystalfordata pic.twitter.com/PYBGw657dz";;@WebSummit @crystalfordata;;"1059739116533891072";https://twitter.com/MeghanMargaret/status/1059739116533891072
EnelGroupIT;2018-10-25 07:59;13;19;"Parla 5 lingue ed è in grado di comunicare i dati sugli impianti in meno di un secondo tramite smartphone. È @crystalfordata , il progetto di #AI con cui abbiamo vinto il Premio per l’innovazione nei servizi del settore energia di #SMAU @smaunotes https:// bit.ly/2PUGHa0 pic.twitter.com/fdL3AQBJN3";;@crystalfordata @smaunotes;#AI #SMAU;"1055428558791811077";https://twitter.com/EnelGroupIT/status/1055428558791811077
smaunotes;2018-10-25 04:58;5;7;""Due anni fa abbiamo avviato un piano di #digitalizzazione , ma dato che siamo una #datadriven company, stiamo lavorando su un percorso di democratizzazione dei dati grazie a @crystalfordata " piattaforma di iGenius, partner tecnologico di @EnelGroupIT #Smau pic.twitter.com/6391rxF35K";;@crystalfordata @EnelGroupIT;#digitalizzazione #datadriven #Smau;"1055383089806000128";https://twitter.com/smaunotes/status/1055383089806000128
smaunotes;2018-10-23 05:40;4;3;""Vogliamo fare in modo che il rapporto tra umani e #dati sia semplice. Utilizziamo l' #AI per permettere all'utente di interagire con il sistema in modo naturale." @crystalfordata a #Smau Milano 2018 pic.twitter.com/PJpOIJHTxg";;@crystalfordata;#dati #AI #Smau;"1054668772609589249";https://twitter.com/smaunotes/status/1054668772609589249
ScenariLavoro;2018-09-30 10:10;1;1;". @crystalfordata l'advisor #madeinitaly a portata di #smartphone che cambia il modo di fare marketing e business intelligence @ninjamarketing https:// bit.ly/2R3a7nm pic.twitter.com/g2aQcHsr9p";;@crystalfordata @ninjamarketing;#madeinitaly #smartphone;"1046401813220663296";https://twitter.com/ScenariLavoro/status/1046401813220663296
ninjamarketing;2018-09-27 08:00;4;8;""Ciao, sono crystal", il consulente virtuale made in Italy per le aziende | powered by @crystalfordata http://www. ninjamarketing.it/2018/09/27/cry stal-consulente-virtuale-made-in-italy-per-le-aziende/ …";;@crystalfordata;;"1045281973558824962";https://twitter.com/ninjamarketing/status/1045281973558824962
eurokleis;2018-09-19 04:49;2;3;"Concordiamo sulla necessità di lavorare con le #Startup per "aumentare l’appetibilità del business model" e presentarsi agli investitori e al mercato. "E creare qualcosa di nuovo..." C'è molto da fare! Nasce con questo obiettivo @EU_I3 #Accelerator Program http:// bit.ly/Startup_A_P";;@EU_I3;#Startup #Accelerator;"1042334910424465410";https://twitter.com/eurokleis/status/1042334910424465410
hefysio;2018-08-08 06:28;0;0;"Tried to connect my woocommerce to Crystal but connection just jammed? What should I do? I have installed the plugin and done everything else I could imagine...";;;;"1027139499418112000";https://twitter.com/hefysio/status/1027139499418112000
GGBa_Invest;2018-08-03 07:29;13;6;"#DidYouKnow that the Canton of Valais is a center of excellence in the field of #AI ? @crystalfordata @Idiap_ch @hessovalais @TechnoArk @Alpict @businessvalais https://www. ggba-switzerland.ch/en/artificial- intelligence-why-valais/ …";;@crystalfordata @Idiap_ch @hessovalais @TechnoArk @Alpict @businessvalais;#DidYouKnow #AI;"1025342891479183361";https://twitter.com/GGBa_Invest/status/1025342891479183361
VitoshaMedia;2018-07-26 05:58;1;1;"RT @crystalfordata : Be a native, be relatable - Meme marketing is a great opportunity to engage with your audience. via @Forbes #DigitalMarketing #MemeMarketing https://www. forbes.com/sites/forbesag encycouncil/2018/07/19/more-than-a-trend-meme-marketing-is-here-to-stay/#12ffb2522487 …";;@crystalfordata @Forbes;#DigitalMarketing #MemeMarketing #12ffb2522487;"1022420892398379008";https://twitter.com/VitoshaMedia/status/1022420892398379008
2024_R24;2018-07-17 04:45;4;4;"Hai perso 2024? Puoi recuperare qui http:// audio.radio24.ilsole24ore.com/radio24_audio/ 2018/180713-2024.mp3 … . Ci siamo occupati di @crystalfordata con @uljansharka , ceo di #iGenius , di autobus a #guidaautonoma con @CarloIacovini di @localmotors e dell’ingresso di @Amazon nel #farmaceutico con @Carlo_Salvioni di @IQVIA_Italy .";;@crystalfordata @uljansharka @CarloIacovini @localmotors @Amazon @Carlo_Salvioni @IQVIA_Italy;#iGenius #guidaautonoma #farmaceutico;"1019140901829005313";https://twitter.com/2024_R24/status/1019140901829005313
Liadacdmy;2018-07-16 12:41;0;0;"Non vuoi i complotti? https://www. facebook.com/gianluigi.para gone/videos/1715122308536685/ …";;;;"1018898430448553985";https://twitter.com/Liadacdmy/status/1018898430448553985
2024_R24;2018-07-16 04:23;0;2;"Hai perso 2024? Puoi recuperare qui http:// audio.radio24.ilsole24ore.com/radio24_audio/ 2018/180713-2024.mp3 … . Ci siamo occupati di @crystalfordata con @uljansharka , ceo di #iGenius , di autobus a #guidaautonoma con @CarloIacovini di @localmotors e dell’ingresso di @Amazon nel #farmaceutico con @Carlo_Salvioni di @IQVIA_Italy .";;@crystalfordata @uljansharka @CarloIacovini @localmotors @Amazon @Carlo_Salvioni @IQVIA_Italy;#iGenius #guidaautonoma #farmaceutico;"1018772977163202560";https://twitter.com/2024_R24/status/1018772977163202560
2024_R24;2018-07-15 05:23;2;6;"Hai perso 2024? Puoi recuperare qui http:// audio.radio24.ilsole24ore.com/radio24_audio/ 2018/180713-2024.mp3 … . Ci siamo occupati di @crystalfordata con @uljansharka , ceo di #iGenius , di autobus a #guidaautonoma con @CarloIacovini di @localmotors e dell’ingresso di @Amazon nel #farmaceutico con @Carlo_Salvioni di @IQVIA_Italy .";;@crystalfordata @uljansharka @CarloIacovini @localmotors @Amazon @Carlo_Salvioni @IQVIA_Italy;#iGenius #guidaautonoma #farmaceutico;"1018425688980951041";https://twitter.com/2024_R24/status/1018425688980951041
2024_R24;2018-07-14 10:23;2;8;"Hai perso 2024? Puoi recuperare qui http:// audio.radio24.ilsole24ore.com/radio24_audio/ 2018/180713-2024.mp3 … . Ci siamo occupati di @crystalfordata con @uljansharka , ceo di #iGenius , di autobus a #guidaautonoma con @CarloIacovini di @localmotors e dell’ingresso di @Amazon nel #farmaceutico con @Carlo_Salvioni di @IQVIA_Italy .";;@crystalfordata @uljansharka @CarloIacovini @localmotors @Amazon @Carlo_Salvioni @IQVIA_Italy;#iGenius #guidaautonoma #farmaceutico;"1018138798763528192";https://twitter.com/2024_R24/status/1018138798763528192
