username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
curatesolutions;2018-12-14 13:32;1;2;"From property tax to utility fees, municipalities make policy decisions that impact businesses every day. We sat down with Scott @ManleyWMC of the WI Manufacturers & Commerce to discuss why chambers of commerce should be involved in their local government: http:// bit.ly/2GhjwX4";;@ManleyWMC;;"1073646981715845121";https://twitter.com/curatesolutions/status/1073646981715845121
curatesolutions;2018-11-30 12:14;0;0;"#CitizensUnscripted from the City of Detroit Lakes, MN: "Incident Notes: Neighbor John Thorpe emailed concerns regarding buckets of dog feces and trees growing out of the eaves on the back of the home. He provided photos of the issues."";;;#CitizensUnscripted;"1068553957474279424";https://twitter.com/curatesolutions/status/1068553957474279424
curatesolutions;2018-11-08 15:01;0;1;"2018 is a record breaking year for Wisconsin school #referendums , with voters approving $1.2 billion for school-construction projects in the state!";;;#referendums;"1060623288400072706";https://twitter.com/curatesolutions/status/1060623288400072706
curatesolutions;2018-11-06 15:35;0;0;"#CitizensUnscripted From Brookfield, WI: "Attorney Aquavia replied that the city actually did receive a complaint on bee hives which is why we are discussing beekeeping now."";;;#CitizensUnscripted;"1059907186929950720";https://twitter.com/curatesolutions/status/1059907186929950720
curatesolutions;2018-11-06 15:19;0;0;"Congrats on the welcome center @Miron ! https:// twitter.com/MironConstruct /status/1059505901202300928 …";;@Miron;;"1059903128231968768";https://twitter.com/curatesolutions/status/1059903128231968768
curatesolutions;2018-11-06 12:41;1;3;"Happy Election Day from our team to yours! Read three reasons why mayoral and gubernatorial elections are just as important as presidential ones in our latest blog post: https:// blog.curatesolutions.com/election-day-i snt-just-for-capitol-hill … pic.twitter.com/3bxeEQP3kB";;;;"1059863458575990785";https://twitter.com/curatesolutions/status/1059863458575990785
curatesolutions;2018-11-04 16:20;2;2;"Consider yourself a speed reader? Data Coordinator might be the job you're looking for! Put those skills to the test doing something never been possible before as part of our #startup team in downtown #Madison . Apply here: http:// curatesolutions.com/data-coordinat or … #jobs #hiring pic.twitter.com/eRsRI9qgjH";;;#startup #Madison #jobs #hiring;"1059193640449425409";https://twitter.com/curatesolutions/status/1059193640449425409
curatesolutions;2018-11-02 09:15;0;5;"Looking forward to a great session covering local and state policy issues at the @nardotrealtor conference in Boston this morning! pic.twitter.com/NpJ7eqAAq4";;@nardotrealtor;;"1058346788585922560";https://twitter.com/curatesolutions/status/1058346788585922560
curatesolutions;2018-10-25 17:31;0;0;"Curate isn't just a trusted market-insight tool for #generalcontractors . @nardotrealtor #associations use CurateLOCAL for keeping tabs on #municipal #policy changes that impact the local climate for #realestate . Read how here: http:// bit.ly/2PXs31S";;@nardotrealtor;#generalcontractors #associations #municipal #policy #realestate;"1055572478758715393";https://twitter.com/curatesolutions/status/1055572478758715393
curatesolutions;2018-10-23 17:45;0;1;"#TypoTownCrier "...informed the Council that the City’s sunscription with US Solar would likely begin in December, with solar energy bill credits appearing on the City’s Xcel Energy bill in January."";;;#TypoTownCrier;"1054851378084929536";https://twitter.com/curatesolutions/status/1054851378084929536
curatesolutions;2018-10-18 15:34;0;1;"#TypoTownCrier from Newton, IL - City Council - Oct 2: "Mayor recognize Ken Larimore for his work on economic development with Newton and Jasper County from 2003-2018...He presented him with a plague and thanked him."";;;#TypoTownCrier;"1053006358876950530";https://twitter.com/curatesolutions/status/1053006358876950530
curatesolutions;2018-10-18 15:29;0;1;"#CitizensUnscripted “... concerns of the deer population within the City of North Saint Paul... The concerns have primarily been complaints regarding damage to gardens and vegetation in residents' yards, as well as the aggressiveness of the deer…”";;;#CitizensUnscripted;"1053005219792113665";https://twitter.com/curatesolutions/status/1053005219792113665
curatesolutions;2018-10-18 14:54;0;0;"“HSA and/or buyers of certain lots seek to develop the site [Mount Pleasant] into a proposed hospital, medical office building, hotel, business park buildings or other similar commercial development under the business park zoning.” https:// dailyreporter.com/2018/10/17/mou nt-pleasant-welcomes-denser-housing-as-plans-for-business-park-hospital-follow-foxconn/ …";;;;"1052996425259380736";https://twitter.com/curatesolutions/status/1052996425259380736
someproducer;2018-10-16 16:35;0;1;"I was presented with a plague once. Did not feel like thanking anyone.";;;;"1052296899716440065";https://twitter.com/someproducer/status/1052296899716440065
