username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
cyanapse;2018-12-24 12:14;1;1;"Blind and visually impaired people may be able to see in #VR better than in real life. @vr_sam brilliantly explains how and why. #tech4good https:// twitter.com/vr_sam/status/ 1077131491191242752 …";;@vr_sam;#VR #tech4good;"1077251175148384264";https://twitter.com/cyanapse/status/1077251175148384264
cyanapse;2018-12-11 05:56;2;3;"Looking forward to the @WiredSussex Members' Christmas Meetup tonight! https://www. eventbrite.co.uk/e/wired-sussex -members-christmas-meetup-tickets-49286595534 …";;@WiredSussex;;"1072444996614279168";https://twitter.com/cyanapse/status/1072444996614279168
WiredSussex;2018-12-08 12:58;2;7;"Good to see @cogapp @aip_media @bandr_app @bodyrocketcc @Bright_Owl_Ltd @creativebloomuk @curatelabsmag @cyanapse @pragmaticweb @sinc_innovation are joining us on 11th December for our #WiredBrighton Members’ Christmas Meetup. See you there! http:// bit.ly/WiredXmas18 ^EJ";;@cogapp @aip_media @bandr_app @bodyrocketcc @Bright_Owl_Ltd @creativebloomuk @curatelabsmag @cyanapse @pragmaticweb @sinc_innovation;#WiredBrighton;"1071463921167421440";https://twitter.com/WiredSussex/status/1071463921167421440
FuseBoxBtn;2018-11-15 12:06;5;7;""We are fascinated by the creativity in the space and being in such a creative environment certainly shaped how we are evolving as a company" Resident @_esin_yavuz from @cyanapse on the FuseBox. Feat. shoutouts to @limbicfish @VRCraftworks @theavangelist https://www. thefuseboxbrighton.com/blog/featured- resident-esin-yavuz …";;@_esin_yavuz @cyanapse @limbicfish @VRCraftworks @theavangelist;;"1063116164379893760";https://twitter.com/FuseBoxBtn/status/1063116164379893760
cyanapse;2018-11-08 10:34;1;5;"Thanks for having us speak yesterday at @FuseBoxBtn @Digicatbrighton , and thanks @Pete_Bloomfield #MIGarage for organising the meetup! https:// twitter.com/FuseBoxBtn/sta tus/1060280915753140237 …";;@FuseBoxBtn @Digicatbrighton @Pete_Bloomfield;#MIGarage;"1060556280887160832";https://twitter.com/cyanapse/status/1060556280887160832
learnteach35;2018-11-08 06:09;2;1;"New finds at #MachineIntelligenceGarage at #fusebox featuring @cyanapse with #AI photo filters, @yssrnlvs with their amazing creative search engine and Armin Mustafa's work at Uni of Surrey on 4D vision and lightfields. #MachineLearning pic.twitter.com/JC0vOKQ2hR";;@cyanapse @yssrnlvs;#MachineIntelligenceGarage #fusebox #AI #MachineLearning;"1060489433089261568";https://twitter.com/learnteach35/status/1060489433089261568
FuseBoxBtn;2018-11-07 16:30;3;7;"FuseBox resident, Neuroscientist and Co-founder of @cyanapse Esin Yavuz @_esin_yavuz showcasing their photorealistic image filters and talking about what the future could hold for machine learning at @DigiCatapult #AI Meetup pic.twitter.com/G7NZ8dPfjd";;@cyanapse @_esin_yavuz @DigiCatapult;#AI;"1060283472328171520";https://twitter.com/FuseBoxBtn/status/1060283472328171520
FuseBoxBtn;2018-11-07 16:20;1;5;"Tonight we hosted @DigiCatapult #AI Meetup: How can the creative industries use AI? With brilliant talks by FuseBox resident @_esin_yavuz from @cyanapse and @Pete_Bloomfield @ArminMustafa @Dan_FS @yssrnlvs pic.twitter.com/qX0DV0c2RV";;@DigiCatapult @_esin_yavuz @cyanapse @Pete_Bloomfield @ArminMustafa @Dan_FS @yssrnlvs;#AI;"1060280915753140237";https://twitter.com/FuseBoxBtn/status/1060280915753140237
Pete_Bloomfield;2018-11-07 14:33;3;6;"@_esin_yavuz from @cyanapse kicking off the meetup with GANs and style transfer #creative #ai @Digicatbrighton @WiredSussex pic.twitter.com/X3pvsQ4yiF";;@_esin_yavuz @cyanapse @Digicatbrighton @WiredSussex;#creative #ai;"1060253978632568833";https://twitter.com/Pete_Bloomfield/status/1060253978632568833
bushraburge;2018-11-07 14:15;1;3;"@_esin_yavuz really interesting presentation about artistic style transfer with GAN. @cyanapse @Digicatbrighton @FuseBoxBtn @WiredSussex #ai #creativity #EmergingTechnologies pic.twitter.com/FFELnjKzsJ";;@_esin_yavuz @cyanapse @Digicatbrighton @FuseBoxBtn @WiredSussex;#ai #creativity #EmergingTechnologies;"1060249488038789120";https://twitter.com/bushraburge/status/1060249488038789120
