username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
pickme_official;2017-09-01 09:29;0;0;"@cyra_uk あなたのフォロワーから、pickmeへの招待が届きました 同級生のみんなが集まるアプリ「pickme」 ▽ 参加はこちら https:// pickme.onelink.me/XDTb?pid=Socia lTwitter&c=secret_invitation&af_dp=picon.pickme%3A%2F%2F …";;@cyra_uk;;"903610674944720898";https://twitter.com/pickme_official/status/903610674944720898
cyra_uk;2017-05-09 05:24;1;1;"Recruiters should then re-invest that time in the very things that #AI can’t replicate @cyra_uk #ML #HR #tech http:// theundercoverrecruiter.com/recruiters-rep lacing-ai/ …";;@cyra_uk;#AI #ML #HR #tech;"861874566595006464";https://twitter.com/cyra_uk/status/861874566595006464
cyra_uk;2017-05-08 05:37;0;0;"Thanks to Deep Learning, #AI Has a Bright Future @cyra_uk #ML #tech https:// blogs.nvidia.com/blog/2016/07/2 9/whats-difference-artificial-intelligence-machine-learning-deep-learning-ai/ …";;@cyra_uk;#AI #ML #tech;"861515404715470849";https://twitter.com/cyra_uk/status/861515404715470849
cyra_uk;2017-05-05 04:28;0;0;"The application of #ML to society and industry is leading to advancements across many fields of human endeavour. http://www. forbes.com/sites/bernardm arr/2017/05/04/what-is-machine-learning-a-complete-beginners-guide-in-2017/#4658fcf1578f …";;;#ML #4658fcf1578f;"860410896295886849";https://twitter.com/cyra_uk/status/860410896295886849
cyra_uk;2017-05-03 05:38;1;1;"Tapping AI's strengths @cyra_uk #AI #ML #HRTECH https://www. forbes.com/sites/sap/2017 /04/28/artificial-intelligence-moves-into-every-workplace-how-hr-needs-to-respond/ …";;@cyra_uk;#AI #ML #HRTECH;"859703682660741120";https://twitter.com/cyra_uk/status/859703682660741120
cyra_uk;2017-04-28 05:30;0;0;"What has happened with bots is a bit of a what happened with apps. @cyra_uk #AI #ML #chatbot #tech https://www. linkedin.com/pulse/artifici al-intelligence-machine-learning-needs-anthony-onesto …";;@cyra_uk;#AI #ML #chatbot #tech;"857889679840092160";https://twitter.com/cyra_uk/status/857889679840092160
cyra_uk;2017-04-26 06:18;0;1;"A must-read for HR leaders: How Artificial Intelligence Is Changing Talent Acquisition @cyra_uk #AI #HRtech https://www. eremedia.com/tlnt/how-artif icial-intelligence-is-changing-talent-acquisition/?utm_source=twitter&utm_medium=social&utm_campaign=SocialWarfare …";;@cyra_uk;#AI #HRtech;"857176978725777408";https://twitter.com/cyra_uk/status/857176978725777408
cyra_uk;2017-04-25 10:06;0;1;"What Chatbots Can Do, and What They Can’t @cyra_uk #chatbot #AI #ML #tech https:// shar.es/1F2mq6";;@cyra_uk;#chatbot #AI #ML #tech;"856872045166170116";https://twitter.com/cyra_uk/status/856872045166170116
cyra_uk;2017-04-19 05:48;0;1;"HR and IT Have To Work Together To Make Work Work Better @cyra_uk #HRtech #AI #recruiting http:// recruitingdaily.com/hrtechworld-lo ndon/ …";;@cyra_uk;#HRtech #AI #recruiting;"854632812070268928";https://twitter.com/cyra_uk/status/854632812070268928
cyra_uk;2017-04-14 04:25;0;0;"AI and Speech Recognition: A Primer for Chatbots @cyra_uk #AI #ML #chatbots https:// medium.com/cyber-tales/ai -and-speech-recognition-a-primer-for-chatbots-a63af042526a …";;@cyra_uk;#AI #ML #chatbots;"852800019715440640";https://twitter.com/cyra_uk/status/852800019715440640
cyra_uk;2017-04-10 08:12;2;0;"We’re currently in the dawn of another industrial revolution. @cyra_uk #AI #ML https:// singularityhub.com/2017/04/02/how -ai-is-like-electricity-and-why-that-matters/#.WOt2SsFj-MM.twitter …";;@cyra_uk;#AI #ML #;"851407437928292352";https://twitter.com/cyra_uk/status/851407437928292352
cyra_uk;2017-04-06 06:49;0;0;"With #AI , the key ingredient for success and creating value is taking a “people first” approach. https://www. weforum.org/agenda/2016/12 /how-artificial-intelligence-could-change-the-face-of-business/ … @cyra_uk";;@cyra_uk;#AI;"849937104482250752";https://twitter.com/cyra_uk/status/849937104482250752
cyra_uk;2017-04-01 05:59;0;2;"The bot market is starting to attract big bucks. @cyra_uk #chatbot #AI #ML #tech https:// venturebeat.com/2017/03/27/bot s-shift-towards-ai-and-garner-24-billion-of-investment/ … via @VentureBeat";;@cyra_uk @VentureBeat;#chatbot #AI #ML #tech;"848112534121066497";https://twitter.com/cyra_uk/status/848112534121066497
cyra_uk;2017-03-31 05:37;2;0;"The need for different approaches in order to take #AI to the next level @cyra_UK #ML #tech https://www. technologyreview.com/s/603912/apple s-ai-director-heres-how-to-supercharge-deep-learning/?utm_campaign=add_this&utm_source=twitter&utm_medium=post …";;@cyra_UK;#AI #ML #tech;"847744712765132801";https://twitter.com/cyra_uk/status/847744712765132801
