username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ingachen;2018-12-14 18:33;0;5;"AND a huge thanks to @Work_Bench @clubhouse @Amplitude_HQ @Pernod_Ricard @datalogue_io who made our holiday party spectacular pic.twitter.com/aB0bzlCU26";;@Work_Bench @clubhouse @Amplitude_HQ @Pernod_Ricard @datalogue_io;;"1073722788232527873";https://twitter.com/ingachen/status/1073722788232527873
bcrussett;2018-12-13 14:31;0;5;"always training for the rematch :)";;;;"1073299472141176833";https://twitter.com/bcrussett/status/1073299472141176833
fendien;2018-12-13 14:27;0;4;"There's no love like founder love! Thanks Bryan! PS - you still owe me a @Flywheel race ;)";;@Flywheel;;"1073298265406365696";https://twitter.com/fendien/status/1073298265406365696
V1P1N;2018-12-13 13:40;0;5;"Thanks Bryan!";;;;"1073286508084379649";https://twitter.com/V1P1N/status/1073286508084379649
bcrussett;2018-12-13 13:36;3;13;"The @Work_Bench team has been an incredible partner for us @datalogue_io . Excited to see them raise a new fund and be awesome for even more companies! Congrats @jerseejess @fendien @V1P1N @kelleymak @BlakeFJesse https:// twitter.com/jerseejess/sta tus/1073221607320154112 …";;@Work_Bench @datalogue_io @jerseejess @fendien @V1P1N @kelleymak @BlakeFJesse;;"1073285489430540290";https://twitter.com/bcrussett/status/1073285489430540290
oatsandsugar;2018-11-27 07:11;0;0;"@datalogue_io we like the way you think ;)";;@datalogue_io;;"1067390513714737154";https://twitter.com/oatsandsugar/status/1067390513714737154
danfaggella;2018-11-11 19:58;1;4;"Thanks to @datalogue_io CEO @timgdelisle for contributing some important quotes for our article about the difference between B2C and B2B #AI applications: https://www. techemergence.com/applying-artif icial-intelligence-in-b2b-and-b2c-whats-the-difference/ …";;@datalogue_io @timgdelisle;#AI;"1061785208121384960";https://twitter.com/danfaggella/status/1061785208121384960
dataengconf;2018-11-06 12:39;0;0;"#DataEngConf NYC '18 Speaker Announcement: @thatsFrScience from @datalogue_io will be speaking at our upcoming event in #NewYork . Learn more about his talk at https:// dataeng.co/2PebBhh #datascience #datastream pic.twitter.com/gPLI2xIJ0q";;@thatsFrScience @datalogue_io;#DataEngConf #NewYork #datascience #datastream;"1059862815664685056";https://twitter.com/dataengconf/status/1059862815664685056
ciso_news;2018-11-01 13:48;0;0;"Congrats! Nicolas Joseph appointed #CISO @datalogue_io";;@datalogue_io;#CISO;"1058053235599175680";https://twitter.com/ciso_news/status/1058053235599175680
amandaemmanuel;2018-10-31 21:00;0;1;"Yeayy!!! Congratulations!";;;;"1057799495478583296";https://twitter.com/amandaemmanuel/status/1057799495478583296
