username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DatavoraCom;2018-12-03 08:31;0;2;"Update: @HS_shampoo à 6.810 TND les 200ml et 12.300 TND les 400ml chez #Monoprix #MachineLearning";;@HS_shampoo;#Monoprix #MachineLearning;"1069584974582595584";https://twitter.com/DatavoraCom/status/1069584974582595584
Souihli;2018-11-29 14:47;0;0;"Et ben non, je parlais de la bouteille 400ml ;-) pic.twitter.com/8w5A03WsR6";;;;"1068230028926885888";https://twitter.com/Souihli/status/1068230028926885888
sereen__saeed;2018-11-29 14:44;0;0;"Tu vois!";;;;"1068229144608157701";https://twitter.com/sereen__saeed/status/1068229144608157701
DatavoraCom;2018-11-29 14:41;0;2;"#AZIZA ===== Head & Shoulders 200ml: 6dt750 Axe 150ml: 5dt990";;;#AZIZA;"1068228402413486081";https://twitter.com/DatavoraCom/status/1068228402413486081
hedizaher;2018-11-13 02:18;2;2;". @DatavoraCom outstanded the average of @WebSummit at 75% :) . 100% of our girls are not only #Women in tech, bat also awsome, hands-on and world class #techies . They are 43% of our #team , 50% of our techies. This is amazing! #WebSummit #startups #startup #ChangeTheRules https:// twitter.com/WebSummit/stat us/1059793597317476353 …";;@DatavoraCom @WebSummit;#Women #techies #team #WebSummit #startups #startup #ChangeTheRules;"1062243349246234624";https://twitter.com/hedizaher/status/1062243349246234624
DatavoraCom;2018-11-09 02:55;4;9;"#websummit18 is over. Always a pleasure to meet awesome people from all over the world. Can't wait for the next @WebSummit ! #websummit #startup #startups #ecommerce #retail #data #AI pic.twitter.com/RqCJuu4hoa";;@WebSummit;#websummit18 #websummit #startup #startups #ecommerce #retail #data #AI;"1060803165346562048";https://twitter.com/DatavoraCom/status/1060803165346562048
DatavoraCom;2018-11-07 04:20;5;5;"#WebSummit Day 2. Stop by our booth (B416 Pavilion 4) to discover 2000+ #retailers turned into actionable #data for your #eCommerce #business . #retail #AI #deeptech #startups #startup #Portugal #WebSummit18 pic.twitter.com/LjQPuXxffK";;;#WebSummit #retailers #data #eCommerce #business #retail #AI #deeptech #startups #startup #Portugal #WebSummit18;"1060099713180094464";https://twitter.com/DatavoraCom/status/1060099713180094464
DatavoraCom;2018-11-05 12:57;2;7;"#WebSummit is about to #start ! #startups #startup #Lisbon #Lisboa #Portugal pic.twitter.com/4mR2w7h6E5";;;#WebSummit #start #startups #startup #Lisbon #Lisboa #Portugal;"1059504938575904769";https://twitter.com/DatavoraCom/status/1059504938575904769
hedizaher;2018-11-04 09:08;1;8;"Heading to #Lisbon . Ready for #WebSummit with the #startup -per kit! #Websummit18 ft. @DatavoraCom @WebSummit #Tunis #Tunisia #Lisboa #Portugal https://www. instagram.com/p/BpwpK0vheU3/ ?utm_source=ig_share_sheet&igshid=jnc1utexgs2c … pic.twitter.com/lhvalR9PzK";;@DatavoraCom @WebSummit;#Lisbon #WebSummit #startup #Websummit18 #Tunis #Tunisia #Lisboa #Portugal;"1059084949133889536";https://twitter.com/hedizaher/status/1059084949133889536
DatavoraCom;2018-11-02 06:04;7;4;"We just can't miss @WebSummit . Meet us @stand number #B416 on Day 2 (Nov 7) https:// datavora.com/index.php/we-j ust-cant-miss-web-summit/ … #WebSummit #WebSummit2018 #eCommerce #Data #AI";;@WebSummit @stand;#B416 #WebSummit #WebSummit2018 #eCommerce #Data #AI;"1058298715943981056";https://twitter.com/DatavoraCom/status/1058298715943981056
NarBAHIA;2018-10-30 06:17;1;0;"Le 1er Novembre 2018 aura lieu, en #Tunisie , le séminaire de la #bigdata avec plusieurs intervenants et experts dont la team de @DatavoraCom Plus d'infos https:// bigdatanalytics.sciencesconf.org/index/closed #data #datamanagement";;@DatavoraCom;#Tunisie #bigdata #data #datamanagement;"1057214861665546241";https://twitter.com/NarBAHIA/status/1057214861665546241
hedizaher;2018-10-17 10:04;1;3;"Bel acceuil au @TechnoparcMtl #SITIC #jesuistechno #iamtechno #technoparcmontreal #Tunisie ft. @DatavoraCom pic.twitter.com/PMYJb1xsXX";;@TechnoparcMtl @DatavoraCom;#SITIC #jesuistechno #iamtechno #technoparcmontreal #Tunisie;"1052561027630534657";https://twitter.com/hedizaher/status/1052561027630534657
StartupLeagueHQ;2018-09-26 05:20;0;0;"@DatavoraCom exhibiting at Web Summit? Join the #LeagueOf100 to get up to 100% reimbursement on your booth cost, free marketing goodies and more! Apply now: https:// bit.ly/2IdfIng pic.twitter.com/CBnZfmUwId";;@DatavoraCom;#LeagueOf100;"1044879248123617280";https://twitter.com/StartupLeagueHQ/status/1044879248123617280
hedizaher;2018-09-19 06:30;7;8;"The amazing #story started 1000 days ago. @DatavoraCom is collecting #ecommerce #data every night and day from over 2000 shops and #marketplaces around the world. What a journey! #retail #startup #startuplife #startups pic.twitter.com/2pYbuLug7D";;@DatavoraCom;#story #ecommerce #data #marketplaces #retail #startup #startuplife #startups;"1042360198466363392";https://twitter.com/hedizaher/status/1042360198466363392
DatavoraCom;2018-09-13 06:34;7;6;"Nous faisons partie du #Top100 - des Twittos #ParisRetailWeek les plus engageants. https:// onposteenanglais.com/rapport-parisr etailweek/ … via @enanglais";;@enanglais;#Top100 #ParisRetailWeek;"1040186868183310337";https://twitter.com/DatavoraCom/status/1040186868183310337
