username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AliHShah;2018-11-23 02:40;2;2;"@SarwatFatimaM , data scientist at @DealSmash15 sharing a very useful guide for setting up AWS DataPipeline for running Pyton ETL scripts in her Data Scientist's Guide series. Kudos Sarwat! #AWS #python #DataScience #DealSmash https:// twitter.com/SarwatFatimaM/ status/1065519000657043456 …";;@SarwatFatimaM @DealSmash15;#AWS #python #DataScience #DealSmash;"1065872619461885952";https://twitter.com/AliHShah/status/1065872619461885952
Rahatak2;2018-05-18 00:48;0;0;"Greatest";;;;"997338192125755392";https://twitter.com/Rahatak2/status/997338192125755392
Rahatak2;2018-05-17 04:15;0;0;"Great";;;;"997027754586595328";https://twitter.com/Rahatak2/status/997027754586595328
AliHShah;2018-04-28 03:05;0;0;"@HamzaIftikhar00 @SarwatFatimaM @SigProcessing @DealSmash15 @FarazBandukda @avaqar @morphilibrium https:// twitter.com/ignitentf/stat us/989758768157093889 …";;@HamzaIftikhar00 @SarwatFatimaM @SigProcessing @DealSmash15 @FarazBandukda @avaqar @morphilibrium;;"990124934050582528";https://twitter.com/AliHShah/status/990124934050582528
IgniteNTF;2018-04-27 02:50;3;5;"NIC Starups at Ali Baba’s e-founder accelerator program in China. #MovingForward #ignite @fma_pk , @DawaaiPK , @DealSmash15 , @AnumKamran90 @AnushaRehman pic.twitter.com/a31Davcfg9";;@fma_pk @DawaaiPK @DealSmash15 @AnumKamran90 @AnushaRehman;#MovingForward #ignite;"989758768157093889";https://twitter.com/IgniteNTF/status/989758768157093889
InnovatePK;2018-04-20 07:30;2;2;"4 of our own entrepreneurs embarked on a 11 days of entrepreneurial enlightenment. We asked them to share their insights. Click on the link to read what they had to say http:// bit.ly/2HeF5Ua @BuyonPK @DawaaiPK @fma_pk @DealSmash15 @IgniteNTF @PakInnovates pic.twitter.com/JceD9XMPIR";;@BuyonPK @DawaaiPK @fma_pk @DealSmash15 @IgniteNTF @PakInnovates;;"987292296902098944";https://twitter.com/InnovatePK/status/987292296902098944
angelspakistan;2018-04-03 14:18;7;13;"12+ hour sessions on work days and weekends at Alibaba eFounders specialty incubator leading up to personal coaching by Jack Ma! How will these 4 Pakistani eCommerce startups soar IA on their return: @fma_pk , @DawaaiPK , @DealSmash15 , @AnumKamran90 https:// bit.ly/2JhUYur pic.twitter.com/psZZZVR1t5";;@fma_pk @DawaaiPK @DealSmash15 @AnumKamran90;;"981234429376057345";https://twitter.com/angelspakistan/status/981234429376057345
Shafiq_rehman22;2018-03-10 13:31;0;0;"You very best point";;;;"972540535457054720";https://twitter.com/Shafiq_rehman22/status/972540535457054720
AliSher21871293;2018-03-05 10:40;0;0;"Send me invitation code";;;;"970685547122487296";https://twitter.com/AliSher21871293/status/970685547122487296
angelspakistan;2018-01-30 12:06;8;12;"We are funding @DealSmash15 , which collects lots of primary data on purchases for its retail customers and uses AI to suggest incentives for customers, increasing delight & reducing budgets. For retailers, increasing turnover and revenue per customer.";;@DealSmash15;;"958386037620924416";https://twitter.com/angelspakistan/status/958386037620924416
khalidmunda1;2018-01-17 08:10;0;0;"@DealSmash15";;@DealSmash15;;"953615502538100736";https://twitter.com/khalidmunda1/status/953615502538100736
sadam_lail;2017-12-27 13:51;0;0;"@DealSmash15 please follow me";;@DealSmash15;;"946091300654321665";https://twitter.com/sadam_lail/status/946091300654321665
AsadAli97680559;2017-12-08 10:23;0;0;"Assalamu Alaikum sir please inbox me Mujhe aap ke saath kuch kaam hai";;;;"939153453640806400";https://twitter.com/AsadAli97680559/status/939153453640806400
