username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
EIThealth_FR;2018-07-04 10:33;3;6;"Un candidat de + sélection #EuropeanHealthCatapult @EIThealth_FR Pitchs 12 #Eperts Jury locaux @Cap_Digital #startup #eSanté @deepOR_Official Assistant vocal intelligent pr optimiser utilisation #BlocOpératoire #IA pic.twitter.com/VwDs3JaLzC";;@EIThealth_FR @Cap_Digital @deepOR_Official;#EuropeanHealthCatapult #Eperts #startup #eSant #BlocOp #IA;"1014517467639664641";https://twitter.com/EIThealth_FR/status/1014517467639664641
EssonneReussir;2018-06-26 13:40;0;2;"[CONFERENCE] Découvrons ce soir comment l' #IA va impacter les #entreprises essonniennes demain... #MDN2018 @labellevie_fr @samouraicoop @IF_Institut @dataswati @deepOR_Official @fujitsu_FR @CDEssonne @lesdigiteurs @CCI_Paris_IdF pic.twitter.com/e8TgOCsOlb";;@labellevie_fr @samouraicoop @IF_Institut @dataswati @deepOR_Official @fujitsu_FR @CDEssonne @lesdigiteurs @CCI_Paris_IdF;#IA #entreprises #MDN2018;"1011665446578393090";https://twitter.com/EssonneReussir/status/1011665446578393090
thibberthelin;2018-06-26 13:37;6;7;"Soirée Essonne Terre d'Avenirs @cciessonne 2e table ronde- Impacts de l' #IA sur les #entreprises , activités et #métiers : "la complémentarité est la seule logique économique" dit Thierry Philipponnat directeur @IF_Institut cc @Fujitsu_France @dataswati @deepOR_Official pic.twitter.com/s9s1gYiaZX";;@cciessonne @IF_Institut @Fujitsu_France @dataswati @deepOR_Official;#IA #entreprises #m;"1011664647341117441";https://twitter.com/thibberthelin/status/1011664647341117441
cciessonne;2018-06-26 13:19;4;9;"[ #MDN2018 ] Conférence sur l'avenir de l' #Essonne > 2ème table ronde en présence de Thierry Philipponnat @IF_Institut , Aurélien Verleyen @dataswati , Yasser Jebbari @deepOR_Official et Alexia Van @Fujitsu_France pic.twitter.com/zNiyycpJ2s";;@IF_Institut @dataswati @deepOR_Official @Fujitsu_France;#MDN2018 #Essonne;"1011660126871347201";https://twitter.com/cciessonne/status/1011660126871347201
NumeriqueCci91;2018-06-26 13:17;0;2;"[ #MDN2018 ] Conférence sur l'avenir de l' #Essonne > 2ème table ronde en présence de Thierry Philipponnat @IF_Institut , Aurélien Verleyen @dataswati , Yasser Jebbari @deepOR_Official et Alexia Van @Fujitsu_France pic.twitter.com/QZUpsslL7Y";;@IF_Institut @dataswati @deepOR_Official @Fujitsu_France;#MDN2018 #Essonne;"1011659834889003008";https://twitter.com/NumeriqueCci91/status/1011659834889003008
EssonneReussir;2018-06-20 12:12;1;1;"[CONFÉRENCE] Animée par @luclegay , pour se projeter dans l' #Essonne de #demain http:// bit.ly/2M8YacI @UniondesForgerons, @labellevie_fr , @samouraicoop , @IF_Institut , @p_a_raphan , @Fujitsu_France , @dataswati , @deepOR_Official , @CDEssonne pic.twitter.com/3GiiqMzP5h";;@luclegay @UniondesForgerons @labellevie_fr @samouraicoop @IF_Institut @p_a_raphan @Fujitsu_France @dataswati @deepOR_Official @CDEssonne;#Essonne #demain;"1009468922024943617";https://twitter.com/EssonneReussir/status/1009468922024943617
cciessonne;2018-06-20 12:11;7;6;"[CONFÉRENCE] Animée par @luclegay , pour se projeter dans l' #Essonne de #demain http:// bit.ly/2M8YacI @UniondesForgerons, @labellevie_fr , @samouraicoop , @IF_Institut , @p_a_raphan , @Fujitsu_France , @dataswati , @deepOR_Official , @CDEssonne pic.twitter.com/qFfDxAlth9";;@luclegay @UniondesForgerons @labellevie_fr @samouraicoop @IF_Institut @p_a_raphan @Fujitsu_France @dataswati @deepOR_Official @CDEssonne;#Essonne #demain;"1009468787224170496";https://twitter.com/cciessonne/status/1009468787224170496
avinaba_mitra;2018-06-05 07:52;0;0;"It is The 1st Smart Assistant for Hospital Operating Rooms @deepOR_Official lets see who like your product, submit at http:// betapage.co to get user response.";;@deepOR_Official;;"1003967881564995586";https://twitter.com/avinaba_mitra/status/1003967881564995586
deepOR_Official;2018-05-29 17:12;2;4;"Les blocs opératoires sont sous tension. Il faut faire qque chose et vite ! https:// twitter.com/lepoint/status /1001545807995301889 …";;;;"1001572059061932032";https://twitter.com/deepOR_Official/status/1001572059061932032
FlyTheNest_team;2018-05-16 09:32;0;1;"[ #ecosystem ] 10 French #startups using #AI in #healthcare : @EquityZen @deepOR_Official @Betterise @aimerging Alicante @Baby_Progress @Cutii_io @KeenEye @therapixel @CardioLogs >> https:// buff.ly/2GhwTRL pic.twitter.com/Fp5ZT9PwmY";;@EquityZen @deepOR_Official @Betterise @aimerging @Baby_Progress @Cutii_io @KeenEye @therapixel @CardioLogs;#ecosystem #startups #AI #healthcare;"996745110271471622";https://twitter.com/FlyTheNest_team/status/996745110271471622
