username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
stepconference;2018-12-22 11:33;0;0;"Congratulations!";;;;"1076516075951587328";https://twitter.com/stepconference/status/1076516075951587328
DerqAI;2018-12-21 14:43;2;9;"Derq is kicking off 2019 by showcasing at #CES2019 ! We are demoing our #roadsafety apps with a leading #automotive tech company in North Hall all week. Stay tuned for the January 7th Press Release, or reach out to meet us in Las Vegas. #AI #V2X #ConnectedCar #VisionZero pic.twitter.com/n1qrVS9Y41";;;#CES2019 #roadsafety #automotive #AI #V2X #ConnectedCar #VisionZero;"1076201433647759360";https://twitter.com/DerqAI/status/1076201433647759360
6a726d;2018-12-21 09:18;1;3;". @MDOT_MetroDet and @DerqAI have a 'smart intersection' at Jefferson and Randolph that claims to help save lives, but people are still dying here: https://www. freep.com/story/news/loc al/michigan/detroit/2018/12/21/detroit-hit-and-run-renaissance-center/2385375002/ …";;@MDOT_MetroDet @DerqAI;;"1076119668384038913";https://twitter.com/6a726d/status/1076119668384038913
planetm;2018-12-13 10:29;1;1;"Dubai & #Detroit company @DerqAI has the country’s first intelligent traffic sensory devices at Jefferson & Randolph. This tech will eventually be in all cars, helping prevent pedestrian/car accidents & boost #driverless technology. https:// twitter.com/FOX2News/statu s/1073029524365946880 …";;@DerqAI;#Detroit #driverless;"1073238481307095041";https://twitter.com/planetm/status/1073238481307095041
Kajuan62281503;2018-12-13 04:24;0;0;"Yes";;;;"1073146683419172865";https://twitter.com/Kajuan62281503/status/1073146683419172865
NextEnergyMi;2018-12-12 15:02;3;0;"#ICYMI : WATCH the @PlanetM #Startup Grants webinar online! Get a program overview + tips on submitting a successful app, hear from @MichiganDOT + 1st #pilot grantee @DerqAI + how you can leverage #testing partners @UMichMcity @acmwillowrun @KetteringU http://www. planetm.com/grants";;@PlanetM @MichiganDOT @DerqAI @UMichMcity @acmwillowrun @KetteringU;#ICYMI #Startup #pilot #testing;"1072944795574771713";https://twitter.com/NextEnergyMi/status/1072944795574771713
NextEnergyMi;2018-12-12 14:46;0;3;"Our pleasure @DerqAI -- thank you for sharing your experience. We can't wait to see what's next for you!";;@DerqAI;;"1072940788110237698";https://twitter.com/NextEnergyMi/status/1072940788110237698
newt928;2018-12-12 14:29;0;2;"How about you just stay off your phone and pay attention";;;;"1072936400432103425";https://twitter.com/newt928/status/1072936400432103425
DerqAI;2018-12-12 14:26;0;2;"Thanks, @rooprajfox2 for highlighting how we’re using Derq’s Software to make road sensors and roads smarter!";;@rooprajfox2;;"1072935709152038912";https://twitter.com/DerqAI/status/1072935709152038912
Emerald_Jewell;2018-12-12 14:24;0;0;"RT @rooprajfox2 : Dubai & Detroit company @DerqAI has the country’s first intelligent (cont) http:// tl.gd/nohupa";;@rooprajfox2 @DerqAI;;"1072935291680382976";https://twitter.com/Emerald_Jewell/status/1072935291680382976
rooprajfox2;2018-12-12 14:23;10;25;"Dubai & Detroit company @DerqAI has the country’s first intelligent traffic sensory devices here at Jefferson & Randolph. This tech will eventually be in all cars, helping prevent pedestrian/car accidents and helping boost driverless technology. Story at 5:30pm on @FOX2News pic.twitter.com/t0fZ1DK1Lw";;@DerqAI @FOX2News;;"1072934915912671233";https://twitter.com/rooprajfox2/status/1072934915912671233
DerqAI;2018-12-11 22:03;1;12;"Thanks to @NextEnergyMi and @planetm for the chance to present alongside Michele Mueller from @MichiganDOT , @Amanda_Roraff , @acmwillowrun , @UMichMcity , and @KetteringU ! https:// twitter.com/NextEnergyMi/s tatus/1072521025781465088 …";;@NextEnergyMi @planetm @MichiganDOT @Amanda_Roraff @acmwillowrun @UMichMcity @KetteringU;;"1072688464662093827";https://twitter.com/DerqAI/status/1072688464662093827
NextEnergyMi;2018-12-11 13:05;4;9;"Will Foss of @DerqAI gives an overview of their @planetm pilot in Downtown #Detroit #AI #PredictiveAnalytics #crashmitigation #jeffersonave #roadsafety #pedestriansafety #mobility #startups pic.twitter.com/KVJxIyr19b";;@DerqAI @planetm;#Detroit #AI #PredictiveAnalytics #crashmitigation #jeffersonave #roadsafety #pedestriansafety #mobility #startups;"1072553044821323776";https://twitter.com/NextEnergyMi/status/1072553044821323776
NextEnergyMi;2018-12-11 12:56;3;8;"Michele Mueller @MichiganDOT gives an overview of new projects and partnerships on #Michigan Roadways including first #startup grantee @DerqAI @planetm #Mobility pic.twitter.com/Xp0ZoKm6zC";;@MichiganDOT @DerqAI @planetm;#Michigan #startup #Mobility;"1072550733709492226";https://twitter.com/NextEnergyMi/status/1072550733709492226
DerqAI;2018-12-11 11:08;2;7;"Join Derq’s @wtcfoss for a webinar on the work we’re doing to make Michigan roads safer with @MichiganDOT and @PlanetM . Also learn more about the great #Michigan testing facilities & grants at @acmwillowrun , @UMichMcity and @KetteringU https:// puremi.ch/2K3Mzfa";;@wtcfoss @MichiganDOT @PlanetM @acmwillowrun @UMichMcity @KetteringU;#Michigan;"1072523446184239109";https://twitter.com/DerqAI/status/1072523446184239109
NextEnergyMi;2018-12-10 14:11;2;4;"#Mobility #startups : Join us tomorrow in-person or via webinar at 12:30pm EST to learn more about the @planetm Startup Grants to test or pilot your technology in #Michigan . Details + registration: http:// ow.ly/BbKQ30mVWye @MichiganDOT @UMichMcity @acmwillowrun @KetteringU @DerqAI";;@planetm @MichiganDOT @UMichMcity @acmwillowrun @KetteringU @DerqAI;#Mobility #startups #Michigan;"1072207111030013952";https://twitter.com/NextEnergyMi/status/1072207111030013952
DetDriven;2018-12-06 07:22;4;5;"Mark your calendar and plan to attend on Dec. 11 to learn more about applying for @planetm Startup Grants. @acmwillowrun @UMichMcity @KetteringU @DerqAI https:// buff.ly/2G4zeEZ";;@planetm @acmwillowrun @UMichMcity @KetteringU @DerqAI;;"1070654637433348096";https://twitter.com/DetDriven/status/1070654637433348096
DerqAI;2018-12-04 16:25;3;10;"Thank You @Gulf_Traffic for naming Derq as the ITS product of the year! We are honored to be selected for this prestigious honor, and for the privilege to use our technology to make Dubai roads safer with the support of our partners @dsoafz , @RTA_Dubai and @SmartDubai . pic.twitter.com/ouohQdEmgL";;@Gulf_Traffic @dsoafz @RTA_Dubai @SmartDubai;;"1070066517453225985";https://twitter.com/DerqAI/status/1070066517453225985
