username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
biz_articles_;2018-12-27 15:45;0;0;"@Destygo_Travel Happy Holidays to your family from mine. From Ben, @biz_articles_";;@Destygo_Travel @biz_articles_;;"1078391420661129216";https://twitter.com/biz_articles_/status/1078391420661129216
habitgrowth;2018-12-24 11:19;0;0;"@Destygo_Travel Thank you for following, Destygo! I hope you have an awesome Monday! pic.twitter.com/4W066rQgyo";;@Destygo_Travel;;"1077237385501511680";https://twitter.com/habitgrowth/status/1077237385501511680
WelcomeCityLab;2018-12-20 05:23;3;5;"Les #startups du @WelcomeCityLab @Destygo_Travel @NannybagFR @SensegoApps #pointsinthecity @blue_valet @YdealsSk étaient présentes au #totec18 ! A découvrir https://www. youtube.com/watch?v=oucsn4 rj6Y4&feature=youtu.be …";;@WelcomeCityLab @Destygo_Travel @NannybagFR @SensegoApps @blue_valet @YdealsSk;#startups #pointsinthecity #totec18;"1075698294687453184";https://twitter.com/WelcomeCityLab/status/1075698294687453184
Eventiz_travel;2018-12-19 10:32;0;3;"@bookingkit_Fr @shareyourtripfr @Pricemoov_FR @Cirkwi @Baludik @Destygo_Travel @NannybagFR @virtuofr @SensegoApps @blue_valet @fairjungle @YdealsSk @btuprotocol @AppKaviar";;@bookingkit_Fr @shareyourtripfr @Pricemoov_FR @Cirkwi @Baludik @Destygo_Travel @NannybagFR @virtuofr @SensegoApps @blue_valet @fairjungle @YdealsSk @btuprotocol @AppKaviar;;"1075413457560838144";https://twitter.com/Eventiz_travel/status/1075413457560838144
ieft_tourisme;2018-12-18 05:40;1;4;"#IA conversationnelle : les bots dans l'industrie du #tourisme , un excellent levier pour l'expérience utilisateur via @itourisme_mag w/ @Destygo_Travel http://www. quotidiendutourisme.com/i-tourisme/lin telligence-artificielle-conversationnelle-bouleverse-le-secteur-du-tourisme/181076 …";;@itourisme_mag @Destygo_Travel;#IA #tourisme;"1074977746084904961";https://twitter.com/ieft_tourisme/status/1074977746084904961
itourisme_mag;2018-12-17 11:37;2;0;"Les chatbot, un marché porteur pour le tourisme ? Réponse avec @Destygo_Travel , un service de chatbot pour assister les voyageurs dans toutes leurs demandes http://www. quotidiendutourisme.com/i-tourisme/lin telligence-artificielle-conversationnelle-bouleverse-le-secteur-du-tourisme/181076 …";;@Destygo_Travel;;"1074705215520153600";https://twitter.com/itourisme_mag/status/1074705215520153600
AgenturFarner;2018-12-17 10:14;0;1;"Gratulation @helloxfarm , @Destygo_Travel , @hexpressions18 Unser Rückblick von den E-nnovation Awards, wo innovative #Startups ausgezeichnet werden: https://www. farner.ch/2018/12/e-nnov ation-awards-2018/#.XBe9EGv-Faw.twitter …";;@helloxfarm @Destygo_Travel @hexpressions18;#Startups #;"1074684339038928902";https://twitter.com/AgenturFarner/status/1074684339038928902
PurposeFive;2018-12-16 07:38;0;0;"@Destygo_Travel thanks for following our team on Twitter, Destygo & have a great Sunday! :)";;@Destygo_Travel;;"1074282574242041858";https://twitter.com/PurposeFive/status/1074282574242041858
jacky_038;2018-12-13 23:50;0;0;"Hey Destygo( @Destygo_Travel ), thank you for following me";;@Destygo_Travel;;"1073440100527325184";https://twitter.com/jacky_038/status/1073440100527325184
jacky_038;2018-12-13 23:10;0;0;"Hey @Destygo_Travel , Thank you for the follow!";;@Destygo_Travel;;"1073429950013865984";https://twitter.com/jacky_038/status/1073429950013865984
Pulse2PulseUK;2018-12-13 15:25;0;0;"@Destygo_Travel On behalf of my Fiancee Janet and I, we'd like to thank you for following us @Pulse2PulseUK and also like to invite you to follow us on our other 4 accounts as well @Scotland_Media @Darkskypark @Liverpool_Media and @Heart_of_a_city";;@Destygo_Travel @Pulse2PulseUK @Scotland_Media @Darkskypark @Liverpool_Media @Heart_of_a_city;;"1073313025241870336";https://twitter.com/Pulse2PulseUK/status/1073313025241870336
YashveerSingh94;2018-12-13 00:20;0;0;"Hey @Destygo_Travel , Thank you for the follow!";;@Destygo_Travel;;"1073085123560640513";https://twitter.com/YashveerSingh94/status/1073085123560640513
