username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bind40;2018-11-19 06:23;11;14;"These are the 63 finalist #industry40 startups of our next programme: @addilan_info @AliasRobotics @coollogger @TechnologyBead Coating Technologies @devisionx @DifferEngin Eave @bettergy Factor.E http:// Fieldbox.ai Flythings @TheFuturus @hdivsecurity Heuristik Human+ ....";;@addilan_info @AliasRobotics @coollogger @TechnologyBead @devisionx @DifferEngin @bettergy @TheFuturus @hdivsecurity;#industry40;"1064479182518984704";https://twitter.com/bind40/status/1064479182518984704
devisionx;2018-11-18 10:30;6;6;"DevisionX is one of finalist startups for @bind40 Next acceleration Program . We will be a part of Basque Industry 4.0 Event in 26th of November 2018 in Bilbao, Learn more on https:// bit.ly/2DvBPoI #Industry40 #machinelearning #SundayMotivation pic.twitter.com/qCEdufwNVq";;@bind40;#Industry40 #machinelearning #SundayMotivation;"1064178920130396161";https://twitter.com/devisionx/status/1064178920130396161
devisionx;2018-11-03 09:00;0;0;"Meet #DevsionX in the 4th Egyptian Date Palm Festival #SIWA #Egypt and learn more about DevisionX #quality Inspection systems in Dates industry Ask for one-one meeting, contact us info@devisionx.com learn more https:// bit.ly/2CXnBwC #Machine_Learning #siwa #egypt #datepalm pic.twitter.com/OI1WDgwGVV";;@devisionx;#DevsionX #SIWA #Egypt #quality #Machine_Learning #siwa #egypt #datepalm;"1058705356426100736";https://twitter.com/devisionx/status/1058705356426100736
devisionx;2018-11-01 16:05;2;1;"Egypt is the 1st producer in #DatePalm in the world, But it exports only 34k Tonnes from 1.5 M Tonnes! Why?It is #quality DevisionX builds quality inspection systems detect visible &invisible date defects, learn more https:// bit.ly/2CXnBwC #ThursdayThoughts #Machine_Learning pic.twitter.com/FcGZPtM3oI";;;#DatePalm #quality #ThursdayThoughts #Machine_Learning;"1058087758315556864";https://twitter.com/devisionx/status/1058087758315556864
devisionx;2018-09-10 18:59;0;1;"School of AI Deans (Kareem Elsafty as the Dean for Ismailia School of AI... https:// youtu.be/qGcwWCEtsis via @YouTube";;@YouTube;;"1039287184849813504";https://twitter.com/devisionx/status/1039287184849813504
devisionx;2018-08-12 16:05;1;1;"Know more about Deep Learning in Machine Vision from this AI Circle https://www. facebook.com/events/2331836 94007229/ …";;;;"1028734204073402368";https://twitter.com/devisionx/status/1028734204073402368
devisionx;2018-06-14 06:36;1;0;"We are happy to be part of his contest as a part of our vision to support in generation new contributions in Computer Vision & Deep Learning through competition or doing education style #Now_ISeeYou #computervision #deeplearning https://www. facebook.com/events/2056214 994643262/ …";;;#Now_ISeeYou #computervision #deeplearning;"1007210168663314433";https://twitter.com/devisionx/status/1007210168663314433
devisionx;2018-03-13 07:38;1;0;"To know more about our solutions for Textile Industry, Meet us in Egy Stitch & Tex Fair on 15 – 18 March 2018 at CICC, Cairo, Egypt https:// devisionx.com/how-to-overcom e-the-rise-of-raw-materials-in-textile-industry/ …";;;;"973523751445979137";https://twitter.com/devisionx/status/973523751445979137
devisionx;2018-03-13 07:38;0;0;"How to overcome the rise of raw materials in Textile Industry - https:// devisionx.com/how-to-overcom e-the-rise-of-raw-materials-in-textile-industry/ …";;;;"973523612908040192";https://twitter.com/devisionx/status/973523612908040192
devisionx;2018-03-10 16:17;1;1;"We are looking for Computer Vision Engineer If you want to be part of a fast learning team and have the same vision of us, send your CV to info@devisionx.com https:// devisionx.com/career/";;@devisionx;;"972582188997898241";https://twitter.com/devisionx/status/972582188997898241
devisionx;2018-03-07 14:39;0;0;"DevisionX Intro https:// youtu.be/1LS97EqNVrw via @YouTube";;@YouTube;;"971470369298280450";https://twitter.com/devisionx/status/971470369298280450
devisionx;2018-03-07 13:32;1;0;"We launched our new website https:// devisionx.com Subscribe to know our updates #MachineLearning #MachineVision #AI";;;#MachineLearning #MachineVision #AI;"971453643630235648";https://twitter.com/devisionx/status/971453643630235648
devisionx;2018-02-25 18:36;0;0;"WTF is computer vision? http:// tcrn.ch/2fQ23qs via @techcrunch";;@techcrunch;;"967906295658532865";https://twitter.com/devisionx/status/967906295658532865
devisionx;2018-01-27 15:42;0;0;"Industrie 4.0: What Can AI Bring to SMEs? - Artificial Intelligence http://www. hannovermesse.de/en/news/indust rie-4.0-what-can-ai-bring-to-smes.xhtml?emsrc=socialmedia&refID=hm%2F18%2Fb%2Ffacebook%2Fintensiv%2Fregel%2Fartificialintelligence%2Fen … via @hannover_messe";;@hannover_messe;;"957353117682675714";https://twitter.com/devisionx/status/957353117682675714
doctorSturza;2018-01-22 05:49;0;0;"RT @devisionx : Starting from the basics, we are participating in this event to lead students how to start in Machine vision and Machine learning career, it is about sharing experience and leading our future engineers, follow the event here … pic.twitter.com/Bg3WXunvWB";;@devisionx;;"955391890416898050";https://twitter.com/doctorSturza/status/955391890416898050
devisionx;2018-01-22 05:34;1;0;"Starting from the basics, we are participating in this event to lead students how to start in Machine vision and Machine learning career, it is about sharing experience and leading our future engineers, follow the event here https://www. facebook.com/events/1796758 573689885/ … pic.twitter.com/59WsRZAJf5";;;;"955388269138796544";https://twitter.com/devisionx/status/955388269138796544
devisionx;2017-12-14 15:24;0;0;"Andrew Ng says factories are AI’s next frontier - via @techreview https://www. technologyreview.com/s/609770/andre w-ng-says-factories-are-ais-next-frontier/?utm_campaign=add_this&utm_source=twitter&utm_medium=post …";;@techreview;;"941403516718993408";https://twitter.com/devisionx/status/941403516718993408
