username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
diafyt;2018-12-20 03:32;0;2;"4 months later we enter #medicaldevice certification after weeks of tuning and optimization. https:// twitter.com/diafyt/status/ 1037211389935403008 …";;;#medicaldevice;"1075670270772416512";https://twitter.com/diafyt/status/1075670270772416512
_artificialint;2018-12-08 01:10;0;0;"We are talking about Primes";;;;"1071285987764891649";https://twitter.com/_artificialint/status/1071285987764891649
octonion;2018-12-07 23:10;0;0;"Someone needs to find a similar prime that ends in an 8.";;;;"1071255696858079234";https://twitter.com/octonion/status/1071255696858079234
diafyt;2018-12-07 18:14;0;0;"Of course.. and the 1 at the end";;;;"1071181228819259393";https://twitter.com/diafyt/status/1071181228819259393
diafyt;2018-11-24 21:59;0;2;"Learning about #china while teaching #DigitalTransformation at #shenyang university is what our founder @vthomw is doing while the rest of the team is working on #medicaldevice #certification for #CE and #FDA https:// twitter.com/vthomw/status/ 1066523723791048704 …";;@vthomw;#china #DigitalTransformation #shenyang #medicaldevice #certification #CE #FDA;"1066526833628319745";https://twitter.com/diafyt/status/1066526833628319745
diafyt;2018-11-06 12:13;0;8;"After 10 weeks of filing progress reports, group hours and receiving valuable recommendations from the YC mentor we graduated at Y Combinator #SUS2018 @startupschool ..";;@startupschool;#SUS2018;"1059856252715655169";https://twitter.com/diafyt/status/1059856252715655169
diafyt;2018-10-08 16:56;0;0;"#MachineLearning is pretty cool .. #insulin dosage calculation becomes even better over time .. @vthomw is living on diafyt for about 2 month and will not miss it.. we started #FDAPrecert .. http:// diafyt.com pic.twitter.com/rwJJ51e3R1";;@vthomw;#MachineLearning #insulin #FDAPrecert;"1049403169401425920";https://twitter.com/diafyt/status/1049403169401425920
vthomw;2018-10-04 14:46;0;0;"Agree .. since I have the pleasure to beta test the app I’m super excited and hope for a fast #fda certification";;;#fda;"1047920928682860547";https://twitter.com/vthomw/status/1047920928682860547
diafyt;2018-10-04 14:41;0;2;"Application to @ycombinator sent for their winter batch, check #SUS2018 .. but the best part is that our #insulin dosage calculation is stable, now on Amazon cloud, and it takes less than 10 days for our #AI to learn correct dosing";;@ycombinator;#SUS2018 #insulin #AI;"1047919717028175873";https://twitter.com/diafyt/status/1047919717028175873
Shnoune;2018-09-17 11:24;0;0;"Someone has created a printed holder that doesn't seem to need tape.";;;;"1041709575962066945";https://twitter.com/Shnoune/status/1041709575962066945
