username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
3SpaceUKLtd;2018-12-19 06:22;0;5;"We are very pleased with the Living Wall created for @diffblueHQ yesterday. #Breakoutarea #Design #Green #Natural #Teamwork pic.twitter.com/9CMa36Zsdg";;@diffblueHQ;#Breakoutarea #Design #Green #Natural #Teamwork;"1075350758579716096";https://twitter.com/3SpaceUKLtd/status/1075350758579716096
DMAlert;2018-11-30 04:08;0;1;"RT @diffblueHQ : We're hiring, so please fwd on our job. Know anyone for our Head of Demand Gen & Growth Hacking? #GrowthHacking #DigitalMarketing #GrowthMarketing #DemandGeneration #diffblue #aiforcode https://www. diffblue.com/careers/";;@diffblueHQ;#GrowthHacking #DigitalMarketing #GrowthMarketing #DemandGeneration #diffblue #aiforcode;"1068431514906607617";https://twitter.com/DMAlert/status/1068431514906607617
diffbluehq;2018-11-30 04:01;1;1;"We're hiring, so please fwd on our job. Know anyone for our Head of Demand Gen & Growth Hacking? #GrowthHacking #DigitalMarketing #GrowthMarketing #DemandGeneration #diffblue #aiforcode https://www. diffblue.com/careers/";;;#GrowthHacking #DigitalMarketing #GrowthMarketing #DemandGeneration #diffblue #aiforcode;"1068429695375556608";https://twitter.com/diffbluehq/status/1068429695375556608
diffbluehq;2018-11-29 08:06;0;0;"We've had great feedback on the @FinancialTimes article our CEO Daniel Kroening wrote: "Subprime code: a very avoidable crisis" Check it out #diffblue #AIforcode https:// ftalphaville.ft.com/2018/10/22/154 0184400000/Subprime-code--a-very-avoidable-crisis/ … pic.twitter.com/fFuLBByHBX";;@FinancialTimes;#diffblue #AIforcode;"1068129102572544000";https://twitter.com/diffbluehq/status/1068129102572544000
diffbluehq;2018-11-28 10:23;0;1;"Thanks @growthfunders ! https:// twitter.com/growthfunders/ status/1067797512868761601 …";;@growthfunders;;"1067801095232282626";https://twitter.com/diffbluehq/status/1067801095232282626
growthfunders;2018-11-28 10:09;0;4;"Some fascinating companies on this list. The UK #Tech sector is really leading the way! @BodleTech @diffblueHQ @Demy_Colton @exscientialtd @AXA_XL @oxbotica @OxfordSpace @Oxford_VR_Ltd @Rezatec @SygnatureDiscov https:// twitter.com/HudumaLtd/stat us/1067366608593711104 …";;@BodleTech @diffblueHQ @Demy_Colton @exscientialtd @AXA_XL @oxbotica @OxfordSpace @Oxford_VR_Ltd @Rezatec @SygnatureDiscov;#Tech;"1067797512868761601";https://twitter.com/growthfunders/status/1067797512868761601
diffbluehq;2018-11-28 06:59;0;2;"Very interesting @JAXenterCOM and @tracymiranda ! https:// twitter.com/JAXenterCOM/st atus/1067706915617148929 …";;@JAXenterCOM @tracymiranda;;"1067749940103917568";https://twitter.com/diffbluehq/status/1067749940103917568
diffbluehq;2018-11-27 10:34;1;2;"Difflbue's Darren Royle published in @JAXenterCOM today: Does serverless technology really spell the death of containers? #diffblue #aiforcode https:// jaxenter.com/serverless-spe lsl-death-containers-152336.html … pic.twitter.com/n3nYkxxfOv";;@JAXenterCOM;#diffblue #aiforcode;"1067441555072520192";https://twitter.com/diffbluehq/status/1067441555072520192
diffbluehq;2018-11-27 09:32;1;0;"Check out our most recent blog post highlighting one of our engineering team leads, Chris Ryder #diffblue #aiforcode https://www. diffblue.com/blog/2018/11/2 5/diffblue-team-interview-chris-ryder-senior-software-engineer-and-team-lead … pic.twitter.com/yVxPChtCBS";;;#diffblue #aiforcode;"1067425925439152128";https://twitter.com/diffbluehq/status/1067425925439152128
diffbluehq;2018-11-22 13:41;0;1;"and @3SpaceUKLtd is doing a great job!! thanks again!";;@3SpaceUKLtd;;"1065676650678022144";https://twitter.com/diffbluehq/status/1065676650678022144
3SpaceUKLtd;2018-11-22 10:51;0;3;"Our latest project in Oxford at @diffblueHQ is well under way. 12,000 sq ft within Ramsey House for an exciting software company. Great client and great work from the team on site @3SpaceUKLtd #Officefitout #Design #Teamwork #Cleansite pic.twitter.com/6fCqFYUyBI";;@diffblueHQ @3SpaceUKLtd;#Officefitout #Design #Teamwork #Cleansite;"1065633833939288064";https://twitter.com/3SpaceUKLtd/status/1065633833939288064
startupstowers;2018-11-21 17:05;1;4;"Big congratulations to @habito , which has just won Innovative Business of the Year! http:// bit.ly/2F6cwff The Highly Commended award goes to @divido and Commended goes to @diffblueHQ ! #StartupsAwards pic.twitter.com/tCfhNfNv8a";;@habito @divido @diffblueHQ;#StartupsAwards;"1065365726771494913";https://twitter.com/startupstowers/status/1065365726771494913
