username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
digitalstartup5;2018-12-13 05:23;4;9;"Breaking News! Revolut receives EU banking license. #Revolut #Fintech @RevolutApp #banking #finance #breakingnews http:// tech.eu/brief/uk-based -fintech-startup-revolut-receives-european-banking-licence/ …";;@RevolutApp;#Revolut #Fintech #banking #finance #breakingnews;"1073161377060134912";https://twitter.com/digitalstartup5/status/1073161377060134912
digitalstartup5;2018-12-11 06:17;0;2;"After vote deference, PM May meets EU again. With sovereignty, workers rights and business in the balance, what could go wrong? #DigtialStratup #globalpolitics #businesslaws #EU https://www. bbc.com/news/uk-politi cs-46515743 …";;;#DigtialStratup #globalpolitics #businesslaws #EU;"1072450180929253376";https://twitter.com/digitalstartup5/status/1072450180929253376
KArchimowicz;2018-12-06 19:02;1;3;"As always it was worth to come all the way down from Warsaw to London to meet my fav @DisruptionBank @digitalstartup5 team and also other amazing people from L39! pic.twitter.com/Y5dlwJvTU8";;@DisruptionBank @digitalstartup5;;"1070830791524040704";https://twitter.com/KArchimowicz/status/1070830791524040704
KArchimowicz;2018-12-06 14:25;6;9;"Hanging out with @digitalstartup5 team at #Level39 pic.twitter.com/b1kfxii9Mx";;@digitalstartup5;#Level39;"1070761155604422656";https://twitter.com/KArchimowicz/status/1070761155604422656
digitalstartup5;2018-11-27 04:44;0;1;"AI can be concerning... #AI #technology https://www. economist.com/open-future/20 18/11/26/ai-thinks-like-a-corporation-and-thats-worrying …";;;#AI #technology;"1067353434020552705";https://twitter.com/digitalstartup5/status/1067353434020552705
digitalstartup5;2018-11-23 04:52;0;0;"@AmbassadorJones - can you assist me in a case of Child Abduction in Warsaw please? It concerns a 12-year old UK national whom you know very well.";;@AmbassadorJones;;"1065905878937812992";https://twitter.com/digitalstartup5/status/1065905878937812992
digitalstartup5;2018-11-21 06:54;3;8;"How Biance Became A Giant? #cryptocurrency #finance #bitcoin #altcoins #trading https:// cryptonewmedia.press/2018/11/21/how -did-binance-become-such-a-success-in-blockchain-world/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+BitcoinIndependentNewsAndBlog+%28Cryptocurrency+new+media+press%29 …";;;#cryptocurrency #finance #bitcoin #altcoins #trading;"1065211969697927171";https://twitter.com/digitalstartup5/status/1065211969697927171
digitalstartup5;2018-11-20 08:48;3;7;"@n26 Going places! https:// twitter.com/n26/status/106 4874588969074689 …";;@n26;;"1064878168362926081";https://twitter.com/digitalstartup5/status/1064878168362926081
_C_Simon;2018-11-20 08:45;0;0;"@dbsbank Growing!";;@dbsbank;;"1064877429351682049";https://twitter.com/_C_Simon/status/1064877429351682049
digitalstartup5;2018-11-20 08:43;4;8;"DBS boosts transaction banking team with new hires #business #recruitment #banking #growth #finance https://www. straitstimes.com/business/banki ng/dbs-boosts-transaction-banking-team-with-new-hires …";;;#business #recruitment #banking #growth #finance;"1064877014300205056";https://twitter.com/digitalstartup5/status/1064877014300205056
digitalstartup5;2018-11-20 06:28;1;1;"Crypto Hedge Funds are Going to Start Shutting Down: Morgan Creek #crypto #fintech #trading #investing #finance #money #economy https://www. ccn.com/crypto-hedge-f unds-are-going-to-start-shutting-down-morgan-creek/ …";;;#crypto #fintech #trading #investing #finance #money #economy;"1064842968119603205";https://twitter.com/digitalstartup5/status/1064842968119603205
digitalstartup5;2018-11-20 04:06;0;2;"Singapore to face more competition as investment hub as South-east Asia deal value doubles to US$70b over next 5 years: Report #economy #investing #startup #fintech #finance https://www. straitstimes.com/business/banki ng/more-competition-for-singapore-as-investment-hub-as-south-east-asia-deal-value …";;;#economy #investing #startup #fintech #finance;"1064807197559930880";https://twitter.com/digitalstartup5/status/1064807197559930880
digitalstartup5;2018-11-19 09:50;3;2;"Hot Topic! Visa, AmEx, Mastercard Face Antitrust Charges! #finance #scandal #banking #payments #legal https://www. pymnts.com/visa/2018/visa -american-express-mastercard-inquiry-brazil/ …";;;#finance #scandal #banking #payments #legal;"1064531443815194625";https://twitter.com/digitalstartup5/status/1064531443815194625
digitalstartup5;2018-11-19 04:13;1;1;"Chinese censorship affects games everywhere -- and it's getting bigger #gaming #censorship #gov #tech #entertainment #technology #startups https:// venturebeat.com/2018/11/15/chi nese-censorship-affects-games-everywhere-and-its-getting-bigger/ …";;;#gaming #censorship #gov #tech #entertainment #technology #startups;"1064446648741445633";https://twitter.com/digitalstartup5/status/1064446648741445633
digitalstartup5;2018-11-16 20:26;1;1;"E-waste: Cleaning Up The World's Fastest-Growing Trash Problem https:// youtu.be/Czu3BC7SrFQ via @YouTube Bringing to light global issues needing to be addressed. #DigitalStartup #waste #pollution #trash #solutions";;@YouTube;#DigitalStartup #waste #pollution #trash #solutions;"1063604250507390977";https://twitter.com/digitalstartup5/status/1063604250507390977
digitalstartup5;2018-11-16 04:11;0;0;"Airtable raises $100 million to build out enterprise offerings #startup #VentureCapital #fundraising #investing #business https:// venturebeat.com/2018/11/15/air table-raises-100-million-to-build-out-enterprise-offerings/ …";;;#startup #VentureCapital #fundraising #investing #business;"1063358770737221632";https://twitter.com/digitalstartup5/status/1063358770737221632
digitalstartup5;2018-11-15 09:03;4;8;"Digital Banking Transformation Takes Complete Rewiring, Not Fresh Paint #digitaltransformation #digitization #technology #banking #economy https:// thefinancialbrand.com/76621/digital- banking-data-analytics-gafa/ …";;;#digitaltransformation #digitization #technology #banking #economy;"1063070108040486913";https://twitter.com/digitalstartup5/status/1063070108040486913
digitalstartup5;2018-11-14 05:17;0;1;"Russia at it again? Facebook claims mid-term elections targeted by Kremlin linked group ‘IRA’. #digitalstartup #russia #facebook https:// eu.usatoday.com/story/news/201 8/11/13/election-2018-results-how-russians-used-celebrities-target-voters/1991065002/ …";;;#digitalstartup #russia #facebook;"1062650669033799680";https://twitter.com/digitalstartup5/status/1062650669033799680
digitalstartup5;2018-11-14 04:06;2;3;"How Duolingo uses AI to disrupt the language learning market. #AI #disrupt #tech #startups #edutech https://www. zdnet.com/article/how-du olingo-uses-ai-to-disrupt-the-language-learning-market/ …";;;#AI #disrupt #tech #startups #edutech;"1062632968274018304";https://twitter.com/digitalstartup5/status/1062632968274018304
digitalstartup5;2018-11-09 17:53;5;8;"University of Cambridge Alternative Finance Reports #DigitalStartup #Report #WhitePaper #UniversityofCambridge #Finance https://www. jbs.cam.ac.uk/faculty-resear ch/centres/alternative-finance/publications/ …";;;#DigitalStartup #Report #WhitePaper #UniversityofCambridge #Finance;"1061028951978590213";https://twitter.com/digitalstartup5/status/1061028951978590213
