username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SCB_DV;2018-12-28 05:40;2;3;"คุณ ซู่ชิง เคยพูดถึงอาชีพของมนุษย์ในยุค AI ในประเด็นที่ว่าจะเข้ามาแทนการทำงานของมนุษย์ในครั้งก่อนแต่ยังมีเรื่องจริยธรรมที่ยังเป็นประเด็นการพัฒนา AI อยู่มากมาหาคำตอบกันว่าจำเป็นหรือไม่ที่ AI ต้องมีจริยธรรมและจะมีประโยชน์อย่างไรติดตามได้ที่บทความของ @tpagon https:// bit.ly/2rYhPUs";;@tpagon;;"1078601509292503041";https://twitter.com/SCB_DV/status/1078601509292503041
SCB_DV;2018-12-27 05:34;0;0;"จีนถูกมองจากคนทั่วโลกว่าเป็นผู้นำด้านเทคโนโลยีเเห่งยุคโดยเฉพาะเมืองเซินเจิ้นที่ถูกนิยามว่าเป็น Silicon Valley of Hardware ที่ใหญ่ไม่เเพ้อเมริกาจากเมืองที่เป็นหมู่บ้านประมงสู่การเติบโตด้านนวัตกรรมและเทคโนโลยีระดับโลก มีความน่าสนใจอย่างไร ติดตามได้ที่นี่ https:// bit.ly/2Q0Gcux";;;;"1078237750338433025";https://twitter.com/SCB_DV/status/1078237750338433025
SCB_DV;2018-12-23 22:54;0;0;"เมืองศูนย์กลางทางการค้าที่สำคัญของจีนอย่าง "เซี่ยงไฮ้" ได้เดินหน้าพัฒนาด้านเทคโนโลยีและตั้งเป้าหมายการเป็นศูนย์กลางด้านเทคโนโลยีซึ่งขณะนี้เป็นอีกเมืองที่ทั่วโลกกำลังจับตามองเราจะพาไปส่อง Tech Ecosystem ในเซี่ยงไฮ้ ปัจจัยที่ทำให้เซี่ยงไฮ้ประสบความสำเร็จที่ https:// bit.ly/2Rg5h9s";;;;"1077049961571790849";https://twitter.com/SCB_DV/status/1077049961571790849
SCB_DV;2018-12-21 06:09;8;14;"ปัญญาประดิษฐ์ในปัจจุบันถูกพัฒนาให้มีความสามารถมากขึ้นดังนั้นทักษะการทำงานของมนุษย์จึงถูกเทคโนโลยีเข้ามาทำงานเเทนเหตุผลดังกล่าวเป็นประเด็นสำคัญของสังคมที่ถูกพูดถึงโดยเฉพาะการวิเคราะห์เกี่ยวกับอาชีพที่จะอยู่รอดในยุคของ AI มาติดตามบทความของ @Sue_Ching ได้ที่นี่ https:// bit.ly/2Sem0Hl";;@Sue_Ching;;"1076072036823257091";https://twitter.com/SCB_DV/status/1076072036823257091
SCB_DV;2018-12-16 21:06;1;0;"ก่อนหน้านี้เราได้เล่าเรื่องภาพรวมของ Peer-to-Peer Lending หรือระบบการกู้ยืมเงินยุคดิจิทัลของ Industry ไปในครั้งนี้เราจะมาเจาะลึกระบบการกู้ยืมเงินในจีน ประเทศที่เชื่อกันว่ากำลังจะเป็นผู้นำเทคโนโลยีในอนาคต มาดูกันระบบการเงินในแดนมังกรนี้มีความน่าสนใจอย่างไร? https:// bit.ly/2UOFGDy";;;;"1074485916985479168";https://twitter.com/SCB_DV/status/1074485916985479168
SCB_DV;2018-12-14 06:15;2;2;"สะดวก รวดเร็ว น่าเชื่อถือ เป็นคุณสมบัติเด่นที่ทำให้ Blockchainได้รับความไว้วางใจ และถูกนำไปใช้ในภาคการเงินกันอย่างแพร่หลาย ภาคการศึกษาเป็นอีกหนึ่งวงการที่น่าสนใจเราเคยพูดถึง Deep Tech ในภาคการศึกษากันไปแล้วครั้งนี้เรามาพูดถึงการนำ Blockchain มาใช้ในภาคนี้ https:// bit.ly/2ErHQ79";;;;"1073536933442146304";https://twitter.com/SCB_DV/status/1073536933442146304
FintechNewsTH;2018-12-10 01:02;0;0;"Thailand now ready to venture further into tangible use cases for #Blockchain , and not just in the fintech industry, says @SCB_DV Managing Director Paul Ark #ThaiFintech https:// buff.ly/2Qk9f14 pic.twitter.com/4h2ZEumacH";;@SCB_DV;#Blockchain #ThaiFintech;"1072008727790841856";https://twitter.com/FintechNewsTH/status/1072008727790841856
SCB_DV;2018-12-05 07:59;0;1;"‘Peer-to-Peer Lending’หรือP2P Lendingบริการกู้ยืมเงินออนไลน์เป็น Solution ทางการเงินที่ช่วยสร้างโอกาสให้ผู้บริโภคสามารถเข้าถึงแหล่งเงินกู้ยืมได้ง่ายขึ้นลองมาเจาะบริการ P2P Lending และตัวอย่างผู้ให้บริการ รวมถึงวิเคราะห์สถานการณ์ธุรกิจให้ลึกยิ่งขึ้นได้ที่ https:// bit.ly/2E064V0";;;;"1070301685409411080";https://twitter.com/SCB_DV/status/1070301685409411080
SCB_DV;2018-12-03 05:46;0;0;"ประเทศจีนเปิดตัวผู้ประกาศข่าวAIที่สามารถอ่านข่าวทั้งภาษาจีนและภาษาอังกฤษได้ตลอด 24 ชั่วโมงไม่หยุดเพียงเท่านั้น AIถูกพัฒนาให้สามารถแข่งโต้วาทีกับมนุษย์ได้ด้วยการโต้วาทีของ AI กับมนุษย์จะเป็นอย่างไร? AI เข้าใจภาษามีประโยชน์หรือไม่?อ่านบทความจาก @tpagon ที่นี่ https:// bit.ly/2SmZn33";;@tpagon;;"1069543384459575297";https://twitter.com/SCB_DV/status/1069543384459575297
SCB_DV;2018-12-02 06:08;0;0;"ในยุคที่เทคโนโลยีเข้ามามีบทบาทสำคัญในการปลดล็อกข้อจำกัดทางการศึกษา การนำ Deep Tech มาปรับใช้ในด้านนี้นับเป็นโซลูชั่นที่น่าจับตามองเป็นอย่างมากแล้ว Deep Tech จะถูกนำมาใช้เพื่อพัฒนารูปแบบการศึกษาได้ในรูปแบบใดบ้าง? ลองมาเรียนรู้เพิ่มเติมได้จากบทความนี้ https:// bit.ly/2FRtqi2";;;;"1069186438359470081";https://twitter.com/SCB_DV/status/1069186438359470081
