username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BetaList;2018-06-24 07:30;0;0;"@vieislife @patricksamy You're featured on BetaList! https:// betalist.com/startups/vie-h ealth …";;@vieislife @patricksamy;;"1010847714228293638";https://twitter.com/BetaList/status/1010847714228293638
CharlieMuirhead;2018-04-16 10:45;0;0;"@vieislife Loving what you guys are doing! Have your voice heard by participating in the @MayorofLondon ’s #AI Innovation Census. https:// info.cognitionx.com/londons-ai-inn ovation-census … … @cognition_x";;@vieislife @MayorofLondon @cognition_x;#AI;"985892027995967489";https://twitter.com/CharlieMuirhead/status/985892027995967489
StartupTracker;2018-02-22 09:46;0;0;"Vie just joined the Startup Tracker family Check them out here https:// startuptracker.io/startups/vie.h ealth?t=aa … @vieislife #health #medical";;@vieislife;#health #medical;"966685514052067331";https://twitter.com/StartupTracker/status/966685514052067331
StartupTracker;2018-02-22 09:42;0;1;"Vie full profile now available on Startup Tracker! Check it out https:// startuptracker.io/startups/vie.h ealth?t=ab … @vieislife #health #medical";;@vieislife;#health #medical;"966684743793291264";https://twitter.com/StartupTracker/status/966684743793291264
StartupTracker;2018-02-22 07:25;0;0;"@vieislife We haven't heard from you in a while. Do you have any exciting company/product updates to share? https:// startuptracker.io/startups/vie.h ealth/update?t=ua …";;@vieislife;;"966650124956000256";https://twitter.com/StartupTracker/status/966650124956000256
StartupTracker;2018-02-22 07:25;0;0;"@vieislife What have you been working on lately? Update your profile and we'll forward it to our users https:// startuptracker.io/startups/vie/u pdate?t=ub …";;@vieislife;;"966650098112483328";https://twitter.com/StartupTracker/status/966650098112483328
educia;2017-11-27 06:56;1;3;"How can we get rid of #cancer for good? – @vieislife http:// crplz.in/2gmuY7o pic.twitter.com/0XUzDUh18A";;@vieislife;#cancer;"935115006634610688";https://twitter.com/educia/status/935115006634610688
StartupTracker;2017-11-26 16:09;0;0;"@vieislife What have you been working on lately? Update your profile and we'll forward it to our users https:// startuptracker.io/startups/vie/u pdate?t=ub …";;@vieislife;;"934891889647587329";https://twitter.com/StartupTracker/status/934891889647587329
BetaList;2017-09-27 13:31;0;1;"@vieislife @HermesTwi @patricksamy You're featured on BetaList! http:// betalist.com/startups/box-v ie …";;@vieislife @HermesTwi @patricksamy;;"913093653186404353";https://twitter.com/BetaList/status/913093653186404353
wayronica;2017-09-27 06:15;0;0;"recent studies show that colon cancer can now be fought with high consumption of purple potatoes. check out http://www. wayronica.com/lower-the-risk -of-colon-cancer-with-purple-potatoes/ …";;;;"912984129095868416";https://twitter.com/wayronica/status/912984129095868416
jclewis;2017-09-24 19:14;1;1;"How can we get rid of #cancer for good? – @vieislife https:// buff.ly/2eKfeYk pic.twitter.com/gAE9Huv20z";;@vieislife;#cancer;"912092800635867136";https://twitter.com/jclewis/status/912092800635867136
T3nity99;2017-09-23 14:14;0;1;"How can we get rid of #cancer for good? – @vieislife https:// buff.ly/2hqJUOD pic.twitter.com/xuvDFnf845";;@vieislife;#cancer;"911654940183007232";https://twitter.com/T3nity99/status/911654940183007232
KCeresWright;2017-09-23 08:14;0;1;"How can we get rid of #cancer for good? – @vieislife https:// buff.ly/2xvXZDP pic.twitter.com/xWbrO2DQ4n";;@vieislife;#cancer;"911564368743223297";https://twitter.com/KCeresWright/status/911564368743223297
NorfolkStarwatc;2017-09-22 16:09;0;1;"How can we get rid of #cancer for good? – @vieislife https:// buff.ly/2w74RVH pic.twitter.com/rTv8SrDauH";;@vieislife;#cancer;"911321470692978688";https://twitter.com/NorfolkStarwatc/status/911321470692978688
JRBournville;2017-09-20 08:07;0;1;"How can we get rid of #cancer for good? – @vieislife https:// buff.ly/2jK0Aoz pic.twitter.com/SuTeTaepL8";;@vieislife;#cancer;"910475397468389376";https://twitter.com/JRBournville/status/910475397468389376
socialsnewz;2017-09-19 10:36;0;0;"How can we get rid of #cancer for good? – @vieislife https:// buff.ly/2xiqEvU pic.twitter.com/BJF5cNHXnJ";;@vieislife;#cancer;"910150491811799040";https://twitter.com/socialsnewz/status/910150491811799040
BigNerdMedia;2017-09-18 17:30;0;0;"How can we get rid of #cancer for good? – @vieislife https:// buff.ly/2vpba69 pic.twitter.com/PntKd6wXxE";;@vieislife;#cancer;"909892300989444097";https://twitter.com/BigNerdMedia/status/909892300989444097
TechToysGuru;2017-09-17 17:23;0;0;"How can we get rid of #cancer for good? – @vieislife https:// buff.ly/2wyi5cI pic.twitter.com/y7PP2MmOOi";;@vieislife;#cancer;"909528151059042304";https://twitter.com/TechToysGuru/status/909528151059042304
BoyanNovakov;2017-09-17 13:04;0;1;"How can we get rid of #cancer for good? – @vieislife http:// j.mp/2wyYBol pic.twitter.com/yjE5fnrxlh";;@vieislife;#cancer;"909463000263856129";https://twitter.com/BoyanNovakov/status/909463000263856129
geekienerd1608;2017-09-17 10:09;0;0;"How can we get rid of #cancer for good? – @vieislife https:// buff.ly/2frZsRY pic.twitter.com/3q7OOVXzV5";;@vieislife;#cancer;"909418927817715712";https://twitter.com/geekienerd1608/status/909418927817715712
