username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DemCavalcante;2018-11-19 18:41;0;1;"Show!";;;;"1064665006615207936";https://twitter.com/DemCavalcante/status/1064665006615207936
builderonline;2018-11-14 15:01;0;0;"Join @Doxel_AI at #HIVE to celebrate their #HIVE50 win for artificial intelligence that improves productivity - PLUS, nominate your favorite innovator for the Peoples' Choice Award: http:// ow.ly/lsLn50jFi9t pic.twitter.com/MZAd80iMNe";;@Doxel_AI;#HIVE #HIVE50;"1062797678260731912";https://twitter.com/builderonline/status/1062797678260731912
MFEmagazine;2018-11-14 15:01;0;0;"Join @Doxel_AI at #HIVE to celebrate their #HIVE50 win for artificial intelligence that improves productivity - PLUS, nominate your favorite innovator for the Peoples' Choice Award: http:// ow.ly/HBJ650jFifD pic.twitter.com/qfq0DgKPyz";;@Doxel_AI;#HIVE #HIVE50;"1062797645368975360";https://twitter.com/MFEmagazine/status/1062797645368975360
architectmag;2018-11-14 15:01;0;3;"Join @Doxel_AI at #HIVE to celebrate their #HIVE50 win for artificial intelligence that improves productivity - PLUS, nominate your favorite innovator for the Peoples' Choice Award: http:// ow.ly/UDcG50jFiiJ pic.twitter.com/Ei2ItmHxHB";;@Doxel_AI;#HIVE #HIVE50;"1062797644291063810";https://twitter.com/architectmag/status/1062797644291063810
robnsngh;2018-11-12 12:27;0;1;"Partial reason why monday mornings are great at @doxel_ai pic.twitter.com/s9VxgtL4pT";;@doxel_ai;;"1062034234028609536";https://twitter.com/robnsngh/status/1062034234028609536
ericcoreyfreed;2018-09-26 14:34;0;0;"I’m obsessed today with @doxel_ai , whose little tank robots roam around the construction site and their AI records and tracks construction progress. Anyone used this yet? Does it work?";;@doxel_ai;;"1045018712728719360";https://twitter.com/ericcoreyfreed/status/1045018712728719360
AndrewOmori;2018-09-17 09:40;0;2;"Delays and mistakes cost billions of dollars each year in the trillion dollar construction industry. That makes it a great target for new tech. @CBinsights forgot our investment in @doxel_ai , a pretty awesome AI company that uses robots and computer vision to better manage delays pic.twitter.com/zKWRDmG8ar";;@CBinsights @doxel_ai;;"1041683380583116801";https://twitter.com/AndrewOmori/status/1041683380583116801
laureenmontes;2018-09-16 19:08;3;9;"“Introducing Artificial Intelligence for Construction Productivity” @granadine82 @ariobo by @doxel_ai https:// medium.com/@doxel/introdu cing-artificial-intelligence-for-construction-productivity-38a74bbd6d07 …";;@granadine82 @ariobo @doxel_ai @doxel;;"1041463766330814464";https://twitter.com/laureenmontes/status/1041463766330814464
dddiez;2018-09-12 05:27;5;6;"Estaré en el #IXEncuentroNAN que organiza @nanarquitectura dando la visión de @ITAINNOVA sobre 'Inteligencia Artificial en la Construcción' 19'Sept en @FundacionAreces También conoceremos el novedoso robot BOXEL ( @doxel_ai ) Toda la info … https://encue ntroconarquitectos.nanconstruccion.es / pic.twitter.com/x2mRGcPket";;@nanarquitectura @ITAINNOVA @FundacionAreces @doxel_ai;#IXEncuentroNAN;"1039807657702555648";https://twitter.com/dddiez/status/1039807657702555648
shikharshrestha;2018-08-28 00:17;0;0;"Semantic deep learning eats geometric for lunch. Checkout https:// ambient.ai";;;;"1034293819905212416";https://twitter.com/shikharshrestha/status/1034293819905212416
