username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
nicolaslatour;2018-04-16 01:42;1;1;"En France, @dreamupvision est également capable de diagnostiquer la rétinopathie diabétique. Bientôt habilitée ? @agnesbuzyn @MinSoliSante @ameli_actu #IA #esante https:// twitter.com/IOT_city/statu s/985752150264418305 …";;@dreamupvision @agnesbuzyn @MinSoliSante @ameli_actu;#IA #esante;"985755195144581120";https://twitter.com/nicolaslatour/status/985755195144581120
nicolaslatour;2018-04-10 11:50;0;1;"La rétinopathie diabétique détectée également grâce aux algorithmes de #DeepLearning développés par @dreamupvision , startup française #AI https:// twitter.com/angela_hin/sta tus/983682640569094144 …";;@dreamupvision;#DeepLearning #AI;"983734056557924352";https://twitter.com/nicolaslatour/status/983734056557924352
JustineHVet;2018-03-31 05:15;1;3;"Startup en santé qui utilise l’IA : @dreamupvision qui veut détecter les retinopathies diabétiques en analysant les fonds d’œil mieux qu’un ophtalmo #doctoctoc #IAforhumanity #esante #diabetes À découvrir dans le dernier @WhatsUpDoc_mag pic.twitter.com/FHiy3i3npd";;@dreamupvision @WhatsUpDoc_mag;#doctoctoc #IAforhumanity #esante #diabetes;"980010791238762496";https://twitter.com/JustineHVet/status/980010791238762496
UCL_dPHE;2018-03-22 06:17;1;1;"#DH2018 Innovation Prize: Entry deadline 26th Mar. Exposure, recognition, feedback on #digitalhealth #innovation Join us in Lyon! PLEASE RT @kappasante @ELEAC_PillUp @TRAXxsInside @MatchUpBox @360_medics @skappy_esante @acvfit @adscientiam @dreamupvision http:// bit.ly/2F9bL0i pic.twitter.com/f5jYIqsiTO";;@kappasante @ELEAC_PillUp @TRAXxsInside @MatchUpBox @360_medics @skappy_esante @acvfit @adscientiam @dreamupvision;#DH2018 #digitalhealth #innovation;"976764884154306560";https://twitter.com/UCL_dPHE/status/976764884154306560
jsimeray;2018-02-27 03:42;1;0;"Quand les start-up françaises se frottent aux géants de l'IA @synapse_dev @CardioLogs @dreamupvision http://www. whatsupdoc-lemag.fr/le-mag-article .asp?id=24302 …";;@synapse_dev @CardioLogs @dreamupvision;;"968405860677496832";https://twitter.com/jsimeray/status/968405860677496832
Emerj;2018-01-20 15:00;0;0;"[AI in Healthcare] Diabetic Retinopathy (vision loss caused by diabetes) is the leading cause of blindness in adults aged 20-74 years. Explore how @dreamupvision and other companies are battling diabetes through AI. http:// ow.ly/djb330hOmwp";;@dreamupvision;;"954805879488024577";https://twitter.com/Emerj/status/954805879488024577
Emerj;2018-01-17 18:00;0;1;"[AI in Healthcare] Explore how @DreaMedDiabetes , @medilynccorp , @suggestic , @virtahealth , @dreamupvision use AI to help patients manage diabetes. http:// ow.ly/hACX30hMAVA";;@DreaMedDiabetes @medilynccorp @suggestic @virtahealth @dreamupvision;;"953764028236664832";https://twitter.com/Emerj/status/953764028236664832
urps_med_idf;2017-11-30 15:33;8;5;"#LabURPS - IA et médecins - @dreamupvision nous présente un logiciel de dépistage automatique par IA de la rétinopathie diabétique. Déjà en usage en Inde et au Mali ! pic.twitter.com/qcWrknMLUg";;@dreamupvision;#LabURPS;"936332403764858882";https://twitter.com/urps_med_idf/status/936332403764858882
urps_med_idf;2017-11-30 15:08;8;6;"#LabURPS - Intelligence Artificielle et médecins : un tandem aux usages déjà concrets ! C'est parti ! Avec @eHealthTech_Fr @dreamupvision @CardioLogs et @mismedvir pic.twitter.com/C5SpMt9OhD";;@eHealthTech_Fr @dreamupvision @CardioLogs @mismedvir;#LabURPS;"936326113147617280";https://twitter.com/urps_med_idf/status/936326113147617280
urps_med_idf;2017-11-23 10:27;13;10;"Médecins libéraux, prochain Lab'URPS, jeudi 30 novembre 2017 à 20h00 : Le médecin et l'intelligence artificielle : un tandem aux usages déjà concrets. Avec @dreamupvision @CardioLogs ​et @mismedvir https://www. urps-med-idf.org/?p=2838 Organisé par @urps_med_idf et @eHealthTech_Fr #esante pic.twitter.com/9VqKkPMtsX";;@dreamupvision @CardioLogs @mismedvir @urps_med_idf @eHealthTech_Fr;#esante;"933718561947815936";https://twitter.com/urps_med_idf/status/933718561947815936
urps_med_idf;2017-11-08 12:06;10;8;"2e Lab'URPS le 30 novembre 2017 à 20h00 Le médecin et l'intelligence artificielle : un tandem aux usages déjà concrets. https://www. urps-med-idf.org/lab-n2-30-nove mbre-2017/ … Organisé par @urps_med_idf et @eHealthTech_Fr Avec la participation de @dreamupvision , @CardioLogs ​et @mismedvir pic.twitter.com/AbqVEXkg5Q";;@urps_med_idf @eHealthTech_Fr @dreamupvision @CardioLogs @mismedvir;;"928307863528923137";https://twitter.com/urps_med_idf/status/928307863528923137
Tramchomy;2017-10-31 09:51;2;1;"Thanks @sunjoy_ma @dreamupvision would love to share more to you and @healthinar https:// twitter.com/sunjoy_ma/stat us/925357872590049280 …";;@sunjoy_ma @dreamupvision @healthinar;;"925359564979081216";https://twitter.com/Tramchomy/status/925359564979081216
MattGPalumbo;2017-10-12 13:26;0;0;"If a patented innovation is involved, it may qualify for USPTO's Patents For Humanity award. Need not be US-based: http:// bit.ly/2pCzL7F";;;;"918528408111509504";https://twitter.com/MattGPalumbo/status/918528408111509504
CThiakane;2017-10-04 15:59;0;4;"Ambiance interactive @FondARothschild pour @Chatbots4Health avec le CMNFIS @dreamupvision @Pastelhealth #Deeplearming #smarthealth #AI pic.twitter.com/xGZy7IeL8v";;@FondARothschild @Chatbots4Health @dreamupvision @Pastelhealth;#Deeplearming #smarthealth #AI;"915667785472253953";https://twitter.com/CThiakane/status/915667785472253953
dagautier;2017-08-05 20:12;0;0;"#IA & #diagnostic #health cc/ @dreamupvision https:// twitter.com/dr_l_alexandre /status/893813679434674176 …";;@dreamupvision;#IA #diagnostic #health;"893988230588243968";https://twitter.com/dagautier/status/893988230588243968
