username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TriNebula;2018-12-28 11:07;2;9;". @ACESIllinois & @EarthSense_Inc are bringing autonomous robots to farmers for under-the-canopy data collection. "TerraSentia" differentiates weeds well from — so mechanical de-weeding is on the horizon, too. https://www. farmprogress.com/technology/aut onomous-compact-robots-hold-potential-growers … pic.twitter.com/acF0QrX4M6";;@ACESIllinois @EarthSense_Inc;;"1078683923167760389";https://twitter.com/TriNebula/status/1078683923167760389
buildafactory;2018-12-13 18:35;0;0;"The latest We Bootstrap™! http:// webootstrap.com/?edition_id=ca 7b3ca0-ff2f-11e8-9722-0cc47a0d164b … Thanks to @EarthSense_Inc @FintechCambodia @RaghuSripada #startups #startup";;@EarthSense_Inc @FintechCambodia @RaghuSripada;#startups #startup;"1073360827569311745";https://twitter.com/buildafactory/status/1073360827569311745
futurefarming_;2018-12-06 03:17;11;11;"Precision agriculture is a fertile breeding ground for start-ups. Here’s a few to watch: https:// bit.ly/2TJ5CzU #futurefarming #precisionag #precisionfarming @AgFunder @EarthSense_Inc @ecoRobotix @FBNFarmers @AGCOcorp @naiotech @rantizosprays @smallrobotco @AgVoiceGlobal pic.twitter.com/3Ou2lGwCCC";;@AgFunder @EarthSense_Inc @ecoRobotix @FBNFarmers @AGCOcorp @naiotech @rantizosprays @smallrobotco @AgVoiceGlobal;#futurefarming #precisionag #precisionfarming;"1070593016333778944";https://twitter.com/futurefarming_/status/1070593016333778944
jvwipperfurth;2018-12-04 18:06;0;6;"Serindipity is when the accelerator puts both the AI powered Robot @EarthSense_Inc next to the human labor software provider http:// Shepherdfarming.com at the @FarmJournal AgTech Expo. Turns out we will need humans and machines! pic.twitter.com/GPenSX3LvK";;@EarthSense_Inc @FarmJournal;;"1070091885530750978";https://twitter.com/jvwipperfurth/status/1070091885530750978
AgLaunch;2018-12-03 18:55;1;6;"What does this tower do? Come find out at the AgLaunch booth @FJAgTech . We’ve got 20 startups demoing their technologies innovations. @cattlogmarket @rantizosprays @EarthSense_Inc @Micro_Biometer @PersistenceData @mygroguru and many more! pic.twitter.com/qKNITCaXZp";;@FJAgTech @cattlogmarket @rantizosprays @EarthSense_Inc @Micro_Biometer @PersistenceData @mygroguru;;"1069741903766347776";https://twitter.com/AgLaunch/status/1069741903766347776
UIResearchPark;2018-11-30 16:18;2;2;"Startup @EarthSense_Inc already built a #robot that's revolutionizing the farming industry. Now, they're building their new team with 5 new positions. Apply today at http:// ow.ly/zrJ830mOWXg #WorkAtUIRP #softwaredevelopment #agtech pic.twitter.com/ugkDsdSiiY";;@EarthSense_Inc;#robot #WorkAtUIRP #softwaredevelopment #agtech;"1068615254836416513";https://twitter.com/UIResearchPark/status/1068615254836416513
Micro_Biometer;2018-11-29 08:33;1;3;"Looking forward to it!";;;;"1068135906341789696";https://twitter.com/Micro_Biometer/status/1068135906341789696
AgVenturesAllia;2018-11-28 14:51;1;3;"We will be there!";;;;"1067868598876741633";https://twitter.com/AgVenturesAllia/status/1067868598876741633
AgLaunch;2018-11-28 13:11;4;9;"Who can we look forward to seeing at the AgTech Expo next week?! @InnovaMemphis @Start_Co @archermalmo @rantizosprays @EarthSense_Inc @Micro_Biometer @cattlogmarket @AgVenturesAllia #fjmagtechexpo #agtech https:// twitter.com/FJAgTech/statu s/1067608525839499264 …";;@InnovaMemphis @Start_Co @archermalmo @rantizosprays @EarthSense_Inc @Micro_Biometer @cattlogmarket @AgVenturesAllia;#fjmagtechexpo #agtech;"1067843337456095232";https://twitter.com/AgLaunch/status/1067843337456095232
EarthSense_Inc;2018-11-26 11:00;0;0;"@Machinewriter Thanks for covering us in your article! We have some updated info for you post our 2018 season trials - would be happy to fill you in. https://www. futurefarming.com/Smart-farmers/ Articles/2018/11/12-precision-farming-agtech-start-ups-to-watch-361648E/ …";;@Machinewriter;;"1067085624996495368";https://twitter.com/EarthSense_Inc/status/1067085624996495368
branding_see;2018-10-25 18:21;0;1;"This is My new Logo Design Are You Looking for a Logo, Branding Identity Design? Check My Work: https:// goo.gl/UUFM63 @FertilizersEuro @GfisherAG @realagriculture @FarmsNews @AgweekMagazine @AgProfessional @AgWebEditor @EarthSense_Inc @elsurco_ @GCMA1 pic.twitter.com/qwceWJEY5a";;@FertilizersEuro @GfisherAG @realagriculture @FarmsNews @AgweekMagazine @AgProfessional @AgWebEditor @EarthSense_Inc @elsurco_ @GCMA1;;"1055585097166942208";https://twitter.com/branding_see/status/1055585097166942208
AgLaunchPete;2018-10-24 21:05;0;7;"Glad to be supporting @EarthSense_Inc as part of the @AgLaunch portfolio https:// twitter.com/EarthSense_Inc /status/1055124313655967745 …";;@EarthSense_Inc @AgLaunch;;"1055264034352742401";https://twitter.com/AgLaunchPete/status/1055264034352742401
EarthSense_Inc;2018-10-24 11:50;0;4;"Great interactions with farmers and more through @AgLaunch Field Days this summer - https://www. farmjournalagtech.com/article/aglaun ch-spotlights-agtech-startups-field-days …";;@AgLaunch;;"1055124313655967745";https://twitter.com/EarthSense_Inc/status/1055124313655967745
LauraFrerichs;2018-10-17 08:25;2;4;"Catalyze Job Networking event is this Thursday, 10/18 at @UIResearchPark ! Join us to meet with 18 #chambana tech companies + view tech demos from @life_foundry , @PhotoniCare , @PSYONICinc , & @EarthSense_Inc + resume reviews. FT career opportunities: http:// facebook.com/events/3323190 … pic.twitter.com/2PMeJBqYzE";;@UIResearchPark @life_foundry @PhotoniCare @PSYONICinc @EarthSense_Inc;#chambana;"1052536152190853121";https://twitter.com/LauraFrerichs/status/1052536152190853121
YoureWelcomeCU;2018-10-16 17:22;3;7;"Catalyze is this Thursday, 10/18 at @UIResearchPark ! Join us to meet with 18 #chambana tech companies + view tech demos from @life_foundry , @PhotoniCare , @PSYONICinc , & @EarthSense_Inc + resume reviews. Networking + FT career opportunities: https://www. facebook.com/events/3323190 23988122/ … pic.twitter.com/TR3JmyPonV";;@UIResearchPark @life_foundry @PhotoniCare @PSYONICinc @EarthSense_Inc;#chambana;"1052308919010451456";https://twitter.com/YoureWelcomeCU/status/1052308919010451456
YoureWelcomeCU;2018-10-09 11:29;0;5;"As part of our Catalyze event on 10/18 with @UIResearchPark , we'll also have tech demos from @EarthSense_Inc , @life_foundry , & @PhotoniCare ! Join us: https://www. facebook.com/events/3323190 23988122/ … #chambana #YoureWelcomeCU";;@UIResearchPark @EarthSense_Inc @life_foundry @PhotoniCare;#chambana #YoureWelcomeCU;"1049683311340257280";https://twitter.com/YoureWelcomeCU/status/1049683311340257280
