username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TVSNext;2017-05-30 07:43;0;0;"https:// goo.gl/w3QnSN @easythingy 2 Minutes read on How to Win #Customers with #Chatbots ? #Bot #AI #IoT #ML #DL #TVSNext #FutureReady";;@easythingy;#Customers #Chatbots #Bot #AI #IoT #ML #DL #TVSNext #FutureReady;"869519605009481728";https://twitter.com/TVSNext/status/869519605009481728
StartupTracker;2016-10-23 08:36;0;0;"#Startup @easythingy full profile just crowdsourced! Discover w/ https:// startuptracker.io #Productivity #Travel pic.twitter.com/8msV2D1mqg";;@easythingy;#Startup #Productivity #Travel;"790170111906811905";https://twitter.com/StartupTracker/status/790170111906811905
StartupTracker;2016-10-23 01:42;0;0;"@easythingy We want to know more about your startup. Is the info we found about you up-to-date? https:// startuptracker.io/crowdsourcing/ 317409?t=a1 …";;@easythingy;;"790065729483771904";https://twitter.com/StartupTracker/status/790065729483771904
easythingy;2016-10-23 00:59;0;1;"PSFK: Travel Assistant Scans Your Emails To Make Planning Easier http://www. psfk.com/2016/10/travel -assistant-makes-planning-easy-app.html#.WAxDtngs_jA.twitter …";;;#;"790055062512869377";https://twitter.com/easythingy/status/790055062512869377
VagabondTravel_;2016-10-18 08:46;0;1;"Find out more of #EasyThingy 's features by following @easythingy now! #Travel #App";;@easythingy;#EasyThingy #Travel #App;"788360683201105920";https://twitter.com/VagabondTravel_/status/788360683201105920
VagabondTravel_;2016-10-17 20:20;0;0;"Find out more about #EasyThingy 's features by following @easythingy now! #Travel #App";;@easythingy;#EasyThingy #Travel #App;"788172818508898305";https://twitter.com/VagabondTravel_/status/788172818508898305
VagabondTravel_;2016-10-17 13:06;0;0;"Find out more of #EasyThingy 's features by following @easythingy now! #Travel #App";;@easythingy;#EasyThingy #Travel #App;"788063615035305984";https://twitter.com/VagabondTravel_/status/788063615035305984
ThessalonikiCit;2016-10-17 12:22;1;1;"If you're someone who loves to #Travel , this #App is definitely for you! Check out @easythingy now!";;@easythingy;#Travel #App;"788052535563194368";https://twitter.com/ThessalonikiCit/status/788052535563194368
easythingy;2016-10-11 22:39;0;0;"We Are Not Here to Kill #Emails . We're here to automate actions. https:// goo.gl/VzjmNR pic.twitter.com/bggl7GpXTZ";;;#Emails;"786033635807735809";https://twitter.com/easythingy/status/786033635807735809
easythingy;2016-10-11 22:37;0;0;"We Are Not Here to Kill #Emails . We're here to automate actions from E-mails. https:// goo.gl/VzjmNR";;;#Emails;"786033108470468608";https://twitter.com/easythingy/status/786033108470468608
NicoleAfek;2016-10-10 19:20;2;0;"Smart notifications powered by #AI . This app consolidates emails & provides a navigable interface instead. #lifemadesimple @easythingy";;@easythingy;#AI #lifemadesimple;"785620965178822656";https://twitter.com/NicoleAfek/status/785620965178822656
Caleb_bardy;2016-10-04 11:37;0;0;"https://www. youtube.com/shared?ci=vKW3 0roOx1U … Watch the All new Commercials of @Easythingy Co... http:// fb.me/vLUKBsQG";;@Easythingy;;"783330310758903809";https://twitter.com/Caleb_bardy/status/783330310758903809
easythingy;2016-10-04 11:12;16;1;"#Easythingy - The Travelers Dream App ! Watch it at https:// youtu.be/2INXcObK-Lk";;;#Easythingy;"783323897458401280";https://twitter.com/easythingy/status/783323897458401280
easythingy;2016-10-01 23:12;14;2;"Easythingy for TheHighFlyers http://www. businesstravelerusa.com/archive/octobe r-2016/lifestyle/easythingy-for-thehighflyers …";;;;"782417869321613312";https://twitter.com/easythingy/status/782417869321613312
MPIWSC;2016-09-16 16:51;0;1;"@Easythingy launches smart bots, turning your email into a smart #travel app #eventprofs http:// buff.ly/2cJmRzq pic.twitter.com/Db7Q7fJsDG";;@Easythingy;#travel #eventprofs;"776886132474773505";https://twitter.com/MPIWSC/status/776886132474773505
jorhathaway;2016-09-15 13:05;0;1;"@Easythingy launches smart bots, turning your email into a smart #travel app #eventprofs http:// buff.ly/2cJnLff pic.twitter.com/r0zVVE16ic";;@Easythingy;#travel #eventprofs;"776466885101649921";https://twitter.com/jorhathaway/status/776466885101649921
gobottish;2016-09-15 12:14;1;3;"Check(in): @Easythingy launches smart #bots , turning your email into a smart #travel app http:// tcrn.ch/2cpQ7Id via @haje @techcrunch";;@Easythingy @haje @techcrunch;#bots #travel;"776454113404084224";https://twitter.com/gobottish/status/776454113404084224
easythingy;2016-09-14 14:03;0;2;"Thanks for writing about us";;;;"776119313346334720";https://twitter.com/easythingy/status/776119313346334720
easythingy;2016-09-14 13:25;14;1;"Find out what @TechCrunch feels about @easythingy now at https:// techcrunch.com/2016/09/13/eas ythingy-email-bots/ …";;@TechCrunch @easythingy;;"776109692208582657";https://twitter.com/easythingy/status/776109692208582657
assorizontal;2016-09-14 03:02;0;1;"@easythingy launches smart #bots , turning your email into a smart #travel app http:// tcrn.ch/2cpQ7Id via @techcrunch #chatbots #AI";;@easythingy @techcrunch;#bots #travel #chatbots #AI;"775952779781091328";https://twitter.com/assorizontal/status/775952779781091328
flyusdotcom;2016-09-13 17:45;1;2;"@easythingy launches smart bots, turning your email into a smart #travel app: http:// tcrn.ch/2cpQ7Id @techcrunch pic.twitter.com/nzuDYmWqqX";;@easythingy @techcrunch;#travel;"775812714950107137";https://twitter.com/flyusdotcom/status/775812714950107137
thilina7fernand;2016-09-08 08:13;1;1;"This #App @easythingy scours through your email & automatically turns emails into actionable cards! Check it out now!";;@easythingy;#App;"773856851565744128";https://twitter.com/thilina7fernand/status/773856851565744128
EdTechFam;2016-09-07 18:36;1;1;"This #Revolutionary #App will make your life easy! Check out and follow @easythingy and learn how! sp";;@easythingy;#Revolutionary #App;"773651192425701377";https://twitter.com/EdTechFam/status/773651192425701377
TechAggregator;2016-09-06 20:50;2;2;"This is definitely the #Solution to my messy #E -mail - @easythingy is definitely making my life easier! You should download it too!";;@easythingy;#Solution #E;"773322508615421952";https://twitter.com/TechAggregator/status/773322508615421952
easythingy;2016-09-05 23:56;0;0;"@easythingy - Many tried! But we NAILED IT --> http://www. easythingy.com pic.twitter.com/8EjXW4fXEF";;@easythingy;;"773006868847353857";https://twitter.com/easythingy/status/773006868847353857
easythingy;2016-09-05 06:32;4;3;"Tired of Managing #Email with Folders ? Here's the #App you need ! http:// goo.gl/mvi1Yj pic.twitter.com/RJkJMG84lr";;;#Email #App;"772744091125690368";https://twitter.com/easythingy/status/772744091125690368
easythingy;2016-09-04 22:55;0;0;"Care less about searching emails to track delivery parcels ! We've got the information on deliveries in Easythingy ! pic.twitter.com/GvQdpi6aOr";;;;"772629320057532416";https://twitter.com/easythingy/status/772629320057532416
easythingy;2016-09-04 22:54;0;0;"We are bringing "Search Bills on Emails" to an END -- > http://www. easythingy.com pic.twitter.com/q7dQv298VD";;;;"772628893358395392";https://twitter.com/easythingy/status/772628893358395392
easythingy;2016-09-04 22:53;0;0;"Delete folders for flight itineraries in your email ! #Easythingy brings that information automatically in the app ! pic.twitter.com/gxyTCnHlRG";;;#Easythingy;"772628624729964544";https://twitter.com/easythingy/status/772628624729964544
