username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Electric_NickG;2018-12-20 19:41;0;1;"This!!! @Electric_AI https:// twitter.com/Jason/status/1 075910456525479936 …";;@Electric_AI;;"1075914149450973185";https://twitter.com/Electric_NickG/status/1075914149450973185
Electric_AI;2018-12-19 14:22;3;3;"Not only can we protect your team's devices from malware, but we also have better memes. https:// tcrn.ch/2Bql5MV via @techcrunch";;@techcrunch;;"1075471448976908288";https://twitter.com/Electric_AI/status/1075471448976908288
Electric_AI;2018-12-14 15:01;5;5;"We read MuleSoft's 2018 Connectivity Benchmark Report. We had some thoughts. We wrote them down. Check it out: http:// bit.ly/2S368XZ pic.twitter.com/Uv653fbrli";;;;"1073669295421448193";https://twitter.com/Electric_AI/status/1073669295421448193
johnnyirv802;2018-12-13 14:33;1;0;"@Electric_AI";;@Electric_AI;;"1073299931811713024";https://twitter.com/johnnyirv802/status/1073299931811713024
johnnyirv802;2018-12-12 16:31;1;3;"Great podcast with @DarkHorsePod and @DenehyXXL about @Electric_AI https:// soundcloud.com/darkhorsepodca st/episode-25-ryan-denehy …";;@DarkHorsePod @DenehyXXL @Electric_AI;;"1072967078964011008";https://twitter.com/johnnyirv802/status/1072967078964011008
DarkHorsePod;2018-12-12 15:30;2;3;"What can we say... it isn't all that shocking to hear that @Electric_AI #CEO Ryan Denehy has always been a #hustler . Tune into the full conversation with @dzoldan , @jeffkreisler and @AriGinsberg here: https:// buff.ly/2B7xAN8 @DenehyXXL @StandUpNY @StandUpNYLabs #Entrepreneurship pic.twitter.com/2TPaKZz46d";;@Electric_AI @dzoldan @jeffkreisler @AriGinsberg @DenehyXXL @StandUpNY @StandUpNYLabs;#CEO #hustler #Entrepreneurship;"1072951880958050305";https://twitter.com/DarkHorsePod/status/1072951880958050305
johnnyirv802;2018-12-06 15:12;0;0;"@Company Have you checked out @Electric_AI and our CEO @DenehyXXL . It would make a great profile for @Company !!! Love your content.";;@Company @Electric_AI @DenehyXXL @Company;;"1070773071668224000";https://twitter.com/johnnyirv802/status/1070773071668224000
johnnyirv802;2018-12-06 13:26;0;2;"@HomerLogistics Just walked by your HQ on Greenwich Street, we are neighbors. Would love to chat with someone about your neighbor @Electric_AI logistics and your current IT setup. Looking forward to speaking!";;@HomerLogistics @Electric_AI;;"1070746269264560128";https://twitter.com/johnnyirv802/status/1070746269264560128
Electric_AI;2018-12-04 09:21;5;2;"P.S. Employees can't get their best work done if their technology isn't up to speed! That's where we come in https:// twitter.com/SlackHQ/status /1069668124042121217 …";;;;"1069959805970903051";https://twitter.com/Electric_AI/status/1069959805970903051
_Vijay_Nagar_;2018-12-01 07:56;0;0;"Hello, @Electric_AI I am from BetaPage and I would like to invite you to submit your business website or app at http:// BetaPage.co where you get more visibility and our tech audience reviews for better performance of your startup project.";;@Electric_AI;;"1068851278522929153";https://twitter.com/_Vijay_Nagar_/status/1068851278522929153
