username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
emtelhealth;2018-07-23 17:34;0;1;"Our CTO @anoopsarkar gives us the rundown on all the latest research from @acl2018 pic.twitter.com/kuQPVUP4hp";;@anoopsarkar @acl2018;;"1021508971801194496";https://twitter.com/emtelhealth/status/1021508971801194496
emtelhealth;2018-05-19 14:11;0;0;"E";;;;"997902539621154816";https://twitter.com/emtelhealth/status/997902539621154816
SuzDrisdelle;2018-04-11 15:58;1;10;"Hearing from Vancouver-based companies @MetaOptima , @emtelhealth , FIRSTEP @ByrneWolf about their AI solutions for better diagnosis and health outcomes. #TELUSVenturesSummit #THIW @MaRSDD https:// twitter.com/TELUSHealth/st atus/984153760518868992 …";;@MetaOptima @emtelhealth @ByrneWolf @MaRSDD;#TELUSVenturesSummit #THIW;"984158855029501952";https://twitter.com/SuzDrisdelle/status/984158855029501952
TELUSHealth;2018-04-11 15:38;19;28;"#AI in healthcare: separating hype from reality #TELUSVenturesSummit panel explores learnings from the front line with @ByrneWolf @Wellness_Garage , @woutbrusselaers @deep6ai , Tim O’Connell @emtelhealth and @Maryam_Sadeghi @MetaOptima #TELUSVenturesSummit #THIW pic.twitter.com/tZfwOjxWkb";;@ByrneWolf @Wellness_Garage @woutbrusselaers @deep6ai @emtelhealth @Maryam_Sadeghi @MetaOptima;#AI #TELUSVenturesSummit #TELUSVenturesSummit #THIW;"984153760518868992";https://twitter.com/TELUSHealth/status/984153760518868992
optimusinfo;2018-04-03 15:15;0;1;"The team at Optimus can't wait for the the Microsoft Tech Summit, just two days away. Who else is going? http:// ow.ly/IROz30jihTi #AI @Azure @Microsoft @emtelhealth pic.twitter.com/YgteDWKPZw";;@Azure @Microsoft @emtelhealth;#AI;"981248786428198914";https://twitter.com/optimusinfo/status/981248786428198914
emtelhealth;2018-02-14 21:01;0;0;"Breaking News! We are pleased to welcome Jinho Choi, Ph.D. to the @emtelhealth Team. Jinho will join us as a Senior Advisor, and help us push our proprietary EmtelliPro engine to even higher performance. Read about it here: https://www. emtelligent.com/press";;@emtelhealth;;"963956368184041472";https://twitter.com/emtelhealth/status/963956368184041472
i_DigitalHealth;2018-02-14 16:47;0;0;"People on the move today: @emtelhealth grabs a big brain, @SurgicalNotes gets a new CTO, and @VSPVisionCare names a CEO https:// goo.gl/YZogGw";;@emtelhealth @SurgicalNotes @VSPVisionCare;;"963892578293895168";https://twitter.com/i_DigitalHealth/status/963892578293895168
emtelhealth;2018-02-09 18:27;0;1;"Exciting strategy meeting with the founders after a morning of productive dev meetings with some of our amazing NLP team. #yaletown pic.twitter.com/iI2bKAFdod";;;#yaletown;"962105717229432832";https://twitter.com/emtelhealth/status/962105717229432832
emtelhealth;2018-01-24 20:19;0;0;"Enjoying some solid tech startup insights at Tech Connect - Thanks @MNP_LLP and co-sponsors! pic.twitter.com/Kq22WSbQPA";;@MNP_LLP;;"956335801893208064";https://twitter.com/emtelhealth/status/956335801893208064
emtelhealth;2017-08-02 17:29;0;2;"Enjoying a great conference at @acl2017 - biggest attendance ever - great to see so many NLPers! #acl2017nlp pic.twitter.com/aPFz9JojWB";;@acl2017;#acl2017nlp;"892859937432322048";https://twitter.com/emtelhealth/status/892859937432322048
emtelhealth;2017-06-14 00:01;0;2;"Part of the @emtelhealth team enjoying a great evening of amazing insights with @athenaMDP @athenahealth pic.twitter.com/C7YfEfrGC0";;@emtelhealth @athenaMDP @athenahealth;;"874839213421867018";https://twitter.com/emtelhealth/status/874839213421867018
ElevarCo;2017-06-13 22:25;0;1;"Glad you’re enjoying the event!";;;;"874815139123429376";https://twitter.com/ElevarCo/status/874815139123429376
emtelhealth;2017-06-13 22:20;0;2;"Enjoying a great and lively panel discussion at @athenaMDP #MDPlabs thanks Athena and @ElevarCo pic.twitter.com/Q5p7CTWVgj";;@athenaMDP @ElevarCo;#MDPlabs;"874813790574878720";https://twitter.com/emtelhealth/status/874813790574878720
