username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
F10_accelerator;2018-12-24 09:39;0;1;"Congratulations to the F10 alumni @enterprisebot and @_futurae ! https:// twitter.com/dsteingruberCH /status/1077121005066350592 …";;@enterprisebot @_futurae;;"1077212222743605258";https://twitter.com/F10_accelerator/status/1077212222743605258
dsteingruberCH;2018-12-24 03:37;2;6;"some alumni #fintech #startups of @F10_accelerator are nominated for @IMD_Bschool - @_futurae @enterprisebot via @startuptickerCH #innovation #collaboration https://www. startupticker.ch/en/news/decemb er-2018/imd-to-kicks-off-the-21st-edition-with-27-startups …";;@F10_accelerator @IMD_Bschool @_futurae @enterprisebot @startuptickerCH;#fintech #startups #innovation #collaboration;"1077121005066350592";https://twitter.com/dsteingruberCH/status/1077121005066350592
InsurTechMunich;2018-12-17 11:45;0;0;"@enterprisebot provides bots that communicate in natural language and understand users'​ requirements. Their solution drastically reduces contact center costs and enhances customer satisfaction. Read our interview with @enterprisebot here: https://www. insurtech-munich.com/enterprise-bot -is-an-artificial-intelligence-company-that-builds-white-labelled-cognitive-solutions-for-enterprises/ …";;@enterprisebot @enterprisebot;;"1074707211488821248";https://twitter.com/InsurTechMunich/status/1074707211488821248
Marc_Maret;2018-12-10 14:02;0;1;"Go go go @laskovic and @enterprisebot . Bring Business Home! https:// twitter.com/laskovic/statu s/1072042454386397184 …";;@laskovic @enterprisebot;;"1072204904951889921";https://twitter.com/Marc_Maret/status/1072204904951889921
laskovic;2018-12-10 03:16;0;2;"Today and tomorrow joining Alperia Startup Camp at #NOItechpark in #bolzano presenting @enterprisebot . Thanks for having us. pic.twitter.com/8LuSZCERY7";;@enterprisebot;#NOItechpark #bolzano;"1072042454386397184";https://twitter.com/laskovic/status/1072042454386397184
BillionJourneys;2018-11-29 05:39;3;32;"We are on LinkedIn, follow us for additional business updates, #futureoftransport content and news on the companies on cohort 2 @axonvibe @FAIRTIQ @briteyellowltd @dovuofficial @CitiLogik @enterprisebot @igeolise @wluper_ @ordoo @RouteReports https://www. linkedin.com/company/the-bi llion-journey-project/ … #innovation";;@axonvibe @FAIRTIQ @briteyellowltd @dovuofficial @CitiLogik @enterprisebot @igeolise @wluper_ @ordoo @RouteReports;#futureoftransport #innovation;"1068092069862916096";https://twitter.com/BillionJourneys/status/1068092069862916096
MakerZoneShow;2018-11-08 10:34;0;0;"@riskifier @BillteApp @enterprisebot @Synacts @brainalyzed @Appetita_ai wanna come talk about this??";;@riskifier @BillteApp @enterprisebot @Synacts @brainalyzed @Appetita_ai;;"1060556068286271489";https://twitter.com/MakerZoneShow/status/1060556068286271489
venturelab_ch;2018-11-07 13:15;2;9;"Last but not least, the #VleadersFintech obtain their diploma at @USEmbassyBern . @inside_3rd_eyes @AAAccell1 @ApiaxCOM @ARCATrust @enterprisebot @ImburseAG @Investment_Navi @ShiftCryptoHQ @LEND_CH & @tradeplus24 ! Great work in NY pic.twitter.com/5uXqh1Lwjz";;@USEmbassyBern @inside_3rd_eyes @AAAccell1 @ApiaxCOM @ARCATrust @enterprisebot @ImburseAG @Investment_Navi @ShiftCryptoHQ @LEND_CH @tradeplus24;#VleadersFintech;"1060234195321143296";https://twitter.com/venturelab_ch/status/1060234195321143296
CDWCorp;2018-11-01 06:00;3;5;"Make sure you're following the @Forbes #womenintech shaking things up! @enterprisebot @GameGeekGirl @FOVEinc @GrabSG @ameliafriedman @hatchappshq @Humanitas @abilalayo @seeimpactvision @JobsCentralSG @mcostach @laboratoriaLA @MathaqiSA https:// cdw.io/l46L5V";;@Forbes @enterprisebot @GameGeekGirl @FOVEinc @GrabSG @ameliafriedman @hatchappshq @Humanitas @abilalayo @seeimpactvision @JobsCentralSG @mcostach @laboratoriaLA @MathaqiSA;#womenintech;"1057935301811822593";https://twitter.com/CDWCorp/status/1057935301811822593
F10_accelerator;2018-10-31 07:47;0;0;"We could not be happier to have been part of your journey in transforming #business ideas into a great product! @enterprisebot had participated in our P2 "Prototype to Product" program tailored for #FinTech , #RegTech and #InsurTech #Startups with promising first prototypes. https:// twitter.com/F10_accelerato r/status/1057373456675889159 …";;@enterprisebot;#business #FinTech #RegTech #InsurTech #Startups;"1057599914312638465";https://twitter.com/F10_accelerator/status/1057599914312638465
F10_accelerator;2018-10-30 16:57;0;0;"@enterprisebot participated in our "Prototype to Product" program that supports #FinTech , #RegTech and #InsurTech #Startups creating a minimal viable product. Applications for the next batch will open soon! More information about this Accelerator Program: https:// bit.ly/2NhA156 https:// twitter.com/F10_accelerato r/status/1057373456675889159 …";;@enterprisebot;#FinTech #RegTech #InsurTech #Startups;"1057376090681995264";https://twitter.com/F10_accelerator/status/1057376090681995264
F10_accelerator;2018-10-30 16:47;0;0;"Fantastic news from F10 alumni Enterprise Bot: Swiss Federal Railways is exploring new options for #digital #communication with @enterprisebot ! via @SBB_Startup pic.twitter.com/4QdtmFZ0KU";;@enterprisebot @SBB_Startup;#digital #communication;"1057373456675889159";https://twitter.com/F10_accelerator/status/1057373456675889159
EvaProkop;2018-10-29 06:26;1;3;"RT @sbcCommerce : @Sbootcamp is very proud to have our alumni, @Dekoeko_sklep and @enterprisebot among the Top 10 finalists of the Women Startup Challenge pitching at the office of the Mayor of Paris last Thursday! @WomenWhoTech #womenintech #founders pic.twitter.com/0gn0JR3lr5";;@sbcCommerce @Sbootcamp @Dekoeko_sklep @enterprisebot @WomenWhoTech;#womenintech #founders;"1056854834815524864";https://twitter.com/EvaProkop/status/1056854834815524864
sbcCommerce;2018-10-29 05:05;3;1;"@Sbootcamp is very proud to have our alumni, @Dekoeko_sklep and @enterprisebot among the Top 10 finalists of the Women Startup Challenge pitching at the office of the Mayor of Paris last Thursday! @WomenWhoTech #womenintech #founders pic.twitter.com/qNNySOx4Uv";;@Sbootcamp @Dekoeko_sklep @enterprisebot @WomenWhoTech;#womenintech #founders;"1056834463940964352";https://twitter.com/sbcCommerce/status/1056834463940964352
mobile_n_games;2018-10-26 16:21;0;8;"Good night to all the amazing ladies @dekoeko_sklep , @enterprisebot , @nova_earring , @SonicjobsApp , @GetTrik_ , @vitruehealth , @vouchery_io , @justynashley & @WomenWhoTech I met at #WomenStartupChallenge - wrote up some thoughts: https:// bit.ly/2D7J7PZ";;@dekoeko_sklep @enterprisebot @nova_earring @SonicjobsApp @GetTrik_ @vitruehealth @vouchery_io @justynashley @WomenWhoTech;#WomenStartupChallenge;"1055917266364194816";https://twitter.com/mobile_n_games/status/1055917266364194816
nnovick;2018-10-25 14:30;1;7;"For those who couldn't make the #WomenStartupChallenge , thankfully, @womenwhotech 's got us covered! Pitching tonight in the #Paris City Hall: @dekoeko_sklep @enterprisebot Inorevia @nova_earring @objectbox_io Sampson Solutions @SonicjobsApp @GetTrik_ @vitruehealth @vouchery_io https:// twitter.com/justynashley/s tatus/1055513877117575168 …";;@womenwhotech @dekoeko_sklep @enterprisebot @nova_earring @objectbox_io @SonicjobsApp @GetTrik_ @vitruehealth @vouchery_io;#WomenStartupChallenge #Paris;"1055527067117346816";https://twitter.com/nnovick/status/1055527067117346816
ecrescuicci;2018-10-25 12:57;1;1;"@enterprisebot avec Ravina Mutha Add a chabot in the Customer Service #tech #AI #innovation @#womenStartupChallenge @Paris pic.twitter.com/FKt2IuPcEL";;@enterprisebot @ @Paris;#tech #AI #innovation #womenStartupChallenge;"1055503600435298306";https://twitter.com/ecrescuicci/status/1055503600435298306
RadCampaign;2018-10-25 12:56;1;0;"@EnterpriseBot creates AI powered chatbots to automate customer interactions and provide enterprises with a readily accessible digital agent to improve customer experience and create operationally efficiency. #WomenStartupChallenge";;@EnterpriseBot;#WomenStartupChallenge;"1055503300878065664";https://twitter.com/RadCampaign/status/1055503300878065664
justynashley;2018-10-25 12:55;1;1;"@EnterpriseBot creates AI powered chatbots to automate customer interactions and provide enterprises with a readily accessible digital agent to improve customer experience and create operationally efficiency. #WomenStartupChallenge";;@EnterpriseBot;#WomenStartupChallenge;"1055503248952643585";https://twitter.com/justynashley/status/1055503248952643585
consultancy32;2018-10-25 12:55;0;1;"I see you are at the same event Would be a pleasure meeting you after the pitches";;;;"1055503010560917507";https://twitter.com/consultancy32/status/1055503010560917507
justynashley;2018-10-25 12:53;4;6;"Our 10 #WomenStartupChallenge finalists are competing to win a $35K Grand Prize and a special $25K Data+Transparency Prize from @Mozilla for €25K! @Dekoeko_sklep @enterprisebot @NOVA_earring @objectbox_io @SonicjobsApp @getTRIK_ @VirtueHealth @vouchery_io";;@Mozilla @Dekoeko_sklep @enterprisebot @NOVA_earring @objectbox_io @SonicjobsApp @getTRIK_ @VirtueHealth @vouchery_io;#WomenStartupChallenge;"1055502736882573313";https://twitter.com/justynashley/status/1055502736882573313
justynashley;2018-10-25 12:50;1;2;"Who hates calling customer service? @enterprisebot is knocking out customer service bots - kicking butt and taking names. #WomenStartupChallenge";;@enterprisebot;#WomenStartupChallenge;"1055501806237827072";https://twitter.com/justynashley/status/1055501806237827072
carolineramade;2018-10-25 12:49;2;4;"2nd startup @enterprisebot #WomenStartupChallenge pic.twitter.com/Kafa5PYGfu";;@enterprisebot;#WomenStartupChallenge;"1055501631725490178";https://twitter.com/carolineramade/status/1055501631725490178
AshaMarie18;2018-10-25 12:48;2;5;"Ravina Mutha pitching @enterprisebot , which creates AI powered chatbots to automate customer interactions #womenstartupchallenge #womenwhotech #womenintech #startups pic.twitter.com/imvheyMRWg";;@enterprisebot;#womenstartupchallenge #womenwhotech #womenintech #startups;"1055501264753168390";https://twitter.com/AshaMarie18/status/1055501264753168390
