username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
entropiktech;2018-12-30 06:42;0;2;"AI Push in India: Parliament, assemblies to use #ArtificialIntelligence and machine learning under E-Vidhan project https:// buff.ly/2EPQyeB Interact with #emotion #ArtificialIntelligence on https:// affectlab.io / Sign up for Your Free Trial! #EmotionAI #government #e_Governance pic.twitter.com/qmzAGFOxdJ";;;#ArtificialIntelligence #emotion #ArtificialIntelligence #EmotionAI #government #e_Governance;"1079341834659381248";https://twitter.com/entropiktech/status/1079341834659381248
entropiktech;2018-12-30 06:34;0;4;"Planning to make a futuristic career in Web Designing? Here's a must read: https:// buff.ly/2ESw6L9 Test your web design's #userinterface efficacy on our #EmotionAI platform https:// affectlab.io / #webdesign pic.twitter.com/0zprggLUot";;;#userinterface #EmotionAI #webdesign;"1079339821905182720";https://twitter.com/entropiktech/status/1079339821905182720
entropiktech;2018-12-30 06:28;0;1;"IT industry to infuse big bucks in automation, Artificial Intelligence in 2019. Read the full article here https:// buff.ly/2Vfu9gs Try out our #Emotion #artificial_intelligence #SaaS platform https:// affectlab.io / Demo it at no cost! #EmotionAI pic.twitter.com/xLmtqshN9D";;;#Emotion #artificial_intelligence #SaaS #EmotionAI;"1079338315608965120";https://twitter.com/entropiktech/status/1079338315608965120
entropiktech;2018-12-29 07:18;0;2;"#FaceRecognition To Help UP Police Catch Criminals. "This app has a database of about 5 lakh criminals of the state" Said Mr. Singh, UP Police Chief. Read here https:// buff.ly/2LC2e6d Get yourself acquainted with face recognition tech by clicking here https:// buff.ly/2Ad4XxG pic.twitter.com/gy9ejB4qVS";;;#FaceRecognition;"1078988506796564482";https://twitter.com/entropiktech/status/1078988506796564482
entropiktech;2018-12-29 06:56;0;2;"Novel insights we at @entropiktech have uncovered in 2018 on how emotional analytics enabled us to gain acumen that helped our clients transform their marketing strategy. Read the full article here https:// buff.ly/2TgUARt #Insights #top5 #emotionAI #marketingstrategy pic.twitter.com/PMe9eDudc5";;@entropiktech;#Insights #top5 #emotionAI #marketingstrategy;"1078982975537201154";https://twitter.com/entropiktech/status/1078982975537201154
entropiktech;2018-12-29 05:37;1;0;"Advancing Both #artificial_intelligence and Privacy Is Not a Zero-Sum Game: Some of the promising privacy-preserving technologies that have emerged so far. Read Here https:// buff.ly/2VcKlPF Try out our #EmotionAI #SaaS platform https:// affectlab.io / Demo it at Zero Cost! pic.twitter.com/6HsL5M6nrh";;;#artificial_intelligence #EmotionAI #SaaS;"1078963094515314688";https://twitter.com/entropiktech/status/1078963094515314688
entropiktech;2018-12-29 04:54;0;2;"Year End Review: What Drove Emotion for TV Viewers in 2018: Most #Emotionally Reacted Non-Sports Programs & Sports Telecasts. Read Here https:// buff.ly/2TeWX70 Use our #emotion sensing technology to determine ad placement & content's emotion score on https:// affectlab.io / pic.twitter.com/9x20gcRhYr";;;#Emotionally #emotion;"1078952269230555136";https://twitter.com/entropiktech/status/1078952269230555136
entropiktech;2018-12-28 04:23;0;1;"#AI can help businesses stay ahead of the curve: Forrester reports that 40 “insight-driven companies” are going to grab $1.8 trillion by 2021. @EconomicTimes Read more at: https:// buff.ly/2V6c04Z Try out our #EmotionAI SaaS platform https:// affectlab.io / Demo it at No Cost! pic.twitter.com/PRcquJKREh";;@EconomicTimes;#AI #EmotionAI;"1078582082077630464";https://twitter.com/entropiktech/status/1078582082077630464
entropiktech;2018-12-28 02:41;0;1;"10 Ways Machine Learning Is Revolutionizing Sales. "Sales teams adopting #AI are seeing an increase in leads and appointments of more than 50%, cost reductions of 40%–60%, and call time reductions of 60%–70%" via @Forbes by @LouisColumbus Read Here https:// buff.ly/2Q5sqqj pic.twitter.com/tH4uOZZQr6";;@Forbes @LouisColumbus;#AI;"1078556410114383872";https://twitter.com/entropiktech/status/1078556410114383872
entropiktech;2018-12-28 01:45;0;2;"Ray Kurzweil once said, “Artificial intelligence will reach human levels by around 2029...by 2045, the human biological machine intelligence of our civilization will have increased a billion-fold.” Read here https:// buff.ly/2TdxdIi pic.twitter.com/v00HY7xUT4";;;;"1078542318507081729";https://twitter.com/entropiktech/status/1078542318507081729
