username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LionCircuits;2018-12-29 00:45;1;2;"You can now access our YouTube channel for a guide to order #PCB on http://www. LionCircuits.com Visit https:// bit.ly/2LE9NJD and Don't forget to Like, Comment, Share & Subscribe. #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits";;;#PCB #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits;"1078889608665071618";https://twitter.com/LionCircuits/status/1078889608665071618
LionCircuits;2018-12-25 01:09;1;1;"Merry Christmas guys! Here's the tip of the day. Visit http://www. LionCircuits.com for smart #PCB manufacturing. #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits #TuesdaysTip pic.twitter.com/YrwFPkeCSC";;;#PCB #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits #TuesdaysTip;"1077446225614553088";https://twitter.com/LionCircuits/status/1077446225614553088
LionCircuits;2018-12-24 01:12;1;2;"Wanna get #PCB Manufactured? We are gonna turn your designs into reality. Register or Login on http://www. LionCircuits.com & Order Now! #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits pic.twitter.com/GlfOnMhM3m";;;#PCB #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits;"1077084512880873472";https://twitter.com/LionCircuits/status/1077084512880873472
LionCircuits;2018-12-22 02:41;0;1;"New video is up on YouTube guys! Visit https:// youtu.be/qOTfDZ4Vku4 Don’t forget to Like, Comment, Share & Subscribe.";;;;"1076382110020263936";https://twitter.com/LionCircuits/status/1076382110020263936
LionCircuits;2018-12-20 00:56;3;3;"If you are looking for a Rush #PCB Service, then #LionCircuits got what you need. Visit http://www. LionCircuits.com and Order Now! #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia pic.twitter.com/bUCfByrPb6";;;#PCB #LionCircuits #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia;"1075631093557149696";https://twitter.com/LionCircuits/status/1075631093557149696
LionCircuits;2018-12-19 05:23;1;1;"Step by Step Guide on how to order on LionCircuits Platform is available on youtube now. Visit https:// youtu.be/xbTK1kHO_wQ #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits";;;#MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits;"1075335819811045376";https://twitter.com/LionCircuits/status/1075335819811045376
LionCircuits;2018-12-18 00:31;0;1;"It’s time for Tuesday’s Tip. Visit http://www. LionCircuits.com for smart #PCB manufacturing. #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits #TuesdaysTip pic.twitter.com/BiFDIGmiRz";;;#PCB #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits #TuesdaysTip;"1074899810711453696";https://twitter.com/LionCircuits/status/1074899810711453696
LionCircuits;2018-12-17 00:32;2;4;"Create an account or Login on http://www. LionCircuits.com to get started with your online #PCB orders and instant quotes. To know more about how to order visit https://www. youtube.com/watch?v=rr40kK Ej5n4 … #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits pic.twitter.com/MN9OxkV9me";;;#PCB #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits;"1074537745199058945";https://twitter.com/LionCircuits/status/1074537745199058945
LionCircuits;2018-12-15 01:30;1;1;"Want a Step By Step Guide on how to Create a project on our Automated Online Platform? Visit https://www. youtube.com/watch?v=rr40kK Ej5n4 … and see a Video Tutorial. Don’t forget to Like, Comment & Subscribe for more. #PCB #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia";;;#PCB #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia;"1073827504119574529";https://twitter.com/LionCircuits/status/1073827504119574529
LionCircuits;2018-12-13 00:26;2;2;"Your search for a reliable #PCB Manufacturer ends today! Just upload your design on http://www. LionCircuits.com and get started. #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits pic.twitter.com/se11rTrbpw";;;#PCB #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits;"1073086829782548480";https://twitter.com/LionCircuits/status/1073086829782548480
LionCircuits;2018-12-11 03:33;3;2;"Tuesday's Tip is here guys. Visit http://www. LionCircuits.com and turn your designs into reality. #MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits #TuesdaysTip pic.twitter.com/yJORHz3UUI";;;#MakeInIndia #Hardware #Innovation #StartupIndia #PCB_Manufacturing #MadeInIndia #LionCircuits #TuesdaysTip;"1072409046999801857";https://twitter.com/LionCircuits/status/1072409046999801857
