username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TuomasYlaKauttu;2018-12-21 09:53;2;3;"Doctors without borders enables access to healthcare for the people that need it the most. To support their efforts, @EtsimoLtd is making a donation as our Christmas present. #Impact #MerryChristmas https://www. doctorswithoutborders.org/support-us";;@EtsimoLtd;#Impact #MerryChristmas;"1076128427852345344";https://twitter.com/TuomasYlaKauttu/status/1076128427852345344
VerticalVC;2018-12-16 00:04;0;4;"Tekoäly alkaa selvittää hoidon tarvetta Terveystalossa – yhteistyö tiivistyy Etsimo Healthcare Oy:n kanssa https://www. mediuutiset.fi/uutiset/mu/7e6 47561-62d9-4a7d-a542-49b0fe4b6328 … @EtsimoLtd @Terveystalo via @mediuutiset";;@EtsimoLtd @Terveystalo @mediuutiset;;"1074168450199814144";https://twitter.com/VerticalVC/status/1074168450199814144
TuomasYlaKauttu;2018-12-14 11:40;3;6;"@EtsimoLtd turns 2 years. Milestones include @VerticalVC incubator program, pre-seed from Exio Capital, product launch, seed round from @Terveystalo and a grant from @BusinessFinland . If you are looking to join a fast growing startup, Etsimo might be your new home. #Etsimoclan pic.twitter.com/f522V5UGjG";;@EtsimoLtd @VerticalVC @Terveystalo @BusinessFinland;#Etsimoclan;"1073618734999371779";https://twitter.com/TuomasYlaKauttu/status/1073618734999371779
TuomasYlaKauttu;2018-12-07 11:06;3;7;"It was a great privilege to join @Founders_Forum again this year at @SlushHQ with @EtsimoLtd . AI in healthcare was a big topic this year and key takeaways include 1) Best product wins 2) Expectation management for customers 3) Healthcare is a data business #FFxSLUSH pic.twitter.com/RvMWH2LAK7";;@Founders_Forum @SlushHQ @EtsimoLtd;#FFxSLUSH;"1071073441900625920";https://twitter.com/TuomasYlaKauttu/status/1071073441900625920
TuomasYlaKauttu;2018-12-06 10:57;1;8;"#Slush18 was amazing! @EtsimoLtd had 30+ meetings and met with so many inspiring people. These 2 days gave inspiration on our journey in bringing universal access to healthcare services. Kudos to @SlushHQ for bringing the European startup ecosystem together again this year! pic.twitter.com/ZEktMSpMfp";;@EtsimoLtd @SlushHQ;#Slush18;"1070708797952397315";https://twitter.com/TuomasYlaKauttu/status/1070708797952397315
crodarte;2018-12-04 16:03;0;3;"Missed you there!";;;;"1070061125398614017";https://twitter.com/crodarte/status/1070061125398614017
siliconvikings;2018-12-03 11:45;3;1;"#startupturku #AI healthcare platform co @EtsimoLtd raised funding round from #helyes healthcare service co @Terveystalo , in exchange for some 20% of equity. By @tech_eu https:// tech.eu/brief/finnish- startup-etsimo-healthcare-raises-funding-from-terveystalo-gives-up-some-20-percent-of-equity/ … #NordicMade #nordictech #healthtechnordic #finlandhealth #oslomedtech #sthlmhealthtech";;@EtsimoLtd @Terveystalo @tech_eu;#startupturku #AI #helyes #NordicMade #nordictech #healthtechnordic #finlandhealth #oslomedtech #sthlmhealthtech;"1069633790333587456";https://twitter.com/siliconvikings/status/1069633790333587456
Terveystalo;2018-12-03 02:47;1;9;"Terveystalo osakkaaksi #startup -yritys @EtsimoLtd :een: https://www. terveystalo.com/fi/Sijoittajat /Tiedotteet/?rid=2227558 … #keinoäly #koneoppiminen #terveysdata #terveysteknologia #digitalisaatio #parhaissakäsissä #ainavaanparanee pic.twitter.com/4oCeGhSlkC";;@EtsimoLtd;#startup #keino #koneoppiminen #terveysdata #terveysteknologia #digitalisaatio #parhaissak #ainavaanparanee;"1069498271977095168";https://twitter.com/Terveystalo/status/1069498271977095168
TuomasYlaKauttu;2018-12-03 02:33;4;9;"@EtsimoLtd is humbled to announce a strategic partnership with @Terveystalo , the largest healthcare service company in Finland, on the 27th of November. https://www. nasdaq.com/press-release/ press-release-terveystalo-to-become-a-shareholder-in-startup-company-etsimo-healthcare--harnessing-20181203-00045 …";;@EtsimoLtd @Terveystalo;;"1069494873454256130";https://twitter.com/TuomasYlaKauttu/status/1069494873454256130
rgergelymd;2018-12-01 12:09;0;0;"Thank you for the mention.";;;;"1068914919184035840";https://twitter.com/rgergelymd/status/1068914919184035840
