username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
questionpro_in;2017-04-21 09:30;1;1;"Bangalore-based @even_rank helps companies find the right candidates with #DataScience : http:// crwd.fr/2oaX2O5 @YourStoryCo";;@even_rank @YourStoryCo;#DataScience;"855413353405181952";https://twitter.com/questionpro_in/status/855413353405181952
YourStoryCo;2017-04-21 01:18;6;10;"Bangalore-based @even_rank helps companies find the right candidates with data science. https:// yourstory.com/2017/04/evenra nk-startup/ …";;@even_rank;;"855289657080242177";https://twitter.com/YourStoryCo/status/855289657080242177
even_rank;2017-04-11 04:03;0;1;"“Power to the People — The Changing Face of Recruitment” by Rishi Thussu https:// medium.com/@rishi_42386/p ower-to-the-people-the-changing-face-of-recruitment-e76660a143c …";;@rishi_42386;;"851707161914855424";https://twitter.com/even_rank/status/851707161914855424
neocortex666;2016-11-22 06:39;0;0;"@even_rank how r u guys different from Gild Entello or this new startup? pic.twitter.com/2SHLh2sWiQ";;@even_rank;;"801027307364192256";https://twitter.com/neocortex666/status/801027307364192256
even_rank;2016-10-26 07:30;0;2;"Our CEO Rishi Thussu @thussu at the @Aon_India #ImagineeringTomorrow https:// twitter.com/Aon_India/stat us/791239263333474304 …";;@thussu @Aon_India;#ImagineeringTomorrow;"791240633708974080";https://twitter.com/even_rank/status/791240633708974080
StartupTracker;2016-10-24 11:23;0;0;"@even_rank Hey, your company caught our eye but we couldn't find much info about you. Would love an intro! https:// startuptracker.io/crowdsourcing/ ?handle=even_rank&t=n2 …";;@even_rank;;"790574393554501632";https://twitter.com/StartupTracker/status/790574393554501632
CompareMatch;2016-10-04 10:45;0;0;"- you're welcome. We're happy to help! :)";;;;"783317168205234177";https://twitter.com/CompareMatch/status/783317168205234177
AdriaCorso;2016-10-04 09:21;0;1;"@even_rank @LarryFoxDC @littledatauk Have a great day! via https://Statusbrew.com?r=wl Statusbrew.com/?r=wl";;@even_rank @LarryFoxDC @littledatauk;;"783295927289282560";https://twitter.com/AdriaCorso/status/783295927289282560
even_rank;2016-10-04 07:52;0;1;"@CompareMatch Thanks for tweeting about us! https:// twitter.com/CompareMatch/s tatus/780345480085733376 …";;@CompareMatch;;"783273519664680961";https://twitter.com/even_rank/status/783273519664680961
CompareMatch;2016-09-26 05:57;1;1;"EvenRank: A recruitment platform powered by an Intelligent, evolving algorithm. http:// evenrank.com #HRTech #BigData #Startup @even_rank pic.twitter.com/h1UaPu0ANh";;@even_rank;#HRTech #BigData #Startup;"780345480085733376";https://twitter.com/CompareMatch/status/780345480085733376
