username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NorwayUK;2018-10-12 12:03;1;9;"Norwegian TEA companies connecting with #UK #AI talent @Equinor @DNB_Bank @TelenorGroup @CogniteData @boost_ai @cyviz @exabel @Globus_ai @_SolutionSeeker @DisruptiveTech_ @intelecyTweet @eSmart_Systems #DeepInsight #VegaInsight #TOMRA @benevolent_ai @Darktrace @ucl @googlecloud https:// twitter.com/InnovasjonNorg e/status/1050645408991461376 …";;@Equinor @DNB_Bank @TelenorGroup @CogniteData @boost_ai @cyviz @exabel @Globus_ai @_SolutionSeeker @DisruptiveTech_ @intelecyTweet @eSmart_Systems @benevolent_ai @Darktrace @ucl @googlecloud;#UK #AI #DeepInsight #VegaInsight #TOMRA;"1050778969753210880";https://twitter.com/NorwayUK/status/1050778969753210880
hhukkelberg;2018-10-12 11:09;6;22;"Norwegian execs connecting with #UK #London #AI talents @equinor @DNB_Bank @TelenorGroup @CogniteData @boost_ai_ @cyviz @exabel @Globus_ai @_SolutionSeeker @DisruptiveTech_ @intelecyTweet @eSmart_Systems #DeepInsight #VegaInsight #TOMRA @benevolent_ai @Darktrace @ucl @googlecloud pic.twitter.com/19QEsXDsxa";;@equinor @DNB_Bank @TelenorGroup @CogniteData @boost_ai_ @cyviz @exabel @Globus_ai @_SolutionSeeker @DisruptiveTech_ @intelecyTweet @eSmart_Systems @benevolent_ai @Darktrace @ucl @googlecloud;#UK #London #AI #DeepInsight #VegaInsight #TOMRA;"1050765402568056833";https://twitter.com/hhukkelberg/status/1050765402568056833
exabel;2018-09-10 03:51;1;1;"We are proud to welcome another two strong individuals to the software engineering team! Øyvind Wergeland comes to Exabel from Oslo Market Solutions, and Øystein Hallaråker comes from Microsoft. https://www. exabel.com/blog/say-hi-to -oyvind-and-oystein …";;;;"1039058803264823296";https://twitter.com/exabel/status/1039058803264823296
martinkenaite_i;2018-09-07 14:53;0;0;"@loland75";;@loland75;;"1038138291298738177";https://twitter.com/martinkenaite_i/status/1038138291298738177
stenichele;2018-09-05 06:52;1;4;"Mandag 10. september vil @OsloMet @HiOA_TKD, i samabeid med @NTNU , arrangerer Norsk Kunstig Intelligens Forening (NAIS) @nais_ai årsmøte m. deltakere fra flere #AI grupper i Norge (bl.a. @cairuia @TelenorResearch @UniOslo @simula_research @SINTEF @UiB @hiof_IT @USN_info @exabel )";;@OsloMet @HiOA_TKD @NTNU @nais_ai @cairuia @TelenorResearch @UniOslo @simula_research @SINTEF @UiB @hiof_IT @USN_info @exabel;#AI;"1037292368515551232";https://twitter.com/stenichele/status/1037292368515551232
BizAngelEU;2018-08-28 03:47;0;0;"@exabel a two-year-old, Oslo, Norway-based developer of an automatic monitoring tool for finance professionals, raised $4.7 million in second seed funding. https:// buff.ly/2oflpYz pic.twitter.com/LjwaopOS9k";;@exabel;;"1034346611391045632";https://twitter.com/BizAngelEU/status/1034346611391045632
hhukkelberg;2018-08-23 17:57;1;6;"@InnovasjonNorge #TEA Special Edition cohort on #AI soon coming to @Level39CW Meet @CogniteData @DNB_Bank @Equinor @TelenorNorge @boost_ai_james @cyviz #deepinsight @DisruptiveTech_ @eSmart_Systems @exabel @Globus_ai @intelecyTweet @_SolutionSeeker @TOMRACollection #vegainsight pic.twitter.com/6dhMDexTkN";;@InnovasjonNorge @Level39CW @CogniteData @DNB_Bank @Equinor @TelenorNorge @boost_ai_james @cyviz @DisruptiveTech_ @eSmart_Systems @exabel @Globus_ai @intelecyTweet @_SolutionSeeker @TOMRACollection;#TEA #AI #deepinsight #vegainsight;"1032748669110558720";https://twitter.com/hhukkelberg/status/1032748669110558720
siliconvikings;2018-08-21 12:04;1;1;"#siliconfjord AI for finance co @exabel raises $4.7M - Preparing for go-to-market in 2019 https://www. exabel.com/blog/second-se ed-round … #NordicMade #nordictech #nordicfintech #sthlmfintech @fintech_factory @CphFinTech @HelsinkiFintech @FinTechOulu @OsloFintechHub @fintechboost @FintechMundi";;@exabel @fintech_factory @CphFinTech @HelsinkiFintech @FinTechOulu @OsloFintechHub @fintechboost @FintechMundi;#siliconfjord #NordicMade #nordictech #nordicfintech #sthlmfintech;"1031935009882603520";https://twitter.com/siliconvikings/status/1031935009882603520
TBaekkelund;2018-08-21 10:18;2;6;"Watch out the most progressive fintech company in the Nordics - @exabel https://www. exabel.com/blog/second-se ed-round …";;@exabel;;"1031908384465936384";https://twitter.com/TBaekkelund/status/1031908384465936384
grotmol;2018-08-21 09:28;0;1;"Thank you, Kjetil!";;;;"1031895776622825472";https://twitter.com/grotmol/status/1031895776622825472
