username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
EyewareTech;2018-10-24 18:51;1;5;"How will future robots interact with us? Kenneth presenting use case examples at #CRAVAI in Santa Clara @RIA_robotics @AIAVision #3DEyeTracking pic.twitter.com/QPYINhOOR6";;@RIA_robotics @AIAVision;#CRAVAI #3DEyeTracking;"1055230240740556800";https://twitter.com/EyewareTech/status/1055230240740556800
Z_Axis_MMS;2018-10-24 14:33;2;0;"In automation, touch, gesture and voice recognition already exist ... next is *attention recognition.* Robot senses what you’re paying attention to using 3D eye tracking. Measures your intent. @EyewareTech working on this. #CRAVAI";;@EyewareTech;#CRAVAI;"1055165324436287488";https://twitter.com/Z_Axis_MMS/status/1055165324436287488
eugen12;2018-10-19 03:37;0;0;"Bonne chance! Trois start-up en finale du CSEM Digital Journey http:// bit.ly/2NPs5Ho via @startuptickerCH cc @CSEMInfo @dicronis @EyewareTech @CleanFIZZ pic.twitter.com/w75yt1GeaG";;@startuptickerCH @CSEMInfo @dicronis @EyewareTech @CleanFIZZ;;"1053188328013606912";https://twitter.com/eugen12/status/1053188328013606912
CSEMInfo;2018-10-17 05:52;1;3;"Breaking News | CSEM #DigitalJourney – Ready to take off! Seven #SMEs in contention for a “boarding pass” @CleanFIZZ @dicronis @EyewareTech and more ! https://www. csem.ch/page.aspx?pid= 51454 … pic.twitter.com/Tegh36JN6a";;@CleanFIZZ @dicronis @EyewareTech;#DigitalJourney #SMEs;"1052497565609013249";https://twitter.com/CSEMInfo/status/1052497565609013249
EyewareTech;2018-10-09 17:45;1;4;"Presenting @ImageSensors how #3DEyeTracking enables level 5 ready in-cabin attention sensing pic.twitter.com/teG8TXiUlj";;@ImageSensors;#3DEyeTracking;"1049777894040526850";https://twitter.com/EyewareTech/status/1049777894040526850
sdigitalhealth;2018-10-03 05:01;0;0;"@EyewareTech : une technologie aux nombreuses utilisations! #arkathon #eyetracking #santédigitale https:// swissdigitalhealth.com/news/l-eye-tra cking-3d-une-technologie-qui-pourrait-toucher-bien-des-domaines/ … pic.twitter.com/pDcPWVsOio";;@EyewareTech;#arkathon #eyetracking #sant;"1047411348253167616";https://twitter.com/sdigitalhealth/status/1047411348253167616
Alpict;2018-09-17 04:39;1;1;"L'eye tracking #3D : une #technologie qui pourrait toucher bien des domaines. La #startup valaisanne @EyewareTech présente 7 principales applications http:// ow.ly/HZGp30lQu37 via @thearkvalais";;@EyewareTech @thearkvalais;#3D #technologie #startup;"1041607476641259521";https://twitter.com/Alpict/status/1041607476641259521
FIT_fund;2018-09-14 02:40;0;1;"Portrait | La machine à gagner la bataille de l’attention d’Eyeware http:// ow.ly/Pdfd30lvFFj via @bilanmagazine #startupfit @Idiap_ch @EyewareTech pic.twitter.com/XJoDLcWZ6a";;@bilanmagazine @Idiap_ch @EyewareTech;#startupfit;"1040490372219187201";https://twitter.com/FIT_fund/status/1040490372219187201
FIT_fund;2018-09-04 11:40;0;0;"Portrait|La machine à gagner la bataille de l’attention d’Eyeware http:// ow.ly/Pdfd30lvFFj via @bilanmagazine #startupfit @Idiap_ch @EyewareTech pic.twitter.com/RK3RXYyrkY";;@bilanmagazine @Idiap_ch @EyewareTech;#startupfit;"1037002411720810497";https://twitter.com/FIT_fund/status/1037002411720810497
ORB1T4L117;2018-08-31 10:51;0;0;"If you're interested, take a look at their tech, I thought about smart softwares for tracking people during Vlogs and stuff, could be useful !";;;;"1035540492585496578";https://twitter.com/ORB1T4L117/status/1035540492585496578
