username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
myfanfund;2018-12-04 09:34;0;0;"block in the back";;;;"1069963246919012352";https://twitter.com/myfanfund/status/1069963246919012352
myfanfund;2018-12-02 23:00;1;1;"no he is not. Aaron is like a Christmas ornament. Made of glass, and only valuable 4 weeks a year";;;;"1069441178108485634";https://twitter.com/myfanfund/status/1069441178108485634
myfanfund;2018-12-02 22:59;0;0;"haha no way";;;;"1069440888303104000";https://twitter.com/myfanfund/status/1069440888303104000
BramlettJocelyn;2018-11-10 12:23;0;0;"Also pic.twitter.com/OxnOoQ4TPv";;;;"1061308372534755328";https://twitter.com/BramlettJocelyn/status/1061308372534755328
BramlettJocelyn;2018-11-10 12:11;0;0;"That article and specifically the stat you just quoted is from 2009.";;;;"1061305316652965888";https://twitter.com/BramlettJocelyn/status/1061305316652965888
myfanfund;2018-11-09 23:13;0;1;". Overall, animal agriculture is responsible for about 9% of human-caused carbon dioxideemissions globally (UN FAO).";;;;"1061109590765461504";https://twitter.com/myfanfund/status/1061109590765461504
myfanfund;2018-11-09 23:12;0;1;"Except, that it isn’t true @Garry_Gilliam https://www. skepticalscience.com/how-much-meat- contribute-to-gw.html …";;@Garry_Gilliam;;"1061109336779288576";https://twitter.com/myfanfund/status/1061109336779288576
myfanfund;2018-10-29 18:30;0;0;"you need to burn the system down";;;;"1057037063306919936";https://twitter.com/myfanfund/status/1057037063306919936
myfanfund;2018-10-28 19:41;0;0;"@49ers Your coach played to not lose, and should have olayed to win";;@49ers;;"1056692447084859394";https://twitter.com/myfanfund/status/1056692447084859394
myfanfund;2018-10-23 05:03;0;0;"Thats not what!what we are saying, compared to point diff of game.";;;;"1054659642163228672";https://twitter.com/myfanfund/status/1054659642163228672
BreckGoat;2018-10-23 04:50;0;0;"come on my guy. I am a Lakers hater but if u think that dude lost it for you, ya gotta go";;;;"1054656382354448384";https://twitter.com/BreckGoat/status/1054656382354448384
myfanfund;2018-10-23 04:25;0;0;"@Lakers @ColinCowherd — @ZO2_ has a +/- of -13.3. The lakers have lost games by 9pts, 9pts, and 1pt.";;@Lakers @ColinCowherd @ZO2_;;"1054650118027112448";https://twitter.com/myfanfund/status/1054650118027112448
myfanfund;2018-10-21 22:15;0;0;"@HPbasketball Watch those point totals, its a new game these days ;)";;@HPbasketball;;"1054194440804286464";https://twitter.com/myfanfund/status/1054194440804286464
myfanfund;2018-03-13 23:38;0;0;"So Steve Kerr rests his stars in 6 games this season, plays his starters together less than 20% of the time and now Curry is out and they are 2 games behind an amazing Houston team.";;;;"973765313601810432";https://twitter.com/myfanfund/status/973765313601810432
myfanfund;2018-02-05 02:16;0;0;"@NFoles_9 @SuperBowl Champion";;@NFoles_9 @SuperBowl;;"960411826071650304";https://twitter.com/myfanfund/status/960411826071650304
myfanfund;2017-12-07 23:37;0;0;"@drewbrees WUT?";;@drewbrees;;"938990950667362304";https://twitter.com/myfanfund/status/938990950667362304
myfanfund;2017-11-23 19:10;0;0;"Looks like its time for @dallascowboys to get a real QB.";;@dallascowboys;;"933850177835638784";https://twitter.com/myfanfund/status/933850177835638784
myfanfund;2017-11-23 17:12;0;0;"If only he had a mobile QB and could get him out of the pocket:/";;;;"933820670785372160";https://twitter.com/myfanfund/status/933820670785372160
myfanfund;2017-10-18 02:24;0;0;"@SteveKerr played his starting 5 for 8.5 minutes";;@SteveKerr;;"920536006096445440";https://twitter.com/myfanfund/status/920536006096445440
myfanfund;2017-10-18 01:30;0;0;"@SteveKerr you blew that game";;@SteveKerr;;"920522529546088448";https://twitter.com/myfanfund/status/920522529546088448
myfanfund;2017-07-18 04:26;2;1;"Fan Fund says hello to these gents pic.twitter.com/riUJO1fbRr";;;;"887227156895379456";https://twitter.com/myfanfund/status/887227156895379456
