username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
INTL_PCo;2018-10-18 11:48;2;1;"Thanks for your time @Shantitravel @waverlylabsinc @favizone_Inc @TipTapTrip and for sharing your experience as entrepreneurs with the students #OptionStartUp @Paris_and_Co pic.twitter.com/EsnmGgiNZG";;@Shantitravel @waverlylabsinc @favizone_Inc @TipTapTrip @Paris_and_Co;#OptionStartUp;"1052949476942499840";https://twitter.com/INTL_PCo/status/1052949476942499840
CyrilChanson;2018-10-09 11:57;0;2;"Such an interesting coaching, thanks !";;;;"1049690377832329216";https://twitter.com/CyrilChanson/status/1049690377832329216
INTL_PCo;2018-10-09 05:11;2;5;"7th edition of #PLP_Explore : Great Pitch Session @INTL_PCo ! @mybeeye @favizone_Inc @exagens @giftpack_io @dialekta #ruedeRennes #CoffeeMorning #TimeToPitch pic.twitter.com/TDobGOfrr4";;@INTL_PCo @mybeeye @favizone_Inc @exagens @giftpack_io @dialekta;#PLP_Explore #ruedeRennes #CoffeeMorning #TimeToPitch;"1049588146160189441";https://twitter.com/INTL_PCo/status/1049588146160189441
INTL_PCo;2018-10-08 04:03;4;7;"Welcome to our new comers from #PLP_Exlore ! Big batch with 20 entrepreneurs from all over the globe !!! @waverlylabsinc @TipTapTrip @favizone_Inc @CochlearGlobal @Paris_and_Co #cafecroissant #launchingsession pic.twitter.com/CN33ia1Kp3";;@waverlylabsinc @TipTapTrip @favizone_Inc @CochlearGlobal @Paris_and_Co;#PLP_Exlore #cafecroissant #launchingsession;"1049208659593629696";https://twitter.com/INTL_PCo/status/1049208659593629696
NSE_PICOM;2018-09-10 10:12;3;4;"@NSE_PICOM M074 #RetailTech @PRWOfficial #PRW18 retrouvez nos innovations @_OneStock_FR @favizone_Inc , @coursicab @conexance_md #startup #objetsconnectes #Retail #Innovation #ecommerce #CommerceduFutur pic.twitter.com/HQTLyYHgCr";;@NSE_PICOM @PRWOfficial @_OneStock_FR @favizone_Inc @coursicab @conexance_md;#RetailTech #PRW18 #startup #objetsconnectes #Retail #Innovation #ecommerce #CommerceduFutur;"1039154646680567808";https://twitter.com/NSE_PICOM/status/1039154646680567808
NSE_PICOM;2018-09-10 05:08;8;11;"@NSE_PICOM M074 #RetailTech @PRWOfficial #PRW18 retrouvez nos innovations @ColeSpread , @Shoprunback , @coursicab , @TagItSmart , @vividworks , @browseandgo, @_OneStock_FR , @FindnOrder , @favizone_Inc , @gowento , @conexance_md , @Asmodine_ , @IVS_engineering , @Place2Swap , @zento_digital pic.twitter.com/60Z2yDZanU";;@NSE_PICOM @PRWOfficial @ColeSpread @Shoprunback @coursicab @TagItSmart @vividworks @browseandgo @_OneStock_FR @FindnOrder @favizone_Inc @gowento @conexance_md @Asmodine_ @IVS_engineering @Place2Swap @zento_digital;#RetailTech #PRW18;"1039078063076716544";https://twitter.com/NSE_PICOM/status/1039078063076716544
WamdaME;2018-04-12 03:23;9;9;"Today we're at the #SeedstarsSummit taking place at Lausanne, where 65+ startups from booming startup hubs around the world compete for equity investment of up to $1M. MENA startups are: @iwnna @iamjunkbot @widebot_ hooplacar @3ounApp @favizone_Inc @Paym_es @generalsenses VIM pic.twitter.com/EZrKDtR9ic";;@iwnna @iamjunkbot @widebot_ @3ounApp @favizone_Inc @Paym_es @generalsenses;#SeedstarsSummit;"984331239338504192";https://twitter.com/WamdaME/status/984331239338504192
favizone_Inc;2018-03-23 06:43;0;1;"We're representing Tunisia at #SeedstarsSummit against startups from 65+ other emerging nations! Follow us live as we rock the stage on April 12th in Lausanne, Switzerland. Follow @Seedstars Facbeook page for more updates: https:// seedsta.rs/2FCpoFn";;@Seedstars;#SeedstarsSummit;"977133795970338817";https://twitter.com/favizone_Inc/status/977133795970338817
Paris_and_Co;2018-03-15 14:17;6;7;"Meet #PLP_Explore #season5 winners : @favizone_Inc @tabellyKPI @ParkwiseApp @nanoleaf @shopwishupon @waytoplaytoys ... at #HackingParis tomorrow - http:// mtr.cool/tmhltxt @INTL_PCo @Melanolo #pitch #startup #international pic.twitter.com/trCIYd3XWi";;@favizone_Inc @tabellyKPI @ParkwiseApp @nanoleaf @shopwishupon @waytoplaytoys @INTL_PCo @Melanolo;#PLP_Explore #season5 #HackingParis #pitch #startup #international;"974348786813296640";https://twitter.com/Paris_and_Co/status/974348786813296640
favizone_Inc;2018-03-06 11:23;0;0;"We're heading to #SeedstarsSummit 2018 this april to represent Tunisia at the global stage, against 65+ other startups! Where will you be on April 12th? Get your Passes Here: https:// seedsta.rs/2ERqaPA";;;#SeedstarsSummit;"971058719990734848";https://twitter.com/favizone_Inc/status/971058719990734848
Paris_and_Co;2018-03-05 13:47;2;4;"Welcome in @Paris to all #PLP_Explore #season5 winners : @favizone_Inc @tabellyKPI @ParkwiseApp @nanoleaf @shopwishupon @waytoplaytoys ... http:// mtr.cool/ijpofxi @INTL_PCo @Melanolo pic.twitter.com/k8pGrMp1he";;@Paris @favizone_Inc @tabellyKPI @ParkwiseApp @nanoleaf @shopwishupon @waytoplaytoys @INTL_PCo @Melanolo;#PLP_Explore #season5;"970732469895954432";https://twitter.com/Paris_and_Co/status/970732469895954432
INTL_PCo;2018-02-15 11:25;0;7;"The clock is ticking for your Paris business trip! Are you ready for the PLP_Explore @WAMapp @waytoplaytoys @nanoleaf @tabellyKPI @giveaseatmtl @SportonCampus @ParkwiseApp @kalejob @favizone_Inc pic.twitter.com/pCQmDh4twu";;@WAMapp @waytoplaytoys @nanoleaf @tabellyKPI @giveaseatmtl @SportonCampus @ParkwiseApp @kalejob @favizone_Inc;;"964173782708576256";https://twitter.com/INTL_PCo/status/964173782708576256
UniversRetail;2017-10-17 10:25;0;0;"Nous passerons vous voir sur votre stand demain, en fin de matinée.";;;;"920294760442626048";https://twitter.com/UniversRetail/status/920294760442626048
UniversRetail;2017-10-17 09:42;1;1;"Nous attendons votre démo avec impatience ! #Conext";;;#Conext;"920283839779491842";https://twitter.com/UniversRetail/status/920283839779491842
favizone_Inc;2017-10-13 05:07;1;2;"Retrouvez-nous à cette édition du #Conext , le salon du commerce intelligent . Nous serons ravis de vous faire une démonstration live. pic.twitter.com/fIs3yjs1jk";;;#Conext;"918765073203650561";https://twitter.com/favizone_Inc/status/918765073203650561
mmehdikhemiri;2017-10-01 14:53;0;0;"Best team!";;;;"914563955309334529";https://twitter.com/mmehdikhemiri/status/914563955309334529
