username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FetchRev;2018-12-25 16:11;1;3;"Although it's been said many times, many ways, #MerryChristmas to you. Happy holidays from our family to yours! pic.twitter.com/kengwwIUYe";;;#MerryChristmas;"1077673199670824960";https://twitter.com/FetchRev/status/1077673199670824960
FetchRev;2018-12-21 18:55;0;3;"Everything's bigger in Texas. The @IAAPAHQ FEC summit is coming to Austin,TX from Jan 27th-29th and there's still time to register! We'll be there, what about you? http://www. iaapa.org/events-educati on/events/fecevent … pic.twitter.com/7WPbuPFLAI";;@IAAPAHQ;;"1076264822545641472";https://twitter.com/FetchRev/status/1076264822545641472
gtentechnology;2018-12-18 21:35;0;1;"@FetchRev @bwilley A fun group of people to work with :) http://www. gtentechnologies.com https:// twitter.com/FetchRev/statu s/1075215061617041409 …";;@FetchRev @bwilley;;"1075218049706352640";https://twitter.com/gtentechnology/status/1075218049706352640
FetchRev;2018-12-18 21:23;0;7;"We keep it merry. A major thank you to our friends at the award-winning @jakes_unlimited for hosting our annual office holiday party this past Friday! pic.twitter.com/ppAziDaErl";;@jakes_unlimited;;"1075215061617041409";https://twitter.com/FetchRev/status/1075215061617041409
FetchRev;2018-12-05 13:09;1;3;"Are you ready for the holiday rush? If you don't have a campaign idea already, check out the actionable offers we sent last December to drive over 25,000 purchases to local businesses nationwide. https:// hubs.ly/H0fNCZB0";;;;"1070379596523167746";https://twitter.com/FetchRev/status/1070379596523167746
fecrealestate;2018-11-26 06:42;0;1;"Looking forward to also working with @FetchRev as my #Familyentertainmentcenter clients can always use economical marketing tools to get their #Familyentertainment customers inside their #RealEstate spaces";;@FetchRev;#Familyentertainmentcenter #Familyentertainment #RealEstate;"1067020827315572736";https://twitter.com/fecrealestate/status/1067020827315572736
FetchRev;2018-11-22 14:35;0;7;"You're the roast to our turkey. The gravy to our mashed potatoes. The pecan to our pie. From our family to yours, we wish you all a Happy #Thanksgiving ! pic.twitter.com/ZSVIuDtV2e";;;#Thanksgiving;"1065690255901245440";https://twitter.com/FetchRev/status/1065690255901245440
centeredgesoft;2018-11-21 14:53;0;0;"Learn how our clients can leverage @FetchRev 's unique #technology in Advantage POS. https:// bit.ly/2znDMzw";;@FetchRev;#technology;"1065332268296781825";https://twitter.com/centeredgesoft/status/1065332268296781825
FetchRev;2018-11-16 21:30;0;8;"And that's a wrap. #IAE18 Thank you @IAAPAHQ for another outstanding expo! pic.twitter.com/kTWwvOParm";;@IAAPAHQ;#IAE18;"1063620352238972928";https://twitter.com/FetchRev/status/1063620352238972928
centeredgesoft;2018-11-16 08:59;1;6;"Up bright and early on the last day of IAAPA to learn how to use #data wisely at #FECs with CenterEdge partner @FetchRev . #IAE18 pic.twitter.com/gl3ngElkIm";;@FetchRev;#data #FECs #IAE18;"1063431348013158400";https://twitter.com/centeredgesoft/status/1063431348013158400
PrfrmnceOptmst;2018-11-16 08:48;5;6;"“PSA - if you are collecting data on paper, it’s important to shred that document after you input the data into a database.” - Brandon Willey, @FetchRev #iae18 @IAAPAHQ @Joshua_Liebman";;@FetchRev @IAAPAHQ @Joshua_Liebman;#iae18;"1063428588983238656";https://twitter.com/PrfrmnceOptmst/status/1063428588983238656
FetchRev;2018-11-15 17:36;0;2;""Fetching Rev with Mike and Rob" live podcast has kicked off at booth 4084 with special guests Jeremy and Patrick from Ironwood Consulting. Check out http://www. fetchingrev.com / to hear it! #iae18 pic.twitter.com/rntf6hB8Y7";;;#iae18;"1063199153117786112";https://twitter.com/FetchRev/status/1063199153117786112
centeredgesoft;2018-11-15 08:59;0;0;"We teamed up with @FetchRev to bring our clients a way to use #marketing to automatically connect with their guests. Come visit us at Booth #1846 at #IAE18 to learn more! https:// bit.ly/2znDMzw";;@FetchRev;#marketing #1846 #IAE18;"1063068853729718272";https://twitter.com/centeredgesoft/status/1063068853729718272
FetchRev;2018-11-15 08:55;0;1;"Congrats to our CEO, @bwilley , for a 3rd place finish! https:// twitter.com/bwilley/status /1063065912075567105 …";;@bwilley;;"1063067936062091264";https://twitter.com/FetchRev/status/1063067936062091264
