username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FightHoax;2018-12-28 09:31;0;3;"Explore the FightHoax Source Analysis: A deeper understanding of news articles. Leverage Source for your organisation and directly improve your citation, ad serving and research efforts. https:// buff.ly/2Uw5VOI #ai #adtech #journalism #technology #analysis #data pic.twitter.com/xFnmmm1yjv";;;#ai #adtech #journalism #technology #analysis #data;"1078659590882029568";https://twitter.com/FightHoax/status/1078659590882029568
FightHoax;2018-12-26 10:30;0;2;"Explore the FightHoax Media Landscape: A wider perspective on news topics. Use Landscape to tap directly into hundreds and thousands of news articles for data journalism, research and engaging news stories. https:// buff.ly/2QoGmka #ai #adtech #journalism #technology #analysis pic.twitter.com/UO3OscKpbb";;;#ai #adtech #journalism #technology #analysis;"1077949701947834368";https://twitter.com/FightHoax/status/1077949701947834368
FightHoax;2018-12-24 10:00;0;3;""With FightHoax's technology, we introduced our audience to an interactive environment, offering them the ability to fast check the context of the news topic". https:// buff.ly/2rdpMoC #datajournalism #data @news247gr #news247gr #adtech #newsanalysis #news #journalism pic.twitter.com/OqDQfz23Zv";;@news247gr;#datajournalism #data #news247gr #adtech #newsanalysis #news #journalism;"1077217353740550145";https://twitter.com/FightHoax/status/1077217353740550145
mediamerse;2018-12-22 10:25;0;1;"¡El último The Immersive Media Daily! https:// paper.li/e-1501514497?e dition_id=d96720b0-05fd-11e9-97a4-0cc47a0d15fd … Gracias a @FightHoax @RhythmOneUS @AubertMaxence #adtech #tech";;@FightHoax @RhythmOneUS @AubertMaxence;#adtech #tech;"1076499047933005824";https://twitter.com/mediamerse/status/1076499047933005824
FightHoax;2018-12-21 10:00;0;3;"From the US Midterm Elections to the California Wildfires, we discovered and analyzed November’s most impactful events, with the help of FightHoax’s News Analysis technology. https:// buff.ly/2U8mnVk #data #analysis #news #datajournalism #dataset #adtech #media pic.twitter.com/NfAYTQNe5h";;;#data #analysis #news #datajournalism #dataset #adtech #media;"1076130285937397767";https://twitter.com/FightHoax/status/1076130285937397767
FightHoax;2018-12-18 08:10;1;4;"“Fake news, racism, sexism, terrorists spreading messages of hate, toxic content directed at children – parts of the internet we have ended up with is a million miles from where we thought it would take us.” https:// buff.ly/2NTNeUA #adtech #adsafety #contextmatters #ad #ai pic.twitter.com/6PnTsATZUs";;;#adtech #adsafety #contextmatters #ad #ai;"1075015326348263430";https://twitter.com/FightHoax/status/1075015326348263430
FightHoax;2018-12-15 05:26;0;0;"We do appreciate the retweet John. Make sure to check FightHoax Product: Landscape";;;;"1073887089794736128";https://twitter.com/FightHoax/status/1073887089794736128
Barbara96913515;2018-12-15 05:20;0;3;"Οι ελληνογερμανικές σχέσεις το 2018 Οι σχέσεις Ελλάδας και Γερμανίας παραμένουν δυναμικές. Οι αντιθέσεις δίνουν την θέση τους στις συνθέσεις. Μία έρευνα της ελληνικής υπηρεσίας της @dw_greek και της ερευνητικής ομάδας @FightHoax . IS KOD EGO";;@dw_greek @FightHoax;;"1073885386340999168";https://twitter.com/Barbara96913515/status/1073885386340999168
Barbara96913515;2018-12-15 05:19;0;3;"Οι ελληνογερμανικές σχέσεις το 2018 Οι σχέσεις Ελλάδας και Γερμανίας παραμένουν δυναμικές. Οι αντιθέσεις δίνουν την θέση τους στις συνθέσεις. Μία έρευνα της ελληνικής υπηρεσίας της @dw_greek και της ερευνητικής ομάδας @FightHoax . IS KOD EGO https:// twitter.com/GermanyinGreec e/status/1073883644262055936 …";;@dw_greek @FightHoax;;"1073885277691760640";https://twitter.com/Barbara96913515/status/1073885277691760640
GermanyinGreece;2018-12-15 05:13;3;11;"Οι ελληνογερμανικές σχέσεις το 2018 Οι σχέσεις Ελλάδας και Γερμανίας παραμένουν δυναμικές. Οι αντιθέσεις δίνουν την θέση τους στις συνθέσεις. Μία έρευνα της ελληνικής υπηρεσίας της @dw_greek και της ερευνητικής ομάδας @FightHoax . http:// t1p.de/rdgl";;@dw_greek @FightHoax;;"1073883644262055936";https://twitter.com/GermanyinGreece/status/1073883644262055936
