username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
67686f7374;2018-12-29 09:38;0;0;"exit's ivy's TQM piggyback's @fintroductions";;@fintroductions;;"1079023779198709761";https://twitter.com/67686f7374/status/1079023779198709761
sleep10to2;2018-12-28 17:17;0;0;"@fintroductions thanks for the follow!";;@fintroductions;;"1078776858202853376";https://twitter.com/sleep10to2/status/1078776858202853376
fintroductions;2018-12-26 12:45;1;4;"Interesting read from @fintroductions friend Kelsie Davis ( @kelsjonesdavis ) on the relationship between gender bias and performance reviews. https:// media.fintros.com/bamboohr-perfo rmancereviews …";;@fintroductions @kelsjonesdavis;;"1077983655371395072";https://twitter.com/fintroductions/status/1077983655371395072
fintroductions;2018-12-25 13:10;4;11;"Season’s Greetings, Happy Holidays and a Happy early 2019 from your friends here at Fintros. As we've completely re-imagined the future of careers, thank you to everyone who made 2018 so incredible. - Team Fintros pic.twitter.com/2Er1f0IfQE";;;;"1077627605589749760";https://twitter.com/fintroductions/status/1077627605589749760
softwarereview7;2018-12-25 05:23;0;0;"hay everyone @fintroductions is joining us, thanks for following along & have a really great Tuesday! #software #choice";;@fintroductions;#software #choice;"1077510258761891841";https://twitter.com/softwarereview7/status/1077510258761891841
DoxeeInc;2018-12-25 05:22;0;0;"@fintroductions Ready to revamp your marketing campaigns in 2019? Improve the customer experience and increase retention for your campaigns with personalized video. Click here: http:// bit.ly/2Sa9HvG";;@fintroductions;;"1077509937276899328";https://twitter.com/DoxeeInc/status/1077509937276899328
GradSWJobs;2018-12-25 05:22;0;0;". @fintroductions , thanks for following! Looking for a gradjob? Check out: https://www. gradsouthwest.com / Looking to recruit graduates? Check out: https://www. gradsouthwest.com/recruiters/";;@fintroductions;;"1077509762969931782";https://twitter.com/GradSWJobs/status/1077509762969931782
Nasar79094789;2018-12-23 06:57;0;0;"Felling worried @fintroductions @humbertotweets @HanPetersSA @kbsalsaud";;@fintroductions @humbertotweets @HanPetersSA @kbsalsaud;;"1076809053412573184";https://twitter.com/Nasar79094789/status/1076809053412573184
johnsiracusa;2018-12-21 13:05;1;6;"What can I say, I love great, early stage founders. Great to see you all at demo day @techstars #Barclaysaccel ! @fairframeio @platformharvest @resonancex_io @sendfriendinc @fintroductions @wafflelabs @gopluto_io @honeyfiapp @applica_ai https:// medium.com/@johnsiracusa/ 2018-demo-day-with-the-barclays-accelerator-powered-by-techstars-1002a762899f?source=user_profile---------4------------------ …";;@techstars @fairframeio @platformharvest @resonancex_io @sendfriendinc @fintroductions @wafflelabs @gopluto_io @honeyfiapp @applica_ai @johnsiracusa;#Barclaysaccel;"1076176926610468865";https://twitter.com/johnsiracusa/status/1076176926610468865
fintroductions;2018-12-20 08:14;0;2;"Rachel Robinson ( @itsrachelemma ) discusses gender bias in employee feedback https:// media.fintros.com/wsj-gender-bias";;@itsrachelemma;;"1075741123434430464";https://twitter.com/fintroductions/status/1075741123434430464
