username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
flatlay;2018-12-30 14:18;0;0;"Nicely done @kickstography #flatlay #flatgrid #fresh #kicks #style #camo @FLATLAY https://www. instagram.com/p/BsBd4VMgTSo/ ?utm_source=ig_twitter_share&igshid=cnmt16wlj4ln …";;@kickstography @FLATLAY;#flatlay #flatgrid #fresh #kicks #style #camo;"1079456600102817792";https://twitter.com/flatlay/status/1079456600102817792
flatlay;2018-12-30 10:01;0;0;"One of our #favorite #flatlay #artists tasnimbulbul #photography #art #pink @FLATLAY https://www. instagram.com/p/BsBAP3EBDyI/ ?utm_source=ig_twitter_share&igshid=x88xhkeye3zm …";;@FLATLAY;#favorite #flatlay #artists #photography #art #pink;"1079392092953157632";https://twitter.com/flatlay/status/1079392092953157632
flatlay;2018-12-29 13:07;0;0;"Soaking some rays during these last days of 2018 @dhipta #flatlay #flatgrid #mensfashion #styleblogger @FLATLAY https://www. instagram.com/p/Br-w-ubgYCb/ ?utm_source=ig_twitter_share&igshid=1mz25bpu0tacj …";;@dhipta @FLATLAY;#flatlay #flatgrid #mensfashion #styleblogger;"1079076381798162432";https://twitter.com/flatlay/status/1079076381798162432
flatlay;2018-12-29 13:00;0;0;"End of the year #travels with mari.newa #flatlay #flatlays #vacation #love #life @FLATLAY https://www. instagram.com/p/Br-wN-xBnMN/ ?utm_source=ig_twitter_share&igshid=uet6l7711m9 …";;@FLATLAY;#travels #flatlay #flatlays #vacation #love #life;"1079074713635237888";https://twitter.com/flatlay/status/1079074713635237888
flatlay;2018-12-28 14:39;0;1;"Spending the #holidays laying around in #style @pannalemoniada #flatlay #flatlays #nye #pink @FLATLAY https://www. instagram.com/p/Br8Wy5_hcEW/ ?utm_source=ig_twitter_share&igshid=1g0fot8kxla …";;@pannalemoniada @FLATLAY;#holidays #style #flatlay #flatlays #nye #pink;"1078737327982346240";https://twitter.com/flatlay/status/1078737327982346240
flatlay;2018-12-28 14:05;0;2;"Ending the last days of 2018 in #style _charlesoliver_ #flatlay #flatgrid #mensfashion #nye #kicks @FLATLAY https://www. instagram.com/p/Br8S4Udg7w9/ ?utm_source=ig_twitter_share&igshid=1msr64oaagps0 …";;@FLATLAY;#style #flatlay #flatgrid #mensfashion #nye #kicks;"1078728716749078529";https://twitter.com/flatlay/status/1078728716749078529
flatlay;2018-12-27 12:00;0;1;"My #beautiful #holiday mess puno3000 #flatlay #flatlays #happyholidays #home #love @FLATLAY https://www. instagram.com/p/Br5fsJmhHqV/ ?utm_source=ig_twitter_share&igshid=ii7ci8zwiog0 …";;@FLATLAY;#beautiful #holiday #flatlay #flatlays #happyholidays #home #love;"1078334790305239042";https://twitter.com/flatlay/status/1078334790305239042
flatlay;2018-12-27 11:49;0;1;"Keeping it fresh thibtkllehr #flatlay #flatlays #flatgrid #kicks #holiday #fresh @FLATLAY https://www. instagram.com/p/Br5ebu7Apl8/ ?utm_source=ig_twitter_share&igshid=1wkdfdt5jgxyn …";;@FLATLAY;#flatlay #flatlays #flatgrid #kicks #holiday #fresh;"1078332084001951746";https://twitter.com/flatlay/status/1078332084001951746
deleteall911;2018-12-27 00:21;0;0;"@smiggcoin @AmastarOfficial @dzinaung @flatlay @VidyCoin @Asia_Foundation https:// twitter.com/electrumdark/s tatus/1078141539346538498 …";;@smiggcoin @AmastarOfficial @dzinaung @flatlay @VidyCoin @Asia_Foundation;;"1078158876166553602";https://twitter.com/deleteall911/status/1078158876166553602
flatlay;2018-12-26 18:18;0;1;"#Holiday Hangover with tatiana_racovets #flatlay #flatlays #happyholidays @FLATLAY https://www. instagram.com/p/Br3mODHBeze/ ?utm_source=ig_twitter_share&igshid=199k1h67f34ml …";;@FLATLAY;#Holiday #flatlay #flatlays #happyholidays;"1078067554684264448";https://twitter.com/flatlay/status/1078067554684264448
