username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Fluidly;2018-12-30 07:16;0;1;"The importance of developing a flexible approach to cashflow forecasting http:// bit.ly/2tOuhtF";;;;"1079350562058047489";https://twitter.com/Fluidly/status/1079350562058047489
Fluidly;2018-12-29 10:11;0;0;"Better understand the key drivers of your business, to allow you to make more informed financial decisions #intelligentcashflow https:// bit.ly/2DSBuZO";;;#intelligentcashflow;"1079032147464327168";https://twitter.com/Fluidly/status/1079032147464327168
Fluidly;2018-12-29 02:08;0;1;"Sold on cloud accounting software but not sure how to go about convincing your clients? Have a read: https:// bit.ly/2BlQhAf pic.twitter.com/c5aTD5WlEy";;;;"1078910670438100992";https://twitter.com/Fluidly/status/1078910670438100992
PlusAccounting;2018-12-28 09:50;1;1;"Debbie Marriott from our Plus Advisory team looks at the following Xero Apps @WorkFlowMax , @Fluidly , @ArthurProperty and @RevolutApp and how they can help you and your business> http:// ow.ly/JKwY30n2zDf pic.twitter.com/fHeQLUr2im";;@WorkFlowMax @Fluidly @ArthurProperty @RevolutApp;;"1078664385114095617";https://twitter.com/PlusAccounting/status/1078664385114095617
Fluidly;2018-12-28 08:43;0;0;"Predicting your future cash: cashflow projection vs cashflow forecasts https:// bit.ly/2GYJH0L";;;;"1078647691767410688";https://twitter.com/Fluidly/status/1078647691767410688
STEVE35622199;2018-12-28 07:02;0;0;"@Fluidly I want to help you save 100+ hrs in recruiting time by instantly connect with your ideal developer from our pool of 3000+ pre-qualified developers from US and around the world while saving you $20K to $100K per developer per year. Try us for 2 weeks Risk-free trial.";;@Fluidly;;"1078622316454498305";https://twitter.com/STEVE35622199/status/1078622316454498305
Fluidly;2018-12-28 05:11;0;1;"Figuring out exactly when money is moving in or out can be hugely stressful for businesses - make a cashflow forecast for control, certainty and confidence. http:// bit.ly/2BJwnO7";;;;"1078594243919265792";https://twitter.com/Fluidly/status/1078594243919265792
Fluidly;2018-12-27 05:53;0;0;"@pbulpitt adds his thoughts on how to proactively help your clients to avoid classic SME cashflow problems http:// bit.ly/2FlF141";;@pbulpitt;;"1078242504200372225";https://twitter.com/Fluidly/status/1078242504200372225
Fluidly;2018-12-26 05:52;0;0;"Why is #cashflow important to #investors ? Excellent question! Find out: https:// bit.ly/2Nq3SbF";;;#cashflow #investors;"1077879855310618625";https://twitter.com/Fluidly/status/1077879855310618625
Fluidly;2018-12-25 05:16;0;0;"Tracking financial metrics in retail: the top 5 http:// bit.ly/2BE5z2p pic.twitter.com/aafBAMD9qb";;;;"1077508445950169088";https://twitter.com/Fluidly/status/1077508445950169088
Fluidly;2018-12-24 10:22;0;0;"Put your clients on the front foot by avoiding these typical cashflow pitfalls http:// bit.ly/2FlF141";;;;"1077222987944869889";https://twitter.com/Fluidly/status/1077222987944869889
Ostrichcredit;2018-12-24 08:27;0;0;"The latest Credit Control Today! https:// paper.li/e-1531142583?e dition_id=95c7efa0-077f-11e9-944d-0cc47a0d1605 … Thanks to @ps_accountants @Safe_Collects @Fluidly #technology #hardwarewallet";;@ps_accountants @Safe_Collects @Fluidly;#technology #hardwarewallet;"1077193929240514560";https://twitter.com/Ostrichcredit/status/1077193929240514560
Fluidly;2018-12-24 05:26;0;1;"Pure founder Spencer Craig: ‘You have to be all over the cash position, or you are dead’ http:// bit.ly/2B6F06d pic.twitter.com/xmBNjI5TlF";;;;"1077148450905456640";https://twitter.com/Fluidly/status/1077148450905456640
Fluidly;2018-12-23 08:07;0;2;"How to understand your clients - what is marketing segmentation? https:// bit.ly/2MpuZme";;;;"1076826572928225281";https://twitter.com/Fluidly/status/1076826572928225281
Fluidly;2018-12-22 11:43;0;0;"Better credit control procedures for modern businesses http:// bit.ly/2BlZYxQ pic.twitter.com/CtssjPKcap";;;;"1076518533981499392";https://twitter.com/Fluidly/status/1076518533981499392
Fluidly;2018-12-22 08:08;0;0;"Using data and AI to power cashflow forecasts http:// bit.ly/2EPun5r";;;;"1076464468903759872";https://twitter.com/Fluidly/status/1076464468903759872
the_idco;2018-12-22 07:00;1;3;"Meet the UK's six most innovative Fintechs For SMEs: http:// ow.ly/Lor450k02oX By @davidprosserind • @Forbes #FinTech #SME @getcoconut @Fluidly @FundingCircleUK @OpenWrks @SwoopFunding pic.twitter.com/IMh4frCmmY";;@davidprosserind @Forbes @getcoconut @Fluidly @FundingCircleUK @OpenWrks @SwoopFunding;#FinTech #SME;"1076447363550593024";https://twitter.com/the_idco/status/1076447363550593024
Fluidly;2018-12-21 12:52;0;0;"Research suggests that UK businesses averagely spend four hours per week chasing up late payments. With a credit control policy in place, you make your debtor management more effective and reduce this chasing time. http:// bit.ly/2EqusMw";;;;"1076173700897091584";https://twitter.com/Fluidly/status/1076173700897091584
Fluidly;2018-12-21 12:01;2;11;"Congrats @GreggsOfficial you won the mince pie competition. @sainsburys your buttery pastry was excellent. Sorry @Tesco better luck next year (though your finest range did well). pic.twitter.com/w6KHXGQtyY";;@GreggsOfficial @sainsburys @Tesco;;"1076160672608780288";https://twitter.com/Fluidly/status/1076160672608780288
Fluidly;2018-12-21 08:57;0;0;"Helping clients to get paid with greater confidence, control and certainty. http:// bit.ly/2EbakOu";;;;"1076114557196750848";https://twitter.com/Fluidly/status/1076114557196750848
