username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SafetyMentalst;2018-10-29 22:28;0;1;"@Notifications https:// twitter.com/i/notifications YOU ALL CAN NOT HIDE FROM @SafetyMentalst on your @Facebook " I GOTCHA !! IN THE PALM OF MY HAND !! WITH #LOVE ! FOR YOU #Suicidal ?? NO MORE !!";;@Notifications @SafetyMentalst @Facebook;#LOVE #Suicidal;"1057096981947052032";https://twitter.com/SafetyMentalst/status/1057096981947052032
its_fatiiiii;2018-10-25 17:52;0;0;"Sab kyun @sorhye hain!? Aao sab ki @notifications kharab kryn";;@sorhye @notifications;;"1055577811912679424";https://twitter.com/its_fatiiiii/status/1055577811912679424
HanspalS;2018-10-08 23:01;0;0;"@poorserviceixigo @notifications @ixigo.com @unresolvedissue @wantfullcompensation @worstservice @consumerforum_ pic.twitter.com/mZqUHfFQWA";;@poorserviceixigo @notifications @ixigo @unresolvedissue @wantfullcompensation @worstservice @consumerforum_;;"1049495116086431746";https://twitter.com/HanspalS/status/1049495116086431746
Crash7025;2018-09-27 12:26;0;1;"@notifications #KavagaugnHearings Wait till you see what I do for an encore. You should see some of her photos, I'm not And my sort, and they made me blush. I've been here awhile, and will be here long after you run down the road. https:// twitter.com/noobmarathoner /status/1045344003338784768 …";;@notifications;#KavagaugnHearings;"1045348900519915520";https://twitter.com/Crash7025/status/1045348900519915520
geay_RG;2018-09-09 00:59;0;0;"Pueden creer que existe un tipo tan al pedo que se puso de nick @notifications .-. http://www. taringa.net/__ade__/mi/Umw 5L …";;@notifications;;"1038653008953921536";https://twitter.com/geay_RG/status/1038653008953921536
thrillofdamned;2018-08-31 01:45;0;0;"pls stop @notifications";;@notifications;;"1035403095088553989";https://twitter.com/thrillofdamned/status/1035403095088553989
SimplianceTech;2018-08-09 08:23;0;0;"IMPORTANT NOTIFICATION The #DelhiMinimumWage Notifications Annulled. Know more @http:// bit.ly/2vvby53 . Don’t forget to subscribe to @Simpliance @Notifications http:// bit.ly/2vOaMRp and get all latest notifications and @amendments in your inbox. #Labourlaw pic.twitter.com/JzoZXYSJxC";;@http @Simpliance @Notifications @amendments;#DelhiMinimumWage #Labourlaw;"1027530686377291776";https://twitter.com/SimplianceTech/status/1027530686377291776
SafetyMentalst;2018-07-31 18:28;0;1;"63 EACH @notifications https:// twitter.com/i/notifications TO SHARE WITH THE @WORLD ! VIA @SafetyMentalst ... #rt THEN GRAB YOUR ASS !! FOR THE RESULTS WILL BE #AWESOME !!";;@notifications @WORLD @SafetyMentalst;#rt #AWESOME;"1024421578401042432";https://twitter.com/SafetyMentalst/status/1024421578401042432
abidinege83;2018-07-17 07:40;0;0;"recieved two notifications via e-mail on 06.07, first one came from @accountprotection.microsoft.com, and the second one was from @notifications .skype.com. Two different e-mails have been added to my account according to those two notifications. Strangest part is I cannot see+";;@accountprotection @notifications;;"1019185111428976640";https://twitter.com/abidinege83/status/1019185111428976640
__ouji__;2018-07-15 12:15;0;0;"@notifications いいちこ #ふぁぼした人に合いそうなお酒を言う";;@notifications;#;"1018529520662429696";https://twitter.com/__ouji__/status/1018529520662429696
GamerBreakGames;2018-07-06 01:13;0;0;"don't mind the " @Notifications " thingy...TOTALLY didn't copy paste...";;@Notifications;;"1015101411732774912";https://twitter.com/GamerBreakGames/status/1015101411732774912
GamerBreakGames;2018-07-05 17:11;0;0;"Probably the final for UCN...Chaos 3 is all that remains...Streaming FNaF Ultimate Custom Night! Come get spooked! https://www. twitch.tv/gamergotgood @Notifications";;@Notifications;;"1014980028382076928";https://twitter.com/GamerBreakGames/status/1014980028382076928
manastureian;2018-06-25 08:21;0;0;"Support @notifications on @patreon . #OnPatreon https:// patreon.com/anniespoems?ut m_medium=social&utm_source=twitter&utm_campaign=creatorshare2 …";;@notifications @patreon;#OnPatreon;"1011222868515049474";https://twitter.com/manastureian/status/1011222868515049474
Ronnie01964;2018-06-24 14:25;0;0;"Zo, ff wat woorden uitgesloten, scheelt gezeik in @Notifications en @Mentions.";;@Notifications @Mentions;;"1010952156629872640";https://twitter.com/Ronnie01964/status/1010952156629872640
