username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FreightAlley;2018-12-30 17:27;4;10;"6 of the top 10 business deals in #Chattanooga were #mobility related (transportation, logistics, auto). @BusinessChatt @tedalling @truck_insurance @usxpress @BellhopsMoving @freightwaves @CokerTireCo @VW @TimesFreePress https://www. timesfreepress.com/news/business/ aroundregion/story/2018/dec/30/biggest-business-deals-2018/485622/ …";;@BusinessChatt @tedalling @truck_insurance @usxpress @BellhopsMoving @freightwaves @CokerTireCo @VW @TimesFreePress;#Chattanooga #mobility;"1079504155306164224";https://twitter.com/FreightAlley/status/1079504155306164224
scottsillars;2018-12-30 13:23;0;0;"FWSWAG";;;;"1079442888818274304";https://twitter.com/scottsillars/status/1079442888818274304
neumarine;2018-12-30 12:37;0;0;"Hey @FreightWaves , Thank you for the follow!";;@FreightWaves;;"1079431215990624257";https://twitter.com/neumarine/status/1079431215990624257
madmilker;2018-12-30 11:31;0;0;"Mexico #NAFTA https://www. census.gov/foreign-trade/ balance/c0005.html … Canada NAFTA https://www. census.gov/foreign-trade/ balance/c0006.html … China https://www. census.gov/foreign-trade/ balance/c5700.html … first two signed in 1993 by @billclinton and 2000 China agreement also signed by same president.. Government being closed is saving We the People over $10 billion a day";;@billclinton;#NAFTA;"1079414601584762880";https://twitter.com/madmilker/status/1079414601584762880
madmilker;2018-12-30 11:25;0;0;"which means more and more $ s leaving America while more and more printed #debt $ s are having to run an economy that keeps #making less and relying on more and more Americans to spend more The #snakeofignorance is eating her/his self in the name of thinking foreign is cheaper";;;#debt #making #snakeofignorance;"1079413111537324032";https://twitter.com/madmilker/status/1079413111537324032
neumarine;2018-12-30 11:24;0;0;"Hey FreightWaves( @FreightWaves ), thank you for following me";;@FreightWaves;;"1079412929391398914";https://twitter.com/neumarine/status/1079412929391398914
FreightWaves;2018-12-30 11:22;3;1;"Hundreds of manufacturing firms in China seek to take advantage of the vast national investment directed at renewable energy and battery storage technology. http:// bit.ly/2EWm1vW";;;;"1079412442042486784";https://twitter.com/FreightWaves/status/1079412442042486784
FreightWaves;2018-12-30 07:26;2;1;"Andrew Silver, CEO of MoLo Solutions, looked back at 2018 and talked about the challenges and joys of running a high-growth brokerage. http:// bit.ly/2BMSMIA";;;;"1079352950852468737";https://twitter.com/FreightWaves/status/1079352950852468737
FreightWaves;2018-12-30 07:05;3;6;"Carriers lower rates heading to the West Coast this year as inbound container volumes flood the ports.";;;;"1079347692138946560";https://twitter.com/FreightWaves/status/1079347692138946560
MilaBrokerage;2018-12-29 18:48;0;3;"#Freight delays loom if government shutdown goes long-term (via @FreightWaves ) https:// bit.ly/2SwGonq #logistics #freightbrokerage #Transportation #supplychain pic.twitter.com/ef0LpQ1F02";;@FreightWaves;#Freight #logistics #freightbrokerage #Transportation #supplychain;"1079162330947207168";https://twitter.com/MilaBrokerage/status/1079162330947207168
FreightWaves;2018-12-29 09:15;4;3;"Logistics startup SmartHop helps automate route planning and provides real-time dispatch advice for truckers, while also assisting shippers in sourcing capacity for their loads. http:// bit.ly/2QVKKYj";;;;"1079017950990856192";https://twitter.com/FreightWaves/status/1079017950990856192
FreightWaves;2018-12-29 07:07;0;4;"Hedging all those barrels coming out of the ground in the U.S. is creating downward pressure on prices. #oil #oott http:// bit.ly/2Tc3m2S";;;#oil #oott;"1078985920802484225";https://twitter.com/FreightWaves/status/1078985920802484225
iTrucker_;2018-12-29 04:34;3;7;"Reverse Logistics https://www. freightwaves.com/news/infograph ics/reverse-logistics … #Reverselogistics #Logistics #SupplyChain #itrucker @FreightWaves @PawlowskiMario @supplyChainDive @Bitamembers";;@FreightWaves @PawlowskiMario @supplyChainDive @Bitamembers;#Reverselogistics #Logistics #SupplyChain #itrucker;"1078947230248255493";https://twitter.com/iTrucker_/status/1078947230248255493
FreightWaves;2018-12-28 15:13;0;4;"Contract Transport Services plays Santa for nearly 100 children. https:// twitter.com/TruckloadIndex /status/1078745314952179712 …";;;;"1078745768301944832";https://twitter.com/FreightWaves/status/1078745768301944832
CarrierDirect;2018-12-28 15:04;0;1;"@FMCSA comes to terms with cameras in lieu of mirrors, marking another advancement in marriage of tech and safety. #fleet #carriers #trucking #truckers #freight #transportation FMCSA says trucks can use cameras instead of rear-view mirrors https:// hubs.ly/H0g0pJF0 by @FreightWaves";;@FMCSA @FreightWaves;#fleet #carriers #trucking #truckers #freight #transportation;"1078743391331147783";https://twitter.com/CarrierDirect/status/1078743391331147783
FreightWaves;2018-12-28 15:03;4;6;"Reverse logistics is a big issue for clothing companies, but many don’t see it that way. http:// bit.ly/2EWn2ox pic.twitter.com/gW2byjeUc3";;;;"1078743366429487104";https://twitter.com/FreightWaves/status/1078743366429487104
