username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Rohan_MarTech;2018-12-26 22:10;1;0;"FrontdeskAI Says SMALL BUSINESSES BEWARE: AI Assistant or Chatbot? http:// ow.ly/Ct5v30n6ubs @frontdeskai @srivatsanlaxman #AINews #Tech #artificialintelligence #Automation pic.twitter.com/zegV1JZuAj";;@frontdeskai @srivatsanlaxman;#AINews #Tech #artificialintelligence #Automation;"1078125845355597824";https://twitter.com/Rohan_MarTech/status/1078125845355597824
Viraj_Martech;2018-12-26 13:00;0;0;"FrontdeskAI Says SMALL BUSINESSES BEWARE: AI Assistant or Chatbot? http:// ow.ly/Ct5v30n6ubs @frontdeskai @srivatsanlaxman #AINews #Tech #artificialintelligence #Automation pic.twitter.com/uEPkWq7zBP";;@frontdeskai @srivatsanlaxman;#AINews #Tech #artificialintelligence #Automation;"1077987505692131330";https://twitter.com/Viraj_Martech/status/1077987505692131330
Manali_MTS;2018-12-26 10:00;0;0;"FrontdeskAI Says SMALL BUSINESSES BEWARE: AI Assistant or Chatbot? http:// ow.ly/Ct5v30n6ubs @frontdeskai @srivatsanlaxman #AINews #Tech #artificialintelligence #Automation pic.twitter.com/NOGcAawDCt";;@frontdeskai @srivatsanlaxman;#AINews #Tech #artificialintelligence #Automation;"1077942186036072451";https://twitter.com/Manali_MTS/status/1077942186036072451
AiThority;2018-12-26 10:00;0;0;"FrontdeskAI Says SMALL BUSINESSES BEWARE: AI Assistant or Chatbot? http:// ow.ly/Ct5v30n6ubs @frontdeskai @srivatsanlaxman #AINews #Tech #artificialintelligence #Automation pic.twitter.com/pcCeLmOkb3";;@frontdeskai @srivatsanlaxman;#AINews #Tech #artificialintelligence #Automation;"1077942185629237248";https://twitter.com/AiThority/status/1077942185629237248
Jaya_MarTech;2018-12-26 07:47;0;0;"FrontdeskAI Says SMALL BUSINESSES BEWARE: AI Assistant or Chatbot? http:// ow.ly/Ct5v30n6ubs @frontdeskai @srivatsanlaxman #AINews #Tech #artificialintelligence #Automation pic.twitter.com/AqOavlUCv8";;@frontdeskai @srivatsanlaxman;#AINews #Tech #artificialintelligence #Automation;"1077908759501000704";https://twitter.com/Jaya_MarTech/status/1077908759501000704
AiThority;2018-12-26 07:44;1;2;"FrontdeskAI Says SMALL BUSINESSES BEWARE: AI Assistant or Chatbot? http:// ow.ly/Ct5v30n6ubs @frontdeskai @srivatsanlaxman #AINews #Tech #artificialintelligence #Automation pic.twitter.com/Lce4gQuT7h";;@frontdeskai @srivatsanlaxman;#AINews #Tech #artificialintelligence #Automation;"1077907968904101890";https://twitter.com/AiThority/status/1077907968904101890
SpecialeInvest;2018-11-09 16:17;1;0;""One of the aspects that separate FrontdeskAI from mere chatbots, is the ability for the AI assistants to become increasingly intelligent and intuitive over time." https://www. franchising.com/news/20181109_ true_rest_spa_franchise_ensures_stressfree_appoint.html … Super stuff from @frontdeskai";;@frontdeskai;;"1061004752757104640";https://twitter.com/SpecialeInvest/status/1061004752757104640
raodyboy;2018-10-09 08:11;0;0;"Exciting to be working with 2 portfolio cos. solving problems with Conversational AI @frontdeskai , http:// Strings.ai https:// twitter.com/SpecialeInvest /status/1049596453541138432 …";;@frontdeskai;;"1049633372438315008";https://twitter.com/raodyboy/status/1049633372438315008
AiThority;2018-09-21 21:30;1;0;"Fastest Adopted Salon Industry #AI Solution Now Available For Fitness Market http:// ow.ly/ViXn30lTB13 @frontdeskai #AINews pic.twitter.com/FZrTqYhGab";;@frontdeskai;#AI #AINews;"1043311495457779712";https://twitter.com/AiThority/status/1043311495457779712
AiThority;2018-09-20 08:30;0;1;"Fastest Adopted Salon Industry #AI Solution Now Available For Fitness Market http:// ow.ly/ViXn30lTB13 @frontdeskai #AINews pic.twitter.com/Ycba0A1I8t";;@frontdeskai;#AI #AINews;"1042752863099912195";https://twitter.com/AiThority/status/1042752863099912195
