username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
germanautolabs;2018-12-06 03:08;2;2;"Some interesting possible trends in the connected car space for 2019! https://www. cmswire.com/digital-experi ence/connected-car-experiences-in-2019-exploring-the-possibilities/ …";;;;"1070590669859766272";https://twitter.com/germanautolabs/status/1070590669859766272
germanautolabs;2018-12-05 04:14;1;3;"'The press has finally decided to acknowledge that the autonomous car isn't just around the corner.' In the meantime, let's use technology to help drivers stay safely connected!";;;;"1070244890603384832";https://twitter.com/germanautolabs/status/1070244890603384832
TTIVanguard;2018-12-04 20:20;1;6;"' @germanautolabs 's Holger Weiss @travlR talking about building the digital assistant "Chris" for drivers. pic.twitter.com/zircpLyPAy";;@germanautolabs @travlR;;"1070125640672673792";https://twitter.com/TTIVanguard/status/1070125640672673792
peggyanne;2018-12-04 11:07;0;0;"Thank you very much & great to connect with awesome German companies:) I am at @apppromotion summit this week but will drop you a dm and we can be in touch";;@apppromotion;;"1069986478393098240";https://twitter.com/peggyanne/status/1069986478393098240
multicast_media;2018-12-04 10:33;1;2;"Our doors are open for you @peggyanne it is a great honour to be mentioned at @Forbes and be One of the #100 innovative #startups in #Germany";;@peggyanne @Forbes;#100 #startups #Germany;"1069977962513084417";https://twitter.com/multicast_media/status/1069977962513084417
peggyanne;2018-12-04 10:00;2;7;"#Germany - home to amazing #startups with great stories to share. Let's connect in 2019@solvemate_HQ, @ubirch_IoT , @MOTIONTAG , @germanautolabs , @watttron , @scoutbee_de , @Artisense3D , @talentcubeapp https://www. forbes.com/sites/ninaange lovska/2018/11/26/meet-the-100-most-innovative-startups-of-germany-in-2018/#4cdf2ce07a26 … via @Forbes #100MostInnovativeStartupsGermany pic.twitter.com/gxEPomLXO8";;@solvemate_HQ @ubirch_IoT @MOTIONTAG @germanautolabs @watttron @scoutbee_de @Artisense3D @talentcubeapp @Forbes;#Germany #startups #4cdf2ce07a26 #100MostInnovativeStartupsGermany;"1069969710672949248";https://twitter.com/peggyanne/status/1069969710672949248
untitled_sh;2018-12-04 07:18;0;0;"Guys, plz. If I can't use it, why should I keep it?";;;;"1069928860966363136";https://twitter.com/untitled_sh/status/1069928860966363136
germanautolabs;2018-12-04 06:05;0;0;"Driverless taxis might launch as early as 2019. A first step might be to give taxi drivers greater access to technology. https://www. germanautolabs.com/blog/will-driv erless-taxis-will-hit-the-road-by-2019 …";;;;"1069910435074400256";https://twitter.com/germanautolabs/status/1069910435074400256
MobilityMagDE;2018-12-04 03:15;1;0;"Warum fährt Holger Weiss, Mitgründer bei @germanautolabs eigentlich so oft Auto? Bei #Homescreen erklärt er es. https:// mobilitymag.de/homescreen-hol ger-weiss-german-autolabs/ …";;@germanautolabs;#Homescreen;"1069867890940231680";https://twitter.com/MobilityMagDE/status/1069867890940231680
germanautolabs;2018-12-03 12:17;5;10;"Meet Chris and get a live demo in the car by our founders @travlR and @00weissert at #CES2019 . Ping us now to make an appointment! #heychris #connectedcar #digitalassistant pic.twitter.com/eIoaYnBg47";;@travlR @00weissert;#CES2019 #heychris #connectedcar #digitalassistant;"1069641675620925440";https://twitter.com/germanautolabs/status/1069641675620925440
germanautolabs;2018-12-03 07:50;2;2;"Cloud technology deals for automotive companies could be a key battleground in the #ConnectedCar space https://www. ecnmag.com/news/2018/11/e ricsson-and-volvo-cars-sign-five-year-connected-vehicle-cloud-worldwide-deal …";;;#ConnectedCar;"1069574479838359553";https://twitter.com/germanautolabs/status/1069574479838359553
germanautolabs;2018-11-28 22:17;2;2;"Thinking like this is not helpful: it panders to the idea that humans have no control over AI development, when in fact we have a moral responsibility to ensure it evolves in the right way. https://www. forbes.com/sites/carltonr eid/2018/10/28/driverless-cars-will-kill-cyclists-warns-nature-magazine/#744de4486133 …";;;#744de4486133;"1067980721778843648";https://twitter.com/germanautolabs/status/1067980721778843648
bheater;2018-11-28 07:22;0;2;"Can confirm.";;;;"1067755709499092992";https://twitter.com/bheater/status/1067755709499092992
germanautolabs;2018-11-28 07:02;3;12;"Brooklyn x Kreuzberg: Techcrunch´s very own @anthonyha interviewing @travlr on the why, what and how of Chris, the digital assistant made for drivers. #tcdisrupt #heychris pic.twitter.com/KtqwLNiQtl";;@anthonyha @travlr;#tcdisrupt #heychris;"1067750458100539392";https://twitter.com/germanautolabs/status/1067750458100539392
targetpartners;2018-11-28 04:22;0;1;"Meet The 100 Most Innovative Startups Of Germany In 2018 featuring @germanautolabs – Ranked by @TheHundert via @Forbes #PortfolioNews #Startup #ConnectedCar http:// ow.ly/itCO30mMo9p";;@germanautolabs @TheHundert @Forbes;#PortfolioNews #Startup #ConnectedCar;"1067710326857220096";https://twitter.com/targetpartners/status/1067710326857220096
germanautolabs;2018-11-28 02:17;2;7;"Meet Chris and get a live demo in the car by our founders @travlR and @00weissert at #CES2019 . Ping us now to make an appointment! #heychris #connectedcar #digitalassistant pic.twitter.com/YmXDEHcgDD";;@travlR @00weissert;#CES2019 #heychris #connectedcar #digitalassistant;"1067678733358821376";https://twitter.com/germanautolabs/status/1067678733358821376
germanautolabs;2018-11-27 19:14;1;3;"True for the automotive sector: 'Until we invent something that wouldn’t be possible without voice, we’re just repurposing online content for our ears.' https://www. recode.net/2018/11/12/177 65390/voice-alexa-siri-assistant-amazon-echo-google-assistant …";;;;"1067572280207843328";https://twitter.com/germanautolabs/status/1067572280207843328
germanautolabs;2018-11-27 09:13;2;2;"Voice assistants are now accessible from over 1 billion devices! More adoption = more training = better tech https:// voicebot.ai/2018/11/13/new -report-over-1-billion-devices-provide-voice-assistant-access-today-and-highest-usage-is-on-smartphones/ …";;;;"1067421041511813120";https://twitter.com/germanautolabs/status/1067421041511813120
