username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
inktalks;2018-11-22 02:00;1;3;"#MeetOurSpeaker CTO and Co-founder of @glialab , Abu Qader is a 19-year old visionary and entrepreneur working at the intersection of technology, neuroscience and the human experience. Don't miss him at #INK2018 . Register now: http:// Inktalks.com/ink2018 pic.twitter.com/pDK9wyVFr3";;@glialab;#MeetOurSpeaker #INK2018;"1065500220908363777";https://twitter.com/inktalks/status/1065500220908363777
EuniceFoongTAB;2018-11-14 05:18;0;2;"Closing plenary @sgfintechfest - absolutely #inspiring ! @dbsinsights CEO Piyush Gupta + 19 year old @glialab CTO Abu Qader + blind yet successful engineer Chieko Asakawa @IBM and the ever so eloquent professor Annie Koh @SMU pic.twitter.com/FZBukoJKIQ";;@sgfintechfest @dbsinsights @glialab @IBM @SMU;#inspiring;"1062651061066846208";https://twitter.com/EuniceFoongTAB/status/1062651061066846208
elmosmoe;2018-11-14 05:03;1;2;"A pretty inspirational final panel at #SGFinTechFest @sgfintechfest - Chieko Asakawa of @IBM , Piyush Gupta of @dbsbank and Abu Qader from @glialab pic.twitter.com/vwTWVMlRfM";;@sgfintechfest @IBM @dbsbank @glialab;#SGFinTechFest;"1062647204907601920";https://twitter.com/elmosmoe/status/1062647204907601920
sgfintechfest;2018-11-14 05:00;6;11;"Ending off our #FinTechConference with an amazing line-up of panellists: Abu Qader ( @glialab ), Chieko Asakawa ( @IBMWatson ), Piyush Gupta ( @dbsbank ) and Prof Annie Koh ( @sgSMU ) moderating the panel. #SGFinTechFest pic.twitter.com/yoEfS5Dq44";;@glialab @IBMWatson @dbsbank @sgSMU;#FinTechConference #SGFinTechFest;"1062646445600206848";https://twitter.com/sgfintechfest/status/1062646445600206848
Andrew_Marshall;2018-11-08 06:55;0;0;"Dragons Den at #FILS Daryl Bowden @glialab Augmented Intelligence - intelligent chatbot Darwin here. Great partnerships and lead customer pic.twitter.com/tXX55vrlrr";;@glialab;#FILS;"1060501113177300992";https://twitter.com/Andrew_Marshall/status/1060501113177300992
glialab;2018-04-29 07:41;4;9;"After @nilerodgers greeted the audience and thanked them for their support, the hitmaker introduced the room to Abu Qader, co-founder of GliaLab: https://www. billboard.com/articles/news/ 8400958/nile-rodgers-ll-cool-j-roger-daltrey-we-are-family-foundation-2018 … #tech #AI @WeAreFamilyFdtn #startups #entrepreneur #MachineLearning #RT #breastcancer";;@nilerodgers @WeAreFamilyFdtn;#tech #AI #startups #entrepreneur #MachineLearning #RT #breastcancer;"990556679765938176";https://twitter.com/glialab/status/990556679765938176
ximillianoh;2018-04-11 16:22;0;0;"@glialab";;@glialab;;"984164909423329280";https://twitter.com/ximillianoh/status/984164909423329280
icobox_io;2018-03-29 18:00;0;5;"Congratulations to @glialab , a diagnostic #healthcare platform providing users with universal remote access to the best medical care and advice by using innovative data-driven #AI technology solutions! #ICOS #tokenholders decided to give it ICOBox tools: https:// goo.gl/JQmoCy pic.twitter.com/uSHTDqHafR";;@glialab;#healthcare #AI #ICOS #tokenholders;"979478535881543680";https://twitter.com/icobox_io/status/979478535881543680
PaulMiller1313;2018-03-27 18:49;0;1;"Very cool.";;;;"978765971698700289";https://twitter.com/PaulMiller1313/status/978765971698700289
BenefitRx;2018-03-26 05:54;0;0;"The latest Feel Better Faster ! https:// paper.li/BenefitRx/1499 612010?edition_id=9cb55260-30db-11e8-b96c-0cc47a0d164b … Thanks to @glialab @Think_KAE #healthcare #ai";;@glialab @Think_KAE;#healthcare #ai;"978208454966988802";https://twitter.com/BenefitRx/status/978208454966988802
icobox_io;2018-03-25 16:00;0;0;"Up for vote: We are glad to remind #ICOS #tokenholders that they can vote for the project @glialab until 3pm (UTC) on Tuesday, March 27. Learn more here: https:// goo.gl/nhbNEG";;@glialab;#ICOS #tokenholders;"977998630190804992";https://twitter.com/icobox_io/status/977998630190804992
icobox_io;2018-03-20 16:00;5;5;"Up for vote: @glialab is a global diagnostic #healthcare platform providing users with remote access to the best medical care and advice by using innovative data-driven #AI technology solutions. #ICOS #tokenholders can vote for this project until March 27…";;@glialab;#healthcare #AI #ICOS #tokenholders;"976186694998396928";https://twitter.com/icobox_io/status/976186694998396928
Harvey89380412;2018-03-06 11:30;0;0;"Wise words Mr.Rodgers Sir";;;;"971060492147060736";https://twitter.com/Harvey89380412/status/971060492147060736
EricRobinson00;2018-03-05 21:35;0;3;"Sage advice";;;;"970850201085726720";https://twitter.com/EricRobinson00/status/970850201085726720
sigel910;2018-02-10 09:32;1;1;"Abu, From the 1st time I met you at your Posse interview, you amaze me. Keep it up!";;;;"962333425695850496";https://twitter.com/sigel910/status/962333425695850496
Iammustafa11;2018-02-09 15:53;1;1;"Enjoyed the video a lot! Me as an Afghan feel so proud seeing these kind of talented personalities out there. Abu and his ideas need more attention! btw, good job Qader!";;;;"962066934127779841";https://twitter.com/Iammustafa11/status/962066934127779841
glialab;2018-02-09 14:09;2;7;"We hope you had the opportunity to catch our co-founder speak at @ThinkwithGoogle Greece: https://www. youtube.com/watch?v=txTT7c BvZ2o … #tech #entrepreneur #Google #startups #AI #RT #MachineLearning";;@ThinkwithGoogle;#tech #entrepreneur #Google #startups #AI #RT #MachineLearning;"962040711246790656";https://twitter.com/glialab/status/962040711246790656
Iammustafa11;2018-02-05 14:40;0;1;"Go Mone!";;;;"960599043096436737";https://twitter.com/Iammustafa11/status/960599043096436737
glialab;2018-02-05 09:45;1;6;"Proud to announce that our co-founder, Chris Mone, will be speaking at @UCLA , Cyber Days 2018 conference organized by UCLA's #Blockchain Lab and Far from LA, February 17-18, with other notable speakers from entities like @ConsenSys , @Dashpay , @MIT , @TheSwarmFund etc. #tech #RT";;@UCLA @ConsenSys @Dashpay @MIT @TheSwarmFund;#Blockchain #tech #RT;"960524818339848192";https://twitter.com/glialab/status/960524818339848192
NCMNPS;2018-02-02 09:25;1;1;"Pls Read ReplyRT on #Inspire2ServeUS @http://www. inspire2serve.gov / New 2-yr Fed appraisal of #SSS_Gov 4 #HighSchoolsUSA #YouthWakeUpCall Youth Power by way of thinking, doing local/nationwide vol. civic service catalyst 4 #MAGAethos #GliaLab #WeAreFamilyFdtn #SAP #startups pic.twitter.com/2NpZGh2Phj";;@http;#Inspire2ServeUS #SSS_Gov #HighSchoolsUSA #YouthWakeUpCall #MAGAethos #GliaLab #WeAreFamilyFdtn #SAP #startups;"959432581623115777";https://twitter.com/NCMNPS/status/959432581623115777
Iammustafa11;2018-01-28 00:38;0;1;"Congratulations Abu!";;;;"957488066448388097";https://twitter.com/Iammustafa11/status/957488066448388097
glialab;2018-01-27 17:15;4;10;"We are proud to announce that our co-founder, Abu Qader, has been selected by @WeAreFamilyFdtn and @SAP as one of 2018 Three Dot Dash Global Teen Leaders, a list of #youth changemakers taking global issues in their own hands: http://www. threedotdash.org/2018-global-te en-leaders … #tech #leaders #AI #startups";;@WeAreFamilyFdtn @SAP;#youth #tech #leaders #AI #startups;"957376485781893120";https://twitter.com/glialab/status/957376485781893120
Sid_Healthcare;2017-12-28 16:18;0;1;"US Teenager's #Startup @glialab aims to improve #breastcancer diagnosis in poor countries using #AI , to support local radiologists http:// n.pr/2CgqqWS";;@glialab;#Startup #breastcancer #AI;"946490440173477889";https://twitter.com/Sid_Healthcare/status/946490440173477889
DrGMcGinty;2017-12-28 10:40;1;3;". @glialab your @WeillCornellRad colleagues would love to connect and learn more about your work";;@glialab @WeillCornellRad;;"946405536597250048";https://twitter.com/DrGMcGinty/status/946405536597250048
ShapingUpMegan;2017-12-23 20:25;0;0;"Childhood cancer is something no kid should have to suffer- hoping and raising money to help find a cure! #ad https:// ooh.li/0655046 @tacklekidscancr #tacklekidscancer #morethan4 @glialab";;@tacklekidscancr @glialab;#ad #tacklekidscancer #morethan4;"944740669209358336";https://twitter.com/ShapingUpMegan/status/944740669209358336
sanjitpsingh;2017-12-12 17:54;0;0;"@glialab hi my name is sanjit singh. I am a computer science major. I am writing to ask is glia labs hiring interns for the summer of 2018?";;@glialab;;"940716611471847425";https://twitter.com/sanjitpsingh/status/940716611471847425
glialab;2017-12-11 18:22;7;17;"Check HIDDEN HEROES in conversation at the @MiskGlobalForum with @nanxi_liu and our co-founder @aqaderb : https://www. youtube.com/watch?v=IyYQa2 kdMDk … #startups #tech #MEDTECH #entrepreneur #AI";;@MiskGlobalForum @nanxi_liu @aqaderb;#startups #tech #MEDTECH #entrepreneur #AI;"940361152667807745";https://twitter.com/glialab/status/940361152667807745
amow_mostacho;2017-12-01 20:04;2;2;"@Cornell باحث في ويدير شركة غليلاب @glialab التي تقوم بتطوير البرمجيات التي يمكن أن تحسن دقة تشخيص سرطان الثدي، وتمت استضافته من قبل @TEDxTeen @googledevs";;@Cornell @glialab @TEDxTeen @googledevs;;"936762911011328001";https://twitter.com/amow_mostacho/status/936762911011328001
TheChrisMone;2017-11-16 13:56;0;0;"Congratulations @aqaderb on your continued success in advancing healthcare with AI #MiskGlobalForum @glialab https:// twitter.com/miskglobalforu m/status/931101611161681920 …";;@aqaderb @glialab;#MiskGlobalForum;"931234559525638144";https://twitter.com/TheChrisMone/status/931234559525638144
