username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ISRAEL21C;2018-12-15 10:00;3;2;"Refundit, @PruvoWeb , @SeeVoov and Howazit beat out 3,000 other startups for a finals spot in competition run by United Nations World Tourism Organization. https:// buff.ly/2L9lqrL";;@PruvoWeb @SeeVoov;;"1073956039068999680";https://twitter.com/ISRAEL21C/status/1073956039068999680
IsraelinItaly;2018-12-11 04:10;1;5;"#Pruvo , #Refundit , @SeeVoov e @Howazitcom sono le 4 #startup israeliane ad essersi aggiudicate un posto nella finale del contest del @UNWTO #innovazione #innovation #Israeli #technology #ideas https:// buff.ly/2EpiUNx pic.twitter.com/dr4QImukxd";;@SeeVoov @Howazitcom @UNWTO;#Pruvo #Refundit #startup #innovazione #innovation #Israeli #technology #ideas;"1072418258937106433";https://twitter.com/IsraelinItaly/status/1072418258937106433
IsraelinBelgium;2018-12-10 06:37;0;2;"Mazal tov ! 4 out of the 10 finalists of the world's biggest Tourism #startup competition, organised by the @UNWTO , are #Israeli . Good luck to Pruvo, Refundit, @SeeVoov and @Howazitcom for the final #pitch in January https:// bit.ly/2Qlbr8p";;@UNWTO @SeeVoov @Howazitcom;#startup #Israeli #pitch;"1072092836269580289";https://twitter.com/IsraelinBelgium/status/1072092836269580289
SeeVoov;2018-12-09 09:58;0;0;"Travel tech rocks! https:// twitter.com/NoCamels/statu s/1071759966715940865 …";;;;"1071781213298442240";https://twitter.com/SeeVoov/status/1071781213298442240
NoCamels;2018-12-09 08:34;3;5;"Four #Israeli #startups among finalists of @UNWTO #traveltech #startup #competition in partnership with Globalia Corporación Empresarial. The startups are @PruvoWeb @SeeVoov @Howazitcom & #Refundit http:// nocamels.com/2018/12/israel i-startups-world-tourism-competition/ …";;@UNWTO @PruvoWeb @SeeVoov @Howazitcom;#Israeli #startups #traveltech #startup #competition #Refundit;"1071759966715940865";https://twitter.com/NoCamels/status/1071759966715940865
TheFreebirdClub;2018-12-08 08:06;0;3;"Likewise guys - look forward to seeing you all in Madrid!";;;;"1071390467756097537";https://twitter.com/TheFreebirdClub/status/1071390467756097537
Awake_travel;2018-12-07 19:17;0;3;"Congratulations!";;;;"1071197124946223106";https://twitter.com/Awake_travel/status/1071197124946223106
SeeVoov;2018-12-06 15:52;0;1;"SeeVoov is at the final of the United Nation World Tourism Organization (UNWTO) startup competition to be held at FITUR 2019 2771 startups from 132 countries applied to the competition and following 4 rounds and one semifinal, 10 finalists were chosen and SeeVoov is one of them!";;;;"1070782988957507586";https://twitter.com/SeeVoov/status/1070782988957507586
SeeVoov;2018-11-24 00:49;0;0;"SeeVoov CTO, Yosi Golan, will participate at the Microsoft Executive Briefing meeting at Microsoft EBC Redmond December 16th-20th. Would you like to learn how we use Microsoft tools for our platform or hear about our technology? Let us know and he will be happy to meet you. pic.twitter.com/m8XJcavgEz";;;;"1066207266356019200";https://twitter.com/SeeVoov/status/1066207266356019200
SeeVoov;2018-11-04 03:02;0;0;"We bet you did not gamble for this one coming… Las Vegas is our next destination in SeeVoov! Video plan your next trip to Vegas with SeeVoov at: http://www. seevoov.com pic.twitter.com/oFEt1UB7Ot";;;;"1058992825990295553";https://twitter.com/SeeVoov/status/1058992825990295553
