username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CologneAIML;2018-12-21 05:58;5;13;"Less than 4 weeks to go until our next #Cologne #AI and #MachineLearning #Meetup on #AI #Startups . RSVP now https://www. meetup.com/de-DE/Cologne- AI-and-Machine-Learning-Meetup/events/256355335/ … via @MeetupDE Big thanks to @ai_spektrum @coparion_vc @GaffelKoelsch @goedle_io #Köln #Networking #KI";;@MeetupDE @ai_spektrum @coparion_vc @GaffelKoelsch @goedle_io;#Cologne #AI #MachineLearning #Meetup #AI #Startups #K #Networking #KI;"1076069371112538113";https://twitter.com/CologneAIML/status/1076069371112538113
InnoRadarEU;2018-11-10 04:00;1;4;". @goedle_io has been shortlisted for this year's @InnoRadarEU award in the category Best Young SME. @goedle_io offers a machine learning based platform that provides predictions about future user behavior and content adaptation. pic.twitter.com/DLiokISraq";;@goedle_io @InnoRadarEU @goedle_io;;"1061181670618030080";https://twitter.com/InnoRadarEU/status/1061181670618030080
ICTcreativityEU;2018-11-07 10:40;4;4;"@goedle_io is nominated @InnoRadarEU . They offer a machine learning based platform thatprovides predictions about future user behavior and content adaptation. Read more about their innovation with the EU-funded project @envisageh2020 : https:// bit.ly/2zEUA5g";;@goedle_io @InnoRadarEU @envisageh2020;;"1060195367680163840";https://twitter.com/ICTcreativityEU/status/1060195367680163840
TFConsult;2018-10-31 04:32;0;0;"Great Fabian ... just #voted for @goedle_io https:// twitter.com/fabianhadiji/s tatus/1057281327760838656 …";;@goedle_io;#voted;"1057550956378972160";https://twitter.com/TFConsult/status/1057550956378972160
goedle_io;2018-10-30 10:33;9;12;"We have been shortlisted for this year's @InnoRadarEU award in the category Best Young SME Vote for us at https:// ec.europa.eu/futurium/en/in novation-radar-prize … and spread the word @envisageh2020 #h2020 @IRSUSEU @DSMeu #MachineLearning #AI #Education #Analytics";;@InnoRadarEU @envisageh2020 @IRSUSEU @DSMeu;#h2020 #MachineLearning #AI #Education #Analytics;"1057279269037051905";https://twitter.com/goedle_io/status/1057279269037051905
CologneAIML;2018-10-24 05:21;3;7;"Full house at the fourth #CAIML #Meetup Thanks to all attendees. Also a big thank you to our great speakers Prof. Dr. Kristian Kersting and @d_arnu Wouldn't be possible without support from @ai_spektrum @coparion_vc @GaffelKoelsch @STARTPLATZ &a mp; @goedle_io #AI #MachineLearning pic.twitter.com/Xj5EvoOzWj";;@d_arnu @ai_spektrum @coparion_vc @GaffelKoelsch @STARTPLATZ @goedle_io;#CAIML #Meetup #AI #MachineLearning;"1055026366679269376";https://twitter.com/CologneAIML/status/1055026366679269376
CologneAIML;2018-10-23 09:01;6;6;"The fourth #caiml #meetup is happening in a few hours. This time, two excellent talks are waiting for you about #Automated #DataScience . Thanks to our sponsors and partners @ai_spektrum @coparion_vc @GaffelKoelsch @goedle_io and @STARTPLATZ !";;@ai_spektrum @coparion_vc @GaffelKoelsch @goedle_io @STARTPLATZ;#caiml #meetup #Automated #DataScience;"1054719381048037376";https://twitter.com/CologneAIML/status/1054719381048037376
_ciudadano72;2018-09-25 10:20;0;0;"c.c @_sinaptica";;@_sinaptica;;"1044592437627441152";https://twitter.com/_ciudadano72/status/1044592437627441152
CologneAIML;2018-09-25 10:17;8;8;"Only 4 weeks to go until our next #Cologne #AI and #MachineLearning #Meetup on #Automated #Data #Science . RSVP now https://www. meetup.com/de-DE/Cologne- AI-and-Machine-Learning-Meetup/events/254001502/ … via @MeetupDE Big thanks to @ai_spektrum @coparion_vc @GaffelKoelsch @goedle_io @STARTPLATZ #Köln #Networking #KI";;@MeetupDE @ai_spektrum @coparion_vc @GaffelKoelsch @goedle_io @STARTPLATZ;#Cologne #AI #MachineLearning #Meetup #Automated #Data #Science #K #Networking #KI;"1044591615380271104";https://twitter.com/CologneAIML/status/1044591615380271104
CologneAIML;2018-08-24 03:41;4;7;"Thanks to all attendees of the third #CAIML #Meetup Also a big thank you to our great speakers Cristina, Rafet, Ignacio & @holmgard for their inspiring talks Wouldn't be possible without support from @coparion_vc @GaffelKoelsch @STARTPLATZ &a mp; @goedle_io #AI #MachineLearning pic.twitter.com/DjZUxQuK6Q";;@holmgard @coparion_vc @GaffelKoelsch @STARTPLATZ @goedle_io;#CAIML #Meetup #AI #MachineLearning;"1032895745693769730";https://twitter.com/CologneAIML/status/1032895745693769730
