username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
terrychristiani;2017-01-19 14:26;1;1;"How #AI will change #retail @gofindai @bigdataconf #whatsnext";;@gofindai @bigdataconf;#AI #retail #whatsnext;"822163418085879808";https://twitter.com/terrychristiani/status/822163418085879808
ReneeYao1;2017-01-19 13:29;0;0;"#AI in consumer: @OlaySkin , @gofindai , & UnderstandAI helps us in skin care, fashion selection, food & recipe matching. #GlobalAIConference pic.twitter.com/pqbb4vmLxo";;@OlaySkin @gofindai;#AI #GlobalAIConference;"822149040104087552";https://twitter.com/ReneeYao1/status/822149040104087552
GrowthLists;2016-12-06 03:29;1;3;"25 A.I Startups To Watch in 2017 https:// growthlist.co/blog/ai-startu ps/ … @aiClaireClarke @getnexar @gofindai @fluentyinc @xobiapp @Casamatic @meya";;@aiClaireClarke @getnexar @gofindai @fluentyinc @xobiapp @Casamatic @meya;;"806053031846547456";https://twitter.com/GrowthLists/status/806053031846547456
DOTTYBEEZ1;2016-11-18 03:31;0;1;"#Chitz @MEGAprivacy @gofindai @GoSearch @gofundme @RissaDee0 #BACKPACKING DUPLICATED ACCOUNTS AND SOCIAL GROUPS ATTACHED TO ME. @DOTTYBEEZ1 https:// twitter.com/Hyundai/status /799024456773619728 …";;@MEGAprivacy @gofindai @GoSearch @gofundme @RissaDee0 @DOTTYBEEZ1;#Chitz #BACKPACKING;"799530526113669120";https://twitter.com/DOTTYBEEZ1/status/799530526113669120
PlugandPlayTC;2016-10-27 14:30;0;0;". @gofindai is shopping made easier with #AI #PnPEXPO";;@gofindai;#AI #PnPEXPO;"791708599655493632";https://twitter.com/PlugandPlayTC/status/791708599655493632
EarthRetweeter;2016-10-26 22:37;1;2;"Battlefield happening now!! Goodluck to the #pitching #startups @Relaxvr @Underpaidnurse @DropelFabrics @gofindai @dotin_us @LoveThatPet";;@Relaxvr @Underpaidnurse @DropelFabrics @gofindai @dotin_us @LoveThatPet;#pitching #startups;"791468870842191872";https://twitter.com/EarthRetweeter/status/791468870842191872
StartupHouse;2016-10-26 22:34;3;10;"Battlefield happening now!! Goodluck to the #pitching #startups @Relaxvr @Underpaidnurse @DropelFabrics @gofindai @dotin_us @LoveThatPet pic.twitter.com/2SV7WEyLGI";;@Relaxvr @Underpaidnurse @DropelFabrics @gofindai @dotin_us @LoveThatPet;#pitching #startups;"791468185601978368";https://twitter.com/StartupHouse/status/791468185601978368
Odile_Roujol;2016-09-27 22:21;3;14;"Excited to attend #SFxFW2016 and meet awesome Startups in #Fashion and #Tech : @gofindai , @StyleCheck_App @shilpijaiswal_ #womenintech pic.twitter.com/gHYJDwd9Bc";;@gofindai @StyleCheck_App @shilpijaiswal_;#SFxFW2016 #Fashion #Tech #womenintech;"780955658287927296";https://twitter.com/Odile_Roujol/status/780955658287927296
akmercog;2016-09-23 11:30;0;0;"@gofindai just confirming your app isn't available in the us app store yet?";;@gofindai;;"779342118397411328";https://twitter.com/akmercog/status/779342118397411328
DevinDreher;2016-09-23 10:55;0;0;"@gofindai does the app just work for women's fashions or men's too?";;@gofindai;;"779333390243856384";https://twitter.com/DevinDreher/status/779333390243856384
