username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Olivier_Murat;2018-12-11 08:50;0;1;"Bravo @aamarcha et toute l'équipe @gogowego_ai https:// twitter.com/BoosterNova/st atus/1072483646865620993 …";;@aamarcha @gogowego_ai;;"1072488897853181955";https://twitter.com/Olivier_Murat/status/1072488897853181955
samgoeta;2018-11-23 07:35;0;0;"Ah super tu nous écoutais :)";;;;"1065946929694162944";https://twitter.com/samgoeta/status/1065946929694162944
Ju_Gas;2018-11-23 05:33;3;10;"Pensées pour la team @wallonieenpoche en découvrant l’initiative @gogowego_ai pour la @sicoval31 via le webinar #OpenData avec @RomainTales et @samgoeta / @datactivi_st pic.twitter.com/s7F36NKF3U";;@wallonieenpoche @gogowego_ai @sicoval31 @RomainTales @samgoeta @datactivi_st;#OpenData;"1065916203451994114";https://twitter.com/Ju_Gas/status/1065916203451994114
sicoval31;2018-11-20 04:05;8;9;"Retour sur #Futurapolis 2018 et le #Keynote de @JacquesOberti qui nous parle de la collaboration de l'agglo avec les #startups et l' @IOTVALLEY ainsi que le lien avec les #usagers : https:// dai.ly/x6xa3i5 @LePointInnov @gogowego_ai @innopole #SicovalEco";;@JacquesOberti @IOTVALLEY @LePointInnov @gogowego_ai @innopole;#Futurapolis #Keynote #startups #usagers #SicovalEco;"1064807021134925824";https://twitter.com/sicoval31/status/1064807021134925824
AnneDubreuil;2018-11-19 13:21;2;2;"on y sera à Toulouse avec nos #Chabot de @gogowego_ai nos 12h/14h collaboratifs et notre expérimentation de serious game en #edtech avec @freyagames et @savoiretdevenir https:// twitter.com/_DITP/status/1 064078266586341376 …";;@gogowego_ai @freyagames @savoiretdevenir;#Chabot #edtech;"1064584576754991107";https://twitter.com/AnneDubreuil/status/1064584576754991107
hlakkache;2018-10-23 10:01;0;2;"Même plaisir avec la #VillaOccitanie @OrangeOccitanie en recevant également cette belle initiative #OptionStartup #toulouse cc: @stephanevialle @gogowego_ai @swepinet https:// twitter.com/ludilabelfranc e/status/1054710280134017024 …";;@OrangeOccitanie @stephanevialle @gogowego_ai @swepinet;#VillaOccitanie #OptionStartup #toulouse;"1054734617578795008";https://twitter.com/hlakkache/status/1054734617578795008
Nicodefronton;2018-10-20 05:43;0;0;"@gogowego_ai @aamarcha https:// twitter.com/emmanuelleDR/s tatus/1053269726846205952 …";;@gogowego_ai @aamarcha;;"1053582498670743552";https://twitter.com/Nicodefronton/status/1053582498670743552
stephanevialle;2018-10-16 17:39;2;3;"Start-up : le palmarès de LinkedIn http:// l.leparisien.fr/s/xPa via @LeParisien_Eco Bientôt @gogowego_ai ;-)";;@LeParisien_Eco @gogowego_ai;;"1052313174584639488";https://twitter.com/stephanevialle/status/1052313174584639488
hlakkache;2018-10-11 17:12;3;3;"Si vous avez un peu de temps à ... gagner : venez découvrir l'outil #Proximity de de @gogowego_ai pour réalisé un Chatbot en 10 mn et le faire évoluer en Méta Chatbot de manière simple et intelligente via le store ou des API. Quelques screens. GoGo you Go! https://www. gogowego.com / pic.twitter.com/Acw7gRkEeY";;@gogowego_ai;#Proximity;"1050494428899618817";https://twitter.com/hlakkache/status/1050494428899618817
brianelkins;2018-10-10 21:11;2;0;"The latest The Latest in AI & Big Data! http:// brianelkins.com/news Thanks to @gogowego_ai @iratelventures #ai #bigdata";;@gogowego_ai @iratelventures;#ai #bigdata;"1050192229665570817";https://twitter.com/brianelkins/status/1050192229665570817
