username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
gravytyco;2018-12-30 10:41;1;5;"Gravyty recently announced a partnership with @SalesforceOrg to Bring Innovative #AI Solutions to the Salesforce #Nonprofit #Fundraising Community. Read about how our AI-enabled solutions mean fundraisers can build relationships at an enormous scale. https:// hubs.ly/H0g0Nxt0";;@SalesforceOrg;#AI #Nonprofit #Fundraising;"1079402092845064192";https://twitter.com/gravytyco/status/1079402092845064192
gravytyco;2018-12-29 12:17;0;0;"What matters in fundraising is engaging donors. We were proud to see a recent @Philanthropy article feature Gravyty's #AI as "Tech that Helps #Fundraisers Focus on What Matters"... building long - lasting relationships with their donors. https:// hubs.ly/H0g0G_f0";;@Philanthropy;#AI #Fundraisers;"1079063773560877057";https://twitter.com/gravytyco/status/1079063773560877057
gravytyco;2018-12-28 10:01;1;3;"Gravyty's Greatest Hits of 2018 - Gravyty is so excited for what's on the horizon in 2019 and incredibly proud of our successes in 2018. After carefully combing through our collection of 2018's "Greatest Hits" we've compiled the best of the best. https:// hubs.ly/H0g0n3F0";;;;"1078667173831368704";https://twitter.com/gravytyco/status/1078667173831368704
gravytyco;2018-12-28 09:17;1;0;"@ValaAfshar , Chief Digital Evangelist @Salesforce , @ZDNet & @HuffPost columnist, and @DisrupTVShow host visited our office earlier this year to talk #AI , social media, SaaS, and building products that people love. Here's a glimpse of what we learned. https:// hubs.ly/H0g0lMb0";;@ValaAfshar @Salesforce @ZDNet @HuffPost @DisrupTVShow;#AI;"1078656088185208835";https://twitter.com/gravytyco/status/1078656088185208835
gravytyco;2018-12-27 09:00;0;1;"Gravyty believes that you shouldn't have to learn your software, it should learn you. We feel the same about implementing #AI technology. Here are 4 ways we make the process seamless and straightforward for our customers. #seamless #implementation https:// hubs.ly/H0f_-f60";;;#AI #seamless #implementation;"1078289531965763584";https://twitter.com/gravytyco/status/1078289531965763584
gravytyco;2018-12-26 12:15;0;2;"Gravyty CEO @armartel and @UDelaware VP of Development, Jim Dicker discuss how uDel embraced change and took charge with #AI to increase activity for frontline #fundraisers via Gravyty. https:// hubs.ly/H0f_HW30";;@armartel @UDelaware;#AI #fundraisers;"1077976128881651712";https://twitter.com/gravytyco/status/1077976128881651712
gravytyco;2018-12-25 07:38;0;2;"Happy Holidays from all of us to all of you. Wishing you the best! pic.twitter.com/rvBns9LyE0";;;;"1077543987496579072";https://twitter.com/gravytyco/status/1077543987496579072
gravytyco;2018-12-24 09:16;1;3;"Gravyty and @iWavePRO agreed to a first-of-its-kind partnership in #fundraising . Together we're combing #AI tools with comprehensive wealth and #philanthropic data so #Advancement professionals can manage more relationships with the most important donors. https:// hubs.ly/H0f_gdS0 pic.twitter.com/vVNJMUK8CU";;@iWavePRO;#fundraising #AI #philanthropic #Advancement;"1077206280526331904";https://twitter.com/gravytyco/status/1077206280526331904
gravytyco;2018-12-23 08:23;1;5;"Earlier this year, Gravyty was named the winner of the 2018 "Rising Star" award from our partner @EllucianInc for empowering frontline #fundraisers with #AI for #Advancement . https:// hubs.ly/H0f_3QS0";;@EllucianInc;#fundraisers #AI #Advancement;"1076830555684171776";https://twitter.com/gravytyco/status/1076830555684171776
gravytyco;2018-12-22 13:15;2;3;"Gravyty, and our CEO, @armartel are featured in @GlennLeibowitz 's @Inc article "This Startup Is Using AI to Help Nonprofits Raise More Money”. Check it out to learn how we're extending a culture of philanthropy with #AI . https:// hubs.ly/H0f--Xp0";;@armartel @GlennLeibowitz @Inc;#AI;"1076541710614835202";https://twitter.com/gravytyco/status/1076541710614835202
