username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sbcSmartCity;2018-12-21 08:15;0;1;"Startupbootcamp Interactive Roundtable! On Jan 25, join @Manuelakm , MD of Smart City & IoT Program, and Simon Seres, CEO of @nymea_os to discuss and see a practical example of "How can you make money out of IoT?" Register here: https:// buff.ly/2EBTr2v #SmartCity #IoT pic.twitter.com/h9h8AN2sok";;@Manuelakm @nymea_os;#SmartCity #IoT;"1076103793773891584";https://twitter.com/sbcSmartCity/status/1076103793773891584
Manuelakm;2018-12-20 11:06;0;0;"That’s why we need solutions like @nymea_os ! https:// twitter.com/sbcSmartCity/s tatus/1075741383082893318 …";;@nymea_os;;"1075784609294630913";https://twitter.com/Manuelakm/status/1075784609294630913
nymea_os;2018-12-19 01:02;1;0;"nymea probably is the most sophisticated device/API manager used in smart speakers, voice assistants, energy systems (smart car chargers), access systems (smart door locks) and more. Just 8 steps to try it. A new era of interoperable products has started: http:// wiki.nymea.io pic.twitter.com/nXDL19Yxjs";;;;"1075270007511166976";https://twitter.com/nymea_os/status/1075270007511166976
SturzSimon;2018-12-18 04:42;3;4;"Let @nymea_os switch my lights depending on the album artwork currently playing :) pic.twitter.com/oHh3hF6e59";;@nymea_os;;"1074963216764190721";https://twitter.com/SturzSimon/status/1074963216764190721
rhythmsection3;2018-12-17 07:27;1;2;"Nice @nymea_os now supports sonoff/tasmota: https:// groups.google.com/forum/#!topic/ sonoffusers/j3JADmRIhpI …";;@nymea_os;#;"1074642340550197248";https://twitter.com/rhythmsection3/status/1074642340550197248
balena_io;2018-11-24 21:51;0;1;"Thanks for recommending Etcher, too!";;;;"1066524744357277698";https://twitter.com/balena_io/status/1066524744357277698
rpadovani93;2018-11-14 04:09;0;3;"Smart home with @Raspberry_Pi , @nymea_os (based on @ubuntu )? Sign me in! #smarthome #IoT https://www. hackster.io/michael_zanett i/open-source-smart-home-with-touch-screen-control-panel-55e613 …";;@Raspberry_Pi @nymea_os @ubuntu;#smarthome #IoT;"1062633726327382016";https://twitter.com/rpadovani93/status/1062633726327382016
Hacksterio;2018-11-12 15:11;1;18;"Build your own smart home control panel using a @Raspberry_Pi , a 7" touchscreen, and @nymea_os : http:// bit.ly/2POAznd pic.twitter.com/dDLVDK4szS";;@Raspberry_Pi @nymea_os;;"1062075477068865537";https://twitter.com/Hacksterio/status/1062075477068865537
sbcSmartCity;2018-11-07 08:15;0;1;"We had a 2nd webinar together with Simon Seres, CEO of @nymea_os , on how to make money out of #IoT , exploring the topic from a client perspective featuring Felix Niekamp from @marantec . Webinar moderator @Manuelakm , MD of the SmartCity & IoT 2018 Program - https:// buff.ly/2F8K50j pic.twitter.com/kX1lGkSwdQ";;@nymea_os @marantec @Manuelakm;#IoT;"1060158722297786368";https://twitter.com/sbcSmartCity/status/1060158722297786368
Boernsman;2018-10-17 02:47;0;0;"BerryLan is the App - nymea-networkmanager the software running on the device - also open source - https:// github.com/guh/nymea-netw orkmanager …";;;;"1052450950277939200";https://twitter.com/Boernsman/status/1052450950277939200
