username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
twitpulse_dach;2018-11-25 22:10;0;0;"HorseAnalytics ( @horse_analytics , 85 followers) has not tweeted for 129 days #startups #bots";;@horse_analytics;#startups #bots;"1066891810394521600";https://twitter.com/twitpulse_dach/status/1066891810394521600
Venture_Villa;2018-09-19 12:29;0;5;"#leahhunter eröffnet die große #startuppitchnight bei #StartupsRBN ,gespannt auf inspirierende Pitches Übrigens: In der Vergangenheit hat auch eines unserer Alumni-Teams abgesahnt @Horse_Analytics #venturevillafamily #network pic.twitter.com/kqL4zLTTQv – bei Gruenspan";;@Horse_Analytics;#leahhunter #startuppitchnight #StartupsRBN #venturevillafamily #network;"1042450494432653313";https://twitter.com/Venture_Villa/status/1042450494432653313
ClaimScoreUK;2018-09-06 01:10;0;0;"NEW POST: Wearable tech to lower insurance - A list that could keep you safer AND help you get better deals on your insurance premiums. http:// ed.gr/zage #insurance #moneytip feat. @Vitality_UK @BritishInsurers @HeliteOfficial @Horse_Analytics @knoxarmour pic.twitter.com/RIESeZhomB";;@Vitality_UK @BritishInsurers @HeliteOfficial @Horse_Analytics @knoxarmour;#insurance #moneytip;"1037568611030888448";https://twitter.com/ClaimScoreUK/status/1037568611030888448
ClaimScoreUK;2018-09-03 14:04;0;1;"NEW POST: Wearable tech for #equestrian #horseriders #bikers #fitfam to lower #insurance http:// ed.gr/zagf #insurance #moneytip feat. @Vitality_UK @BritishInsurers @HeliteOfficial @Horse_Analytics @knoxarmour pic.twitter.com/9L2gq6POLc";;@Vitality_UK @BritishInsurers @HeliteOfficial @Horse_Analytics @knoxarmour;#equestrian #horseriders #bikers #fitfam #insurance #insurance #moneytip;"1036676394133213185";https://twitter.com/ClaimScoreUK/status/1036676394133213185
kotaknaren;2018-08-31 03:47;0;1;"RT @HeliteOfficial : RT @ClaimScoreUK : NEW POST: Wear smart tech. Use smart tech. Check how it could lower your #insurance http:// ed.gr/zagg #insurance #moneytip feat. @Vitality_UK @BritishInsurers @HeliteOfficial @Horse_Analytics @knoxarmour pic.twitter.com/NydxzoF08u";;@HeliteOfficial @ClaimScoreUK @Vitality_UK @BritishInsurers @HeliteOfficial @Horse_Analytics @knoxarmour;#insurance #insurance #moneytip;"1035433885121826816";https://twitter.com/kotaknaren/status/1035433885121826816
ClaimScoreUK;2018-08-30 15:40;1;1;"NEW POST: Wear smart tech. Use smart tech. Check how it could lower your #insurance http:// ed.gr/zagg #insurance #moneytip feat. @Vitality_UK @BritishInsurers @HeliteOfficial @Horse_Analytics @knoxarmour pic.twitter.com/8ePLUknDnZ";;@Vitality_UK @BritishInsurers @HeliteOfficial @Horse_Analytics @knoxarmour;#insurance #insurance #moneytip;"1035250838384640001";https://twitter.com/ClaimScoreUK/status/1035250838384640001
WeAreLemberg;2018-07-27 04:24;1;3;"Working hand in hand with product owners brings us closer together on our way to delivering innovative products! Very productive week with @Horse_Analytics ! #technology pic.twitter.com/BzIr8I4lNW";;@Horse_Analytics;#technology;"1022759504306417664";https://twitter.com/WeAreLemberg/status/1022759504306417664
WeAreLemberg;2018-07-24 07:50;5;8;"Hands-on tips on how to gather data for an #activitytracking app like iPhone Health or Google Fit in our new article http:// bit.ly/2ObhFDg with @Horse_Analytics #datascience #machinelearning #SportTech pic.twitter.com/W1LHOsVAW6";;@Horse_Analytics;#activitytracking #datascience #machinelearning #SportTech;"1021724293108039686";https://twitter.com/WeAreLemberg/status/1021724293108039686
Horse_Analytics;2018-07-19 05:59;1;9;"Wir freuen uns sehr, dass unsere Gründerin Enri C. Strobel heute beim diesjährigen @CHIO_Aachen zur Digitalen Transformation im #Pferdesport vortragen darf. Eingeladen hat uns die @Allianz , die sich sowohl für den #Chio #Aachen als auch Gründerinnen & #Entrepreneurship engagiert. pic.twitter.com/rK8ZymVGos";;@CHIO_Aachen @Allianz;#Pferdesport #Chio #Aachen #Entrepreneurship;"1019884543157948417";https://twitter.com/Horse_Analytics/status/1019884543157948417
manouatwork;2018-03-27 05:27;1;7;"freue mich sehr dass die @welt für ihre Beilage zu #reiten #reitsport #pferde auch @Horse_Analytics ausgewählt u sogar direkt neben @winterpolo platziert hat! es tauchen u.a. auch auf: @MicrosoftDE @Leuphana_Uni @hannoverimpuls / @Venture_Villa u das #GES2017 von @usconshamburg pic.twitter.com/STwDFn7heZ";;@welt @Horse_Analytics @winterpolo @MicrosoftDE @Leuphana_Uni @hannoverimpuls @Venture_Villa @usconshamburg;#reiten #reitsport #pferde #GES2017;"978564202381168640";https://twitter.com/manouatwork/status/978564202381168640
startupnds;2018-03-14 09:45;0;1;"Die @gruenderszene berichtet über sechs Startups und deren Versuch, das Reiten durch Wearables, Apps und KI in das 21. Jahrhundert zu holen. Mit dabei ist @Horse_Analytics aus Hannover. https:// buff.ly/2FGdCtS pic.twitter.com/cV3KFzXnzl";;@gruenderszene @Horse_Analytics;;"973918086565978113";https://twitter.com/startupnds/status/973918086565978113
everman_d;2018-01-18 11:55;0;0;"Stichwort Pferdedigitalisierung: @Horse_Analytics";;@Horse_Analytics;;"954034553710096384";https://twitter.com/everman_d/status/954034553710096384
kultreiter;2017-12-05 04:43;1;1;"Kultreiter verlost gemeinsam mit @Horse_Analytics 3 Tagestickets zur #PferdundJagd ! Viel Glück! :) https:// kultreiter.de/giveaways/pfer djagd-horseanalytics/ …";;@Horse_Analytics;#PferdundJagd;"937980811609075713";https://twitter.com/kultreiter/status/937980811609075713
WeAreLemberg;2017-10-10 09:36;1;1;"We continue the series of the articles about #IoT project @Horse_Analytics . iBeacons Implementation: http:// bit.ly/2kBOtL2 pic.twitter.com/8EHXDZqPzi";;@Horse_Analytics;#IoT;"917745663680634882";https://twitter.com/WeAreLemberg/status/917745663680634882
Horse_Analytics;2017-09-28 10:24;1;1;"Wir sind in die Beta Phase gestartet. Alles zum Test findest du in unserem Blog https://www. horse-analytics.com/blog/meilenste in-beta-test-vorbereitung-und-startschuss …";;;;"913409005996867585";https://twitter.com/Horse_Analytics/status/913409005996867585
glover_zac;2017-08-17 15:40;0;0;"New additions to the #SportsTech Directory, via the @leADsports accelerator: The Movement Athlete @U1gear http:// bit.ly/2peKxOm";;@leADsports @U1gear;#SportsTech;"898268371682185216";https://twitter.com/glover_zac/status/898268371682185216
glover_zac;2017-08-17 15:35;0;0;"New additions to the #SportsTech Directory, via the @leADsports accelerator: @ReachbirdSports @SentierGear http:// bit.ly/2peKxOm";;@leADsports @ReachbirdSports @SentierGear;#SportsTech;"898267091651907584";https://twitter.com/glover_zac/status/898267091651907584
glover_zac;2017-08-17 15:34;0;0;"New additions to the #SportsTech Directory, via the @leADsports accelerator: ForwardGame AR @Horse_Analytics http:// bit.ly/2peKxOm";;@leADsports @Horse_Analytics;#SportsTech;"898266720900534272";https://twitter.com/glover_zac/status/898266720900534272
WeAreLemberg;2017-08-14 04:44;1;7;"First #hardware prototypes for @Horse_Analytics are ready. We are happy with the initial feedback and there is more work ahead of us. #IoT pic.twitter.com/TJNczqtmHh";;@Horse_Analytics;#hardware #IoT;"897016112143101952";https://twitter.com/WeAreLemberg/status/897016112143101952
WeAreLemberg;2017-07-24 07:43;2;4;"Dressage: horse #Navigation feature for @Horse_Analytics . Find out more in the part 2 http:// bit.ly/2ttFMm1 #IoT project pic.twitter.com/hk1DdLZMzr";;@Horse_Analytics;#Navigation #IoT;"889450879312592897";https://twitter.com/WeAreLemberg/status/889450879312592897
Venture_Villa;2017-07-17 09:49;7;5;"#Folgefinanzierung für VentureVilla #Accelerator Team @Horse_Analytics - Das Leben nach dem Accelerator: http:// venturevilla.de/blog2/2017/3/1 7/was-wurde-aus-horseanalytics … #startup";;@Horse_Analytics;#Folgefinanzierung #Accelerator #startup;"886945868909248512";https://twitter.com/Venture_Villa/status/886945868909248512
Horse_Analytics;2017-07-17 04:14;0;4;"Awesome mentors and follow startups! @Horse_Analytics is under the final 19 out of over 400 applicants for @LeAD #Sport #Accelerator pic.twitter.com/OgiAOmYFeD";;@Horse_Analytics @LeAD;#Sport #Accelerator;"886861719787761664";https://twitter.com/Horse_Analytics/status/886861719787761664
