username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hydrospheredata;2018-12-25 06:29;2;0;""...same problems that we solved for traditional development but with a different perspective now: version control, packaging, deployment, collaboration and serving" - What Machine Learning Can Learn from DevOps: https://www. infoq.com/articles/machi ne-learning-learn-devops … #ML #AI #DataScience";;;#ML #AI #DataScience;"1077526804154454017";https://twitter.com/hydrospheredata/status/1077526804154454017
hydrospheredata;2018-12-20 07:59;1;0;"Got featured by Gartner among Model Management systems: https://www. gartner.com/doc/3891986 pic.twitter.com/O41HCtjdyi";;;;"1075737547601457152";https://twitter.com/hydrospheredata/status/1075737547601457152
hydrospheredata;2018-12-19 11:36;1;0;"The 10 coolest papers from CVPR 2018: https:// towardsdatascience.com/the-10-coolest -papers-from-cvpr-2018-11cb48585a49 … #AI #ML #computervision";;;#AI #ML #computervision;"1075429653509099520";https://twitter.com/hydrospheredata/status/1075429653509099520
hydrospheredata;2018-12-18 11:37;0;0;"Memorizing is not learning! — 6 tricks to prevent overfitting in machine learning: https:// hackernoon.com/memorizing-is- not-learning-6-tricks-to-prevent-overfitting-in-machine-learning-820b091dc42 … #AI #ML #DataScience";;;#AI #ML #DataScience;"1075067523668824066";https://twitter.com/hydrospheredata/status/1075067523668824066
hydrospheredata;2018-12-13 02:36;0;0;"Artificial Intelligence Index Annual Report 2018 http:// cdn.aiindex.org/2018/AI%20Inde x%202018%20Annual%20Report.pdf … #AI #ML";;;#AI #ML;"1073119437841141761";https://twitter.com/hydrospheredata/status/1073119437841141761
hydrospheredata;2018-12-11 10:25;0;0;"https://www. youtube.com/watch?time_con tinue=205&v=hx_bgoTF7bs … #ML #ReinforcementLearning #DeepLearning";;;#ML #ReinforcementLearning #DeepLearning;"1072512619230187522";https://twitter.com/hydrospheredata/status/1072512619230187522
hydrospheredata;2018-12-11 09:38;0;0;"Cool Longread on Deep Reinforcement Learning: https://www. alexirpan.com/2018/02/14/rl- hard.html … #ML #DeepLearning #ReinforcementLearning";;;#ML #DeepLearning #ReinforcementLearning;"1072500864949149698";https://twitter.com/hydrospheredata/status/1072500864949149698
hydrospheredata;2018-12-11 09:34;0;0;"@ScaleByTheBay 2018 https:// twitter.com/TwitterStudio/ status/1068336235452731392 …";;@ScaleByTheBay;;"1072499788871098369";https://twitter.com/hydrospheredata/status/1072499788871098369
hydrospheredata;2018-12-04 05:48;1;0;"Machine Learning In Node.js With TensorFlow.js https:// dev.to/jthomas/machin e-learning-in-nodejs-with-tensorflowjs-1g1p … #ML #AI #TensorFlow";;;#ML #AI #TensorFlow;"1069906166711574529";https://twitter.com/hydrospheredata/status/1069906166711574529
TheEternalAbys;2018-12-02 11:09;0;0;"Why do you advertise on a platform that #discriminates , is #anrisemitic & persecutes people politically?";;;#discriminates #anrisemitic;"1069262171127861249";https://twitter.com/TheEternalAbys/status/1069262171127861249
2017Guitarman;2018-11-28 18:49;0;2;"How is it helping your Business if we #BLOCK you? Stop paying @Twitter to SPAM our Timelines with your ANNOYING Paid Ads! @hydrospheredata @cetrixsaas @MFordFuture @Nutrafol @GlobalJetCap @sfrieder @KitcoNewsNOW @rocket_geeks @WATCfood @WPX_Hosting #GetTheHellOffmyTimeline";;@Twitter @hydrospheredata @cetrixsaas @MFordFuture @Nutrafol @GlobalJetCap @sfrieder @KitcoNewsNOW @rocket_geeks @WATCfood @WPX_Hosting;#BLOCK #GetTheHellOffmyTimeline;"1067928623838101504";https://twitter.com/2017Guitarman/status/1067928623838101504
SB92579913;2018-11-28 11:30;0;0;"pic.twitter.com/4p7tnmfa12";;;;"1067818085715824640";https://twitter.com/SB92579913/status/1067818085715824640
hydrospheredata;2018-11-27 06:51;4;15;"A real life local serving of ML pipeline: Stage 1 - a model preprocessing BASE64 image to a vector. Stage 2 - TF Single Shot Multibox Detector - https:// github.com/balancap/SSD-T ensorflow … . Stage 3 - processing SSD tensors to bounding boxes, classes and confidence structures. #AI #ML #DataScience pic.twitter.com/dIYjCpPad5";;;#AI #ML #DataScience;"1067385465928589312";https://twitter.com/hydrospheredata/status/1067385465928589312
hydrospheredata;2018-11-23 09:20;0;1;"Generative Adversarial Denoising Autoencoder for Face Completion https://www. cc.gatech.edu/~hays/7476/pro jects/Avery_Wenchen/ … #AI #ML";;;#AI #ML;"1065973483480510464";https://twitter.com/hydrospheredata/status/1065973483480510464
Anon_Software;2018-11-18 10:25;0;0;"RT @hydrospheredata RT @ScaleByTheBay : The Data Engineering for #AI panel begins, @l2k moderating. @texasmichelle talks about the first #Scala #MachineLearnin …";;@hydrospheredata @ScaleByTheBay @l2k @texasmichelle;#AI #Scala #MachineLearnin;"1064177695385444353";https://twitter.com/Anon_Software/status/1064177695385444353
mikebeilman;2018-11-16 19:04;0;1;"You've encouraged much procrastination with this question.";;;;"1063583531954188288";https://twitter.com/mikebeilman/status/1063583531954188288
peteskomoroch;2018-11-16 18:58;0;2;"How long until python kills scala?";;;;"1063582189982347264";https://twitter.com/peteskomoroch/status/1063582189982347264
l2k;2018-11-16 18:52;1;5;"Moderating a panel with @RichardSocher @texasmichelle @peteskomoroch @hydrospheredata at #ScaleByTheBay - anyone have any questions they want me to ask?";;@RichardSocher @texasmichelle @peteskomoroch @hydrospheredata;#ScaleByTheBay;"1063580670369259520";https://twitter.com/l2k/status/1063580670369259520
hydrospheredata;2018-11-15 18:42;0;1;"We're at @ScaleByTheBay 2018 in San Francisco - find our stand and ask your questions about #AI , #ML and bringing those to production and business processes. pic.twitter.com/NfgOjTmIWd";;@ScaleByTheBay;#AI #ML;"1063215587046776834";https://twitter.com/hydrospheredata/status/1063215587046776834
hydrospheredata;2018-11-15 18:32;0;0;"Speaking at @ScaleByTheBay about #AI and #ML pic.twitter.com/TQddzrcnZX";;@ScaleByTheBay;#AI #ML;"1063213199204347904";https://twitter.com/hydrospheredata/status/1063213199204347904
hydrospheredata;2018-11-15 18:28;0;1;"#ML #DataScience https:// twitter.com/ScaleByTheBay/ status/1063210986922856448 …";;;#ML #DataScience;"1063212176201048064";https://twitter.com/hydrospheredata/status/1063212176201048064
ScaleByTheBay;2018-11-15 18:23;0;3;"Monitoring #AI with #AI from @hydrospheredata — Stepan Pushkarev is roaring on all cores pic.twitter.com/EOXlbHdtxK";;@hydrospheredata;#AI #AI;"1063210986922856448";https://twitter.com/ScaleByTheBay/status/1063210986922856448
