username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
OneRagtime;2017-06-06 10:49;0;0;"@mainbotme @MyJobCompany @everimpact_org @hyphendotai Come pitch your project at the biggest tech event of the year! https://www. oneragtime.com/pitch-battle-v iva-technology/ …";;@mainbotme @MyJobCompany @everimpact_org @hyphendotai;;"872103135023640576";https://twitter.com/OneRagtime/status/872103135023640576
toolowl;2017-04-11 02:00;0;0;"Find out how @hyphendotai is a #smart personal #assistant in more than one way on #ToOLOwl . http:// buff.ly/2oZKfxA pic.twitter.com/gog8pHRFQ4";;@hyphendotai;#smart #assistant #ToOLOwl;"851676333486874626";https://twitter.com/toolowl/status/851676333486874626
NuwaitKW;2017-02-21 11:30;0;0;". @hyphendotai globetrotting founder takes bold steps towards building his intelligent chatbot startup 'Hyphen' http:// ow.ly/tuoC309cr30 pic.twitter.com/Pq6oG1DsjY";;@hyphendotai;;"834077904086716417";https://twitter.com/NuwaitKW/status/834077904086716417
NuwaitKW;2017-02-21 04:05;0;1;"Luck doesn’t exist, it’s created by people taking risks, said @hyphendotai cofounder on life choices http:// ow.ly/58cn309cqMA";;@hyphendotai;;"833965798435782657";https://twitter.com/NuwaitKW/status/833965798435782657
activeconvert;2017-02-20 11:26;0;0;"@hyphendotai Hey, congrats on your startup! We can help reduce bounce rates with our free service @http://www. activeconvert.com";;@hyphendotai @http;;"833714345003610114";https://twitter.com/activeconvert/status/833714345003610114
WamdaME;2017-02-01 11:30;0;5;"“Luck doesn’t exist, it’s created by people taking risks and finding opportunity.” @hyphendotai http:// ow.ly/4I2F308wcP5 pic.twitter.com/v7gwbY8BPi";;@hyphendotai;;"826830169990168576";https://twitter.com/WamdaME/status/826830169990168576
WamdaME;2017-02-01 01:30;3;10;". @hyphendotai founder’s gutsy life choice leads to a global adventure. http:// ow.ly/Zsf6308wcJO";;@hyphendotai;;"826679053436461057";https://twitter.com/WamdaME/status/826679053436461057
kappina_;2017-01-13 04:57;0;2;"I just registered on https:// hyphen.ai , a platform to supercharge your customer engagement with a chatbot @hyphendotai #chatbots";;@hyphendotai;#chatbots;"819845755670241286";https://twitter.com/kappina_/status/819845755670241286
gurkanilhanfb;2017-01-01 09:50;0;2;"I just registered on https:// hyphen.ai , a platform to supercharge your customer engagement with a chatbot @hyphendotai #chatbots";;@hyphendotai;#chatbots;"815570869946880001";https://twitter.com/gurkanilhanfb/status/815570869946880001
ZavenSoftware;2016-12-29 06:03;0;0;"nice app! Visit our projects here: https:// zaven.co/projects/";;;;"814426578776129538";https://twitter.com/ZavenSoftware/status/814426578776129538
HemisLekala;2016-12-19 12:12;0;0;"@hyphendotai I am a friend of a friend and would like beta access to your AI platform";;@hyphendotai;;"810895708257742848";https://twitter.com/HemisLekala/status/810895708257742848
JamuhlLocized;2016-12-12 18:45;0;0;"@hyphendotai like to grow further by #localization ? See what we created for you: http:// locize.com #i18n #l10n #xl8";;@hyphendotai;#localization #i18n #l10n #xl8;"808457719212544000";https://twitter.com/JamuhlLocized/status/808457719212544000
StartupTracker;2016-12-10 05:38;0;0;"@hyphendotai Hey! We're looking for awesome startups but can't find much info about you. You can fix that here: https:// startuptracker.io/crowdsourcing/ ?handle=hyphendotai&t=n1 …";;@hyphendotai;;"807535030419554304";https://twitter.com/StartupTracker/status/807535030419554304
beta_page;2016-12-08 06:36;0;0;"@hyphendotai @findtomi Startup #Hyphen .ai is featured at #BetaPage under top four #startups https:// betapage.co/startup/hyphen -ai …";;@hyphendotai @findtomi;#Hyphen #BetaPage #startups;"806824800207269889";https://twitter.com/beta_page/status/806824800207269889
slowmersion;2016-12-05 12:26;0;0;"I just registered on http:// ln.is/hyphen.ai/IntMT , a platform to supercharge your customer engagement with a chatbot @hyphendotai #chatbots";;@hyphendotai;#chatbots;"805825591605940224";https://twitter.com/slowmersion/status/805825591605940224
StartupTracker;2016-12-03 03:26;0;0;"@hyphendotai Hey, we got a tip saying you are working on something cool. Can you tell us more about what you do? https:// startuptracker.io/crowdsourcing/ ?handle=hyphendotai&t=n2 …";;@hyphendotai;;"804965021428150272";https://twitter.com/StartupTracker/status/804965021428150272
BetaList;2016-12-02 10:11;0;0;"@hyphendotai You're featured on BetaList! http:// btl.st/2h2tHld";;@hyphendotai;;"804704433636540416";https://twitter.com/BetaList/status/804704433636540416
botlistco;2016-11-27 12:01;0;2;"Clone your employee into a chatbot with @hyphendotai . http:// buff.ly/2fnSu2k pic.twitter.com/ZASd9xkQ04";;@hyphendotai;;"802920247573512192";https://twitter.com/botlistco/status/802920247573512192
SoukieSpeaks;2016-11-27 01:52;0;2;". @Hyphendotai is a @Flat6labAD #startup that helps businesses with customer engagement using intelligent chatbots #InvestNow pic.twitter.com/DW312dBakV";;@Hyphendotai @Flat6labAD;#startup #InvestNow;"802766916658012160";https://twitter.com/SoukieSpeaks/status/802766916658012160
Flat6LabsAD;2016-11-20 07:57;4;4;"Meet @hyphendotai at our third Demo Day November 23rd! #F6LADDemoDay pic.twitter.com/ZvUNGaBAho";;@hyphendotai;#F6LADDemoDay;"800322051408097281";https://twitter.com/Flat6LabsAD/status/800322051408097281
