username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MeghanMargaret;2018-12-21 09:07;0;3;"Happy holidays from the @igeniusai team! https:// dribbble.com/shots/5727678- Happy-Holidays … pic.twitter.com/M7jucgtSae";;@igeniusai;;"1076117027851563008";https://twitter.com/MeghanMargaret/status/1076117027851563008
igeniusai;2018-12-20 06:48;3;3;"Hi, I'm crystal! There is an important message for you: #happyholidays pic.twitter.com/OuaIvlCoEy";;;#happyholidays;"1075719667900125184";https://twitter.com/igeniusai/status/1075719667900125184
MeghanMargaret;2018-12-17 05:35;0;0;"Creating enterprise value from Conversational Platforms https:// link.medium.com/lZJ6IOTDIS @igeniusai";;@igeniusai;;"1074614016234962945";https://twitter.com/MeghanMargaret/status/1074614016234962945
igeniusai;2018-12-17 04:00;2;0;"Don't be shy, start talking with your #data and make real analytics-driven decisions http:// bit.ly/2UENck9 pic.twitter.com/ku1I5ISV4f";;;#data;"1074590248523522048";https://twitter.com/igeniusai/status/1074590248523522048
igeniusai;2018-12-13 09:01;1;2;"Teo is our #MachineLearning super star. Distinguishing marks? He has a collection of over 60 cool sneakers. #iGeniusPeople #careers http:// bit.ly/2UraSsh pic.twitter.com/ppfQNRjhD3";;;#MachineLearning #iGeniusPeople #careers;"1073216316151074817";https://twitter.com/igeniusai/status/1073216316151074817
igeniusai;2018-12-10 05:21;1;1;"Did you miss our presentation at Uni Padova? Don't panic, check it out: http:// ow.ly/FR0K30mVloq #career roadshow next stop: #HackerX Dec, 18 Milan pic.twitter.com/xszAYTJQWu";;;#career #HackerX;"1072073860890198017";https://twitter.com/igeniusai/status/1072073860890198017
igeniusai;2018-11-30 06:05;2;1;"iGenius career roadshow, we seek out the best talents! Next stop Dec 5, 2018 : University of Padova. Don't miss it! http:// ow.ly/xZZr30mOkQP pic.twitter.com/7GQN01bcLM";;;;"1068461106627256320";https://twitter.com/igeniusai/status/1068461106627256320
igeniusai;2018-11-21 10:15;0;0;"How can you scale an AI solution on a worldwide level? Our CEO @uljansharka shared some insights during #LetsTalkAI , the digital conference hosted by @googlecloud . https:// youtu.be/fCElybyqYq4?t= 77 …";;@uljansharka @googlecloud;#LetsTalkAI;"1065262467692064768";https://twitter.com/igeniusai/status/1065262467692064768
alex_casalboni;2018-11-20 14:09;1;5;"Matteo Avellina di @igeniusai ci parla di AWS Step Functions e Telegram chatbots #AWSUserGroup @Milan pic.twitter.com/WjaSj5U1wE";;@igeniusai @Milan;#AWSUserGroup;"1064958982643691520";https://twitter.com/alex_casalboni/status/1064958982643691520
matteo_zuccon;2018-11-20 14:07;0;6;"Sviluppo di un bot Telegram con AWS Step Functions /cc @igeniusai @awscloud #serverlessmeetup #awsmeetup #awsug pic.twitter.com/UOiOQuS1gC – bei Amazon Italia";;@igeniusai @awscloud;#serverlessmeetup #awsmeetup #awsug;"1064958435895230464";https://twitter.com/matteo_zuccon/status/1064958435895230464
igeniusai;2018-11-19 12:23;0;3;"Lorenzo is our #MachineLearning perfectionist. His knowledge ranges from robots to healthy diets of Wasa crackers and low-fat cheese. #iGeniusPeople pic.twitter.com/vyTtS2aWZH";;;#MachineLearning #iGeniusPeople;"1064569788691812353";https://twitter.com/igeniusai/status/1064569788691812353
igeniusai;2018-11-16 08:59;0;0;"At iGenius we share ideas, listen to each other and play all for the team. We put humanity in our work to make technology human. Want to be part of it? https:// igenius.ai/careers https:// youtu.be/31Z9YAsBzhA";;;;"1063431417407913984";https://twitter.com/igeniusai/status/1063431417407913984
MeghanMargaret;2018-11-13 02:56;0;2;"Calling all designers. We are hiring for the @iGeniusAI Milan office. Reach out or spread the word. https:// dribbble.com/shots/5536573- Senior-Designer … pic.twitter.com/kL04AG2V7z";;@iGeniusAI;;"1062252777194352641";https://twitter.com/MeghanMargaret/status/1062252777194352641
way2global;2018-11-07 11:08;0;0;"Se pensiamo di usare l’ #AI a scopo cognitivo, non è la tecnologia che non funziona: siamo noi che stiamo sbagliando a capire il suo scopo. @uljansharka @iGeniusAI #SalonePagamenti2018 ▻ Prova subito la qualità della nostra #traduttricescrupolosa su http:// traduttricescrupolosa.way2global.com/SdP2018";;@uljansharka @iGeniusAI;#AI #SalonePagamenti2018 #traduttricescrupolosa;"1060202405961388032";https://twitter.com/way2global/status/1060202405961388032
igeniusai;2018-11-07 10:17;0;1;"We're back at @WebSummit ! It's great to see how people are interested in our way of making technology human. - #websummit18 #AI #Innovation pic.twitter.com/KRVhzV8NLJ";;@WebSummit;#websummit18 #AI #Innovation;"1060189443288715265";https://twitter.com/igeniusai/status/1060189443288715265
Triwu;2018-10-20 07:32;0;0;"@iGeniusAI 23/10 h16 – #OpenInnovation , la visione collaborativa che promuove l’innovazione http://www. triwu.it/smau-milano-20 18/ … #smau #milano2018";;@iGeniusAI;#OpenInnovation #smau #milano2018;"1053609783675289600";https://twitter.com/Triwu/status/1053609783675289600
gbcis;2018-10-19 03:20;1;6;"In @iGeniusAI we do what we love, from many different places in many different ways! #work #love #passion #team #startup #AI #devops #happyteams pic.twitter.com/gdtFOwg9gb";;@iGeniusAI;#work #love #passion #team #startup #AI #devops #happyteams;"1053184214592565248";https://twitter.com/gbcis/status/1053184214592565248
igeniusai;2018-10-17 06:56;2;2;"Can you make art out of AI? These applications of Artificial Intelligence will let you see this technology in a completely new light. http:// bit.ly/Google-combine -Art-and-AI … - #AI #Art #Google";;;#AI #Art #Google;"1052513737096261633";https://twitter.com/igeniusai/status/1052513737096261633
Econocom_IT;2018-10-16 06:15;2;2;"Si stanno sempre più diffondendo in Italia e nel mondo le #startup dell’Intelligenza Artificiale. Tra queste ce n’è una, tutta italiana, che ha sviluppato un #AIadvisor per la #BusinessIntelligence : si chiama @iGeniusAI . Te ne parliamo sul nostro blog. http:// ow.ly/v6o230mfxeE pic.twitter.com/mE89Slozei";;@iGeniusAI;#startup #AIadvisor #BusinessIntelligence;"1052140886711250944";https://twitter.com/Econocom_IT/status/1052140886711250944
gbcis;2018-10-16 03:52;0;3;"Talking about how in @iGeniusAI we overcome "cloud vendor lock-in" during the second day of the national Devops conference. See you there!! #cloud #technology #devops #igeniusAI #deployeverywhere pic.twitter.com/fEpRvxl1T3";;@iGeniusAI;#cloud #technology #devops #igeniusAI #deployeverywhere;"1052105078759395329";https://twitter.com/gbcis/status/1052105078759395329
igeniusai;2018-10-12 11:53;2;0;"@EnelGroup , the leading Italian energy service company, has chosen crystal to manage some of its plants and gather real-time data about their performances. Smau Milano tells our success story! http:// bit.ly/2CIWbuM #energy #innovation #AI";;@EnelGroup;#energy #innovation #AI;"1050776451476320256";https://twitter.com/igeniusai/status/1050776451476320256
smaunotes;2018-10-11 10:30;1;0;"A #Smau @iGeniusAI parlerà di #IntelligenzaArtificiale : come cambia i nostro rapporto con i #dati http:// ow.ly/mKi030m9U7t";;@iGeniusAI;#Smau #IntelligenzaArtificiale #dati;"1050393263016996865";https://twitter.com/smaunotes/status/1050393263016996865
OlivierBeorchia;2018-10-10 07:54;0;0;"“The Tofu method: A flexible design system to improve product delivery” by @iGeniusAI https:// medium.com/ideas-at-igeni us/the-tofu-method-a-flexible-design-system-to-improve-product-delivery-ae89e4193ed …";;@iGeniusAI;;"1049991513248333824";https://twitter.com/OlivierBeorchia/status/1049991513248333824
maruejouls;2018-10-10 05:29;0;0;"“The Tofu method: A flexible design system to improve product delivery” by @iGeniusAI https:// medium.com/ideas-at-igeni us/the-tofu-method-a-flexible-design-system-to-improve-product-delivery-ae89e4193ed …";;@iGeniusAI;;"1049955109751451648";https://twitter.com/maruejouls/status/1049955109751451648
SpyreStudios;2018-10-09 21:16;0;0;"“The Tofu method: A flexible design system to improve product delivery” by @iGeniusAI https:// buff.ly/2zZ1HqG pic.twitter.com/DWrR782NC8";;@iGeniusAI;;"1049830885867094017";https://twitter.com/SpyreStudios/status/1049830885867094017
Enotnys;2018-10-09 16:30;0;1;"“The Tofu method: A flexible design system to improve product delivery” @iGeniusAI https:// medium.com/ideas-at-igeni us/the-tofu-method-a-flexible-design-system-to-improve-product-delivery-ae89e4193ed …";;@iGeniusAI;;"1049759108130398208";https://twitter.com/Enotnys/status/1049759108130398208
