username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Immense_AI;2018-12-20 07:56;0;1;"Merry Christmas and a Happy New Year from the whole Immense team. #SeasonsGreetings #HappyHolidays #MerryChristmas #HappyNewYear pic.twitter.com/6QST49N7rQ";;;#SeasonsGreetings #HappyHolidays #MerryChristmas #HappyNewYear;"1075736786855477250";https://twitter.com/Immense_AI/status/1075736786855477250
Immense_AI;2018-12-18 10:42;1;1;"Immense have got a busy January planned! As well as @CES we will also be at the TRB ( @NASEMTRB ) annual meeting in Washington from the 13th-17th January. Meet us there! #TRBAM #Washington #Events #MeetImmense pic.twitter.com/dM8OEkjkxY";;@CES @NASEMTRB;#TRBAM #Washington #Events #MeetImmense;"1075053675989663744";https://twitter.com/Immense_AI/status/1075053675989663744
Immense_AI;2018-12-18 04:37;0;1;"Immense are going to @CES in Las Vegas in January, are you? The team will be available from the 8-11th January, arrange a time to meet us at CES and find out more about Immense! #MeetImmense #CES2019 pic.twitter.com/UAhRbwINPm";;@CES;#MeetImmense #CES2019;"1074961728461570050";https://twitter.com/Immense_AI/status/1074961728461570050
HotspotShield;2018-12-17 08:12;0;0;"It's so important to protect your privacy when you're on a public Internet connection, no matter if you're an attendee or a vendor. Let us help you do it safely. Here are some safety tips for travelers: http:// bit.ly/2STnyGy #CES2019 ^CR";;;#CES2019;"1074653671043067904";https://twitter.com/HotspotShield/status/1074653671043067904
Immense_AI;2018-12-17 08:02;0;0;"Lyft drives patent talk on self-driving safety via messages for pedestrians, cyclists. Could projected safety warnings help prevent pedestiran - CAV accidents? #CAV #DriverlessCars #FutureofMobility #Safety https:// techxplore.com/news/2018-12-l yft-patent-self-driving-safety-messages.html … pic.twitter.com/mEhU8UhYgb";;;#CAV #DriverlessCars #FutureofMobility #Safety;"1074650978891247617";https://twitter.com/Immense_AI/status/1074650978891247617
Immense_AI;2018-12-11 07:59;2;3;"Take a look at this months 'Meet The Team Blog' where our Head of Commercial Development, Luke Rust talks rugby, MaaS and the future of Autonomous Vehicles! https://www. immense.ai/news-luke-blog .html … #Mobility #Blog #MaaS #AutonomousVehicles #LunchtimeReading pic.twitter.com/43MItIocwC";;;#Mobility #Blog #MaaS #AutonomousVehicles #LunchtimeReading;"1072475948661030917";https://twitter.com/Immense_AI/status/1072475948661030917
Immense_AI;2018-12-06 10:38;0;1;"Head of Infrastructure Jof Ruxton presenting Immense’s simulation platform at the China-UK Tech Match event today. With over 13 UK companies and over 30 representatives from China it has been a brilliant way to connect with the global technology community. pic.twitter.com/qqK8WkMOsL";;;;"1070704124247883776";https://twitter.com/Immense_AI/status/1070704124247883776
MeridianMob;2018-12-06 09:55;0;1;"Great news from @Immense_AI working on the global #futureofmobility #CAV https:// twitter.com/Immense_AI/sta tus/1069961692988219392 …";;@Immense_AI;#futureofmobility #CAV;"1070693149138452480";https://twitter.com/MeridianMob/status/1070693149138452480
Immense_AI;2018-12-05 09:08;2;2;"A big step for #AutonomousVehicles today as @Waymo release Waymo One - the fully self driving service. #DriverlessCars #AI #CAV #FutureofMobility https://www. youtube.com/watch?v=Eq89YG bERzs&feature=youtu.be …";;@Waymo;#AutonomousVehicles #DriverlessCars #AI #CAV #FutureofMobility;"1070319028420468742";https://twitter.com/Immense_AI/status/1070319028420468742
BakerLJ;2018-12-05 03:57;0;1;"Hello Tiffany, may I invite you to @ThinkRiseLDN for a coffee and to establish @seldon_io on your radar? https://www. youtube.com/watch?v=pDlapG tecbY&t=24s …";;@ThinkRiseLDN @seldon_io;;"1070240667841019904";https://twitter.com/BakerLJ/status/1070240667841019904
Immense_AI;2018-12-04 09:28;2;3;"Immense have some fantastic news to share: we have officially incorporated in the USA. #ImmenseUSA #Futureofmobility Find out more here: https://www. immense.ai/news-usa.html pic.twitter.com/IB5WgHoTKV";;;#ImmenseUSA #Futureofmobility;"1069961692988219392";https://twitter.com/Immense_AI/status/1069961692988219392
CBioAugSystems;2018-12-04 06:23;0;1;"Hi @tiffanyyoung01 - we're now called BIOS at @BIOShealth - is it possible to change in the article and link to our new website https://www. bios.health / ?";;@tiffanyyoung01 @BIOShealth;;"1069914973814558720";https://twitter.com/CBioAugSystems/status/1069914973814558720
UKPriyaGuha;2018-12-04 06:16;8;11;"It’s @RocketSpace #mobility #tech collaborative demo day today, kicking off with great scenesetter by @BP_plc . Now hearing from the #startups @FreeWireTech @FleetonomyIO @Immense_AI @Parkofon @sparkevtech . More info on the programme @https://www. rocketspace.com/accelerators/m obility-tech-innovation-collaborative … pic.twitter.com/kP9QYS1MQG – bei RocketSpace";;@RocketSpace @BP_plc @FreeWireTech @FleetonomyIO @Immense_AI @Parkofon @sparkevtech @https;#mobility #tech #startups;"1069913325490843648";https://twitter.com/UKPriyaGuha/status/1069913325490843648
Immense_AI;2018-12-03 09:17;0;0;"Find out what Immense are up to in December in our latest newsletter. We have some big announcements and new team members joining us. You can read the full newsletter here: http:// bit.ly/ImmenseDecember #mobility #transportation #December #ImmenseUSA pic.twitter.com/2n0VB750UP";;;#mobility #transportation #December #ImmenseUSA;"1069596543743918084";https://twitter.com/Immense_AI/status/1069596543743918084
hazy_ai;2018-12-03 07:20;0;1;"Thanks @NicholasKatz !";;@NicholasKatz;;"1069567038090371073";https://twitter.com/hazy_ai/status/1069567038090371073
NicholasKatz;2018-12-01 11:53;0;5;"Congrats guys that’s amazing!!";;;;"1068910852315774976";https://twitter.com/NicholasKatz/status/1068910852315774976
tradewithauquan;2018-11-30 14:11;0;1;"Thank you @tiffanyyoung01 !";;@tiffanyyoung01;;"1068583254830325763";https://twitter.com/tradewithauquan/status/1068583254830325763
Immense_AI;2018-11-29 13:05;1;1;"Immense are at the 3rd annual Local Transport Summit this evening. Llewelyn Morgan discussing the innovative tools being used for the @EconomicHeart region, including Immense's platform. #LocalTransportSummit2018 pic.twitter.com/KJUWNBvcCr";;@EconomicHeart;#LocalTransportSummit2018;"1068204228030734336";https://twitter.com/Immense_AI/status/1068204228030734336
MartinTugwell;2018-11-29 11:58;1;1;"When dealing with the challenge of transformational growth we need new tools - really pleased to see the profile of our work with @Immense_AI continuing to spread @EconomicHeart @mhclg @transportgovuk https:// twitter.com/Immense_AI/sta tus/1068155095068672005 …";;@Immense_AI @EconomicHeart @mhclg @transportgovuk;;"1068187447887110144";https://twitter.com/MartinTugwell/status/1068187447887110144
Immense_AI;2018-11-29 09:49;5;4;"Great morning at @tsc where our Co-Founder and Chief-Engineer Carl Goves was demonstrating our @EconomicHeart prototype policy tool to Melanie Dawes ( @mhclg ) , Permanent Secretary for Ministry of Housing, Communities and Local Government #mobility #simulation #policytool pic.twitter.com/0Yz5o4F9UJ";;@tsc @EconomicHeart @mhclg;#mobility #simulation #policytool;"1068155095068672005";https://twitter.com/Immense_AI/status/1068155095068672005
Clusters20_EU;2018-11-29 07:20;0;1;". @Immense_AI Thanks for following us!";;@Immense_AI;;"1068117552621109249";https://twitter.com/Clusters20_EU/status/1068117552621109249
