username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Digital_Magics;2018-04-13 10:53;11;10;"Altri relatori del #GIOIN AI e AR @fabiosferruzzi @iStarterItaly e le #startup @LoopAILabs @ndg_ai @Pikkart_AR @HeadApp @startsmartsrl @CristianoMaci @g_maruzzella @emurciano https://www. youtube.com/playlist?list= PLkNPWIH5nPUsaFuLEYnYpWqhNquUfQzEE … @intesasanpaolo @DeloitteItalia @CiscoItalia @FASTWEB @OracleItalia @SisalPay pic.twitter.com/KRwfhqiG9k";;@fabiosferruzzi @iStarterItaly @LoopAILabs @ndg_ai @Pikkart_AR @HeadApp @startsmartsrl @CristianoMaci @g_maruzzella @emurciano @intesasanpaolo @DeloitteItalia @CiscoItalia @FASTWEB @OracleItalia @SisalPay;#GIOIN #startup;"984806723830669312";https://twitter.com/Digital_Magics/status/984806723830669312
micpapaleo;2018-04-06 10:05;0;1;"Grazie Franz :)";;;;"982257967897571330";https://twitter.com/micpapaleo/status/982257967897571330
franzrusso;2018-04-06 09:55;3;4;"A #OfficinaMPS il digital marketing manager di @ndg_ai , @micpapaleo , spiega meglio il funzionamento della piattaforma che sfrutta la #chatbot per creare un nuova comunicazione tra azienda e cliente #innovazione #socialmedia pic.twitter.com/xyD7ch3cXG";;@ndg_ai @micpapaleo;#OfficinaMPS #chatbot #innovazione #socialmedia;"982255568210374656";https://twitter.com/franzrusso/status/982255568210374656
franzrusso;2018-04-06 03:54;6;7;"Interessante a #OfficinaMPS anche la soluzione che offre @ndg_ai #startup che si occupa di #chatbot che sfrutta l' #IntelligenzaArtificiale per risolvere problemi di comunicazione tra aziende e clienti https://twitter.com/franzrusso/status/982163729453166592/photo/1 pic.twitter.com/39wLwy7CWi pic.twitter.com/1DOG7jy81D";;@ndg_ai;#OfficinaMPS #startup #chatbot #IntelligenzaArtificiale;"982164511351160832";https://twitter.com/franzrusso/status/982164511351160832
Digital_Magics;2018-03-22 09:42;6;8;"Le startup di #GIOIN Intelligenza Artificiale e Realtà Aumentata: @startsmartsrl @HeadApp @Pikkart_AR @ndg_ai Namu @LoopAILabs Your Matilde 26/03 a Torino http://www. digitalmagics.com/blog/2018/03/2 1/i-nuovi-incontri-gioin-del-2018-iniziano-il-26-marzo-a-torino-con-intelligenza-artificiale-e-realta-aumentata/ … @intesasanpaolo @DeloitteItalia @CiscoItalia @FASTWEB @OracleItalia @SisalPay @Gruppo24ore #AI #AR pic.twitter.com/TdvvI1Y3Zm";;@startsmartsrl @HeadApp @Pikkart_AR @ndg_ai @LoopAILabs @intesasanpaolo @DeloitteItalia @CiscoItalia @FASTWEB @OracleItalia @SisalPay @Gruppo24ore;#GIOIN #AI #AR;"976816374684291072";https://twitter.com/Digital_Magics/status/976816374684291072
BHeroes_Italia;2018-03-09 17:44;0;2;"A presentarsi al pool di selezionatori è @Ndg_ai , ma questa volta non sarà il loro chatbot a parlare! #BHeroes pic.twitter.com/cD2UVONNb8";;@Ndg_ai;#BHeroes;"972241675690135553";https://twitter.com/BHeroes_Italia/status/972241675690135553
G4A_Italy;2018-02-12 12:16;11;9;"le novità in serbo per il 2018: @ranci1 racconta #g4aItaly e i nostri obiettivi: #contaminazione , valore per il #business e collaborazioni con #startup come @ndg_ai @pharmaprime @Collabobeat @drcare4 @getStayActive @DEYE2015 pic.twitter.com/Dj5mGTwTr0";;@ranci1 @ndg_ai @pharmaprime @Collabobeat @drcare4 @getStayActive @DEYE2015;#g4aItaly #contaminazione #business #startup;"963099491271368704";https://twitter.com/G4A_Italy/status/963099491271368704
G4A_Italy;2018-02-10 05:28;8;11;"#sabato :oggi relax ma lunedì tutti in @BayerItalia a scoprire i successi dell’ #incubatore #G4A ! Con: @drcare4 @Collabobeat @getStayActive @ndg_ai @DEYE2015 @pharmaprime #demoday #g4aitaly #startup https://www. meetup.com/it-IT/STEM-4-H ealth-AgTech-Milano/events/247349353/ … pic.twitter.com/bbxjvvNrGm";;@BayerItalia @drcare4 @Collabobeat @getStayActive @ndg_ai @DEYE2015 @pharmaprime;#sabato #incubatore #G4A #demoday #g4aitaly #startup;"962272090995994624";https://twitter.com/G4A_Italy/status/962272090995994624
BDaigo;2018-01-17 16:50;5;4;"RT @EconomyUp " #CES2018 @ndg_ai racconta la prima volta delle #startup italiane a Las Vegas @CES pic.twitter.com/Y355H3vsXm " http:// ow.ly/W61A30hPQT1";;@EconomyUp @ndg_ai @CES;#CES2018 #startup;"953746269536768001";https://twitter.com/BDaigo/status/953746269536768001
BZAwards;2018-01-17 13:21;0;0;"Hey @ndg_ai have you signed up for the #BZAwards yet? You're looking like a good candidate! Apply & we hope to see you in #NYC this May! https:// benzingafintechawards.com/enter-competit ion/ …";;@ndg_ai;#BZAwards #NYC;"953693741742723074";https://twitter.com/BZAwards/status/953693741742723074
