username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
vivid_JAM;2018-12-17 16:14;0;1;"@InkHunterApp is pretty darn cool, I just tatted my neck up without actually getting tatted lol";;@InkHunterApp;;"1074774809811316736";https://twitter.com/vivid_JAM/status/1074774809811316736
NinelCh;2018-12-02 14:37;0;1;"@InkHunterApp , pic.twitter.com/6Hhg9AcWtq";;@InkHunterApp;;"1069314585281228806";https://twitter.com/NinelCh/status/1069314585281228806
pakugokun;2018-11-28 19:36;0;1;"tattooARなかなかクオリティ高い。 いろんな作品あるし、こういうの人気なんだってのがいいね数でわかって面白い。 @InkHunterApp pic.twitter.com/G7GwzpsDtj";;@InkHunterApp;;"1067940263253819394";https://twitter.com/pakugokun/status/1067940263253819394
makotofalcon;2018-11-28 10:51;0;0;"似たようなのでeyejackappってのあるから見てみて";;;;"1067808276706877440";https://twitter.com/makotofalcon/status/1067808276706877440
platoronical;2018-11-28 09:47;0;0;"いい！";;;;"1067792122214965248";https://twitter.com/platoronical/status/1067792122214965248
Iamasyou1;2018-11-08 13:35;0;0;"@InkHunterApp";;@InkHunterApp;;"1060601699969187840";https://twitter.com/Iamasyou1/status/1060601699969187840
InkHunterApp;2018-10-31 18:54;0;1;"#HalloweenPic #boo pic.twitter.com/5yQBxgIOz0";;;#HalloweenPic #boo;"1057767891846623232";https://twitter.com/InkHunterApp/status/1057767891846623232
notGareth;2018-10-27 21:24;0;1;"Imma draw a smiley on my face and freak a few people out.";;;;"1056356097475268613";https://twitter.com/notGareth/status/1056356097475268613
iambenslater;2018-10-27 21:23;0;1;"Oh, a quick tip - I used my wife’s black make-up pencil to draw the marker (with her permission!) - works a treat and cleans off easier than pen/marker.";;;;"1056355812619087873";https://twitter.com/iambenslater/status/1056355812619087873
notGareth;2018-10-27 21:21;0;1;"I’ve been playing around with a few ideas for a while, but wondering how I’ll incorporate my next one with existing ones. And now I know!";;;;"1056355144252542976";https://twitter.com/notGareth/status/1056355144252542976
iambenslater;2018-10-27 21:18;0;0;"Yeah dude. It makes planning a tatt soooooo much easier. It’s not about giving a design to a tattooist but it really helps to start the conversation.";;;;"1056354589375492096";https://twitter.com/iambenslater/status/1056354589375492096
notGareth;2018-10-27 21:12;0;2;"That app is the best thing I’ve seen this year!";;;;"1056352974274875392";https://twitter.com/notGareth/status/1056352974274875392
iambenslater;2018-10-27 18:31;0;1;"Using AR to work out what #jimihendrix tattoo to get next thanks to @InkHunterApp #inkhunter pic.twitter.com/74vCOPBIF6";;@InkHunterApp;#jimihendrix #inkhunter;"1056312428235960320";https://twitter.com/iambenslater/status/1056312428235960320
ligiadoceu;2018-10-11 10:32;0;1;"Ontem fui mt elegante e usei o @InkHunterApp para atender minha cliente";;@InkHunterApp;;"1050393790723366912";https://twitter.com/ligiadoceu/status/1050393790723366912
acmrpj;2018-09-27 06:29;0;0;"désolée";;;;"1045259081852887045";https://twitter.com/acmrpj/status/1045259081852887045
DhrKenza;2018-09-27 05:03;0;0;"T’es con putain";;;;"1045237540754780160";https://twitter.com/DhrKenza/status/1045237540754780160
acmrpj;2018-09-27 03:40;0;0;"";;;;"1045216498158055425";https://twitter.com/acmrpj/status/1045216498158055425
jeune2001;2018-09-27 02:59;0;0;"Ok mddrr jppp je me suis faite avoir ptn non je croyais que tu venais de le faire";;;;"1045206300534222848";https://twitter.com/jeune2001/status/1045206300534222848
acmrpj;2018-09-26 16:02;0;1;"mais t con mdrrrr c un faux";;;;"1045041024106672131";https://twitter.com/acmrpj/status/1045041024106672131
acmrpj;2018-09-26 16:02;0;0;"ah mais tu ne savais pas??";;;;"1045040908432035840";https://twitter.com/acmrpj/status/1045040908432035840
jeune2001;2018-09-26 16:02;0;0;"Sinon il est super beau j'aime trop";;;;"1045040857181753345";https://twitter.com/jeune2001/status/1045040857181753345
jeune2001;2018-09-26 16:02;0;0;"Il manque plus que le "vidéo ce soir sur ma chaîne"";;;;"1045040824634028032";https://twitter.com/jeune2001/status/1045040824634028032
acmrpj;2018-09-26 14:59;0;1;"j’ai bcp trop ri";;;;"1045025029489139714";https://twitter.com/acmrpj/status/1045025029489139714
jeune2001;2018-09-26 14:54;0;0;"Cmt tu fais la star";;;;"1045023913703616513";https://twitter.com/jeune2001/status/1045023913703616513
acmrpj;2018-09-26 14:03;0;4;"merci pour vos retours, en tout cas je vous conseille tous l’appli @InkHunterApp , elle est top!! je vous aime, bizes https:// twitter.com/acmrpj/status/ 1044656277329268736 …";;@InkHunterApp;;"1045011031972614144";https://twitter.com/acmrpj/status/1045011031972614144
crouz_thomas;2018-09-25 05:23;0;1;"@bastein tu a déjà essayer l'application @InkHunterApp ? Et si oui, est ce qu'il en existe des meilleurs dans le même genre ? (C'est une application de projection en réalité virtuel de tatouage)";;@bastein @InkHunterApp;;"1044517787258028033";https://twitter.com/crouz_thomas/status/1044517787258028033
