username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
InnovizOne;2018-12-28 14:30;1;1;"When coupled with our perception software, InnovizOne enables superior object detection, classification & tracking with unrivaled angular resolution at a high frame rate. Connect with our team at @CES to get the full download: http:// bit.ly/2QhVgIk";;@CES;;"1078734831700328448";https://twitter.com/InnovizOne/status/1078734831700328448
InnovizOne;2018-12-27 16:00;1;0;"Our InnovizOne automotive-grade #LiDAR provides outstanding #3D perception for mass-production of Level 3-Level 5 #autonomousvehicles . Learn more at @CES at the Westgate (Tech East) in booth 1415. Schedule your meetings NOW: http:// bit.ly/2QhVgIk";;@CES;#LiDAR #3D #autonomousvehicles;"1078395093764067328";https://twitter.com/InnovizOne/status/1078395093764067328
OurCrowd;2018-12-26 13:51;2;6;"Watch how these technologies made an #impact in 2018 - featuring @jump_rides , @InnovizOne , @ZebraMedVision , @AiroboticsUAV , UPnRIDE, @Edgybees & @AlphaTauMedical . Experience these companies this March 7th at #OCSummit19 in Jerusalem! Sign up here: https:// summit.ourcrowd.com / pic.twitter.com/z4DARqNGll";;@jump_rides @InnovizOne @ZebraMedVision @AiroboticsUAV @Edgybees @AlphaTauMedical;#impact #OCSummit19;"1078000461242908672";https://twitter.com/OurCrowd/status/1078000461242908672
2025AD;2018-12-26 10:33;2;5;"Women are still under-represented in the #AutomotiveIndustry . Yet two women help shaping the #DriverlessCar revolution at Israeli start-up @InnovizOne . Read the full story here: https://www. 2025ad.com/latest/innoviz -israel-women-army-driverless-cars/ … pic.twitter.com/H6Kbdvdx5u";;@InnovizOne;#AutomotiveIndustry #DriverlessCar;"1077950422890045440";https://twitter.com/2025AD/status/1077950422890045440
InnovizOne;2018-12-25 13:37;1;2;"From the Innoviz team, we would like to wish you all Happy Holidays! We look forward to celebrating 2019 with you pic.twitter.com/1ZNfoaBEaG";;;;"1077634572773478400";https://twitter.com/InnovizOne/status/1077634572773478400
NoCamels;2018-12-25 07:00;0;1;"@InnovizOne Technologies, a leading #Israel -based provider of solid-state #LiDAR sensors and perception #software , announced the launch of new offices across the world and the launch of a new headquarters in #RoshHaayin http:// nocamels.com/2018/12/innovi z-expands-globally-new-hq/ …";;@InnovizOne;#Israel #LiDAR #software #RoshHaayin;"1077534526795116544";https://twitter.com/NoCamels/status/1077534526795116544
NoCamels;2018-12-25 04:01;0;0;"@InnovizOne , a leading #Israel -based provider of solid-state #LiDAR #sensors and #perceptionsoftware , is launching new offices in US, China, Japan, and Germany, and a new headquarters in #RoshHaayin . http:// nocamels.com/2018/12/innovi z-expands-globally-new-hq/ …";;@InnovizOne;#Israel #LiDAR #sensors #perceptionsoftware #RoshHaayin;"1077489432691916800";https://twitter.com/NoCamels/status/1077489432691916800
PorazDan;2018-12-24 09:49;0;0;"Car sensor company @InnovizOne expands globally after financing round of $73 million. A few people (and one dog) in #Israel are going to have an especially Merry Christmas . https:// en.globes.co.il/en/article-inn oviz-expands-worldwide-1001265554 …";;@InnovizOne;#Israel;"1077214628717965314";https://twitter.com/PorazDan/status/1077214628717965314
jonmedved;2018-12-24 07:01;1;4;"Great news for @InnovizOne ! https:// twitter.com/OurCrowd/statu s/1076884640156274688 …";;@InnovizOne;;"1077172381423206401";https://twitter.com/jonmedved/status/1077172381423206401
EquityBee;2018-12-24 04:55;3;9;"הבוקר אנחנו מפרסמים לראשונה את דירוג הסטארט-אפים עם אופציות העובדים המבוקשות ביותר על ידי משקיעים. בואו לבדוק אם גם הסטארט-אפ שאתם עובדים בו ברשימה... @WalkMeInc @jfrog @Zerto @fiverr @InnovizOne @ridewithvia @mondaydotcom @CatoNetworks @Gong_io @houzz https:// bit.ly/2VeVNKO";;@WalkMeInc @jfrog @Zerto @fiverr @InnovizOne @ridewithvia @mondaydotcom @CatoNetworks @Gong_io @houzz;;"1077140724418719745";https://twitter.com/EquityBee/status/1077140724418719745
