username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MartinA97668614;2018-11-30 16:09;0;0;"@goinstantgo cosmicmoonchildtarot1111";;@goinstantgo;;"1068612948770217984";https://twitter.com/MartinA97668614/status/1068612948770217984
TwinFlameRx;2018-11-22 09:13;1;2;"Should be online from now until noon EST (USA)...so if you need a reading from me on @goinstantgo , bitwine, or kasamba, I'll be available til then. Will be back tomorrow around the same times (s).";;@goinstantgo;;"1065609299517497344";https://twitter.com/TwinFlameRx/status/1065609299517497344
goinstantgo;2018-11-15 19:54;0;0;"You can instantly train your Instantgo bot to have specific answers to messages you receive on your chats! http:// ow.ly/Dh2630mDxny";;;;"1063233924812472320";https://twitter.com/goinstantgo/status/1063233924812472320
RJMarmol;2018-10-30 23:57;0;1;"Hi everyone! I'm now on the @goinstantgo app! Ask me a tarot question for only $11 through text and I will give you an answer same day! Just download the Instantgo app and add me "RJMarmol" http:// instantgo.com/rjmarmol No more waiting for days for a reading. Get instant answers! pic.twitter.com/Oqwy5oTF1C";;@goinstantgo;;"1057481641491357696";https://twitter.com/RJMarmol/status/1057481641491357696
goinstantgo;2018-10-26 12:15;0;0;"Save time with recommended answers http:// ow.ly/B1kI30mnyne";;;;"1055855370302881793";https://twitter.com/goinstantgo/status/1055855370302881793
goinstantgo;2018-10-13 12:57;1;2;"Live forever with Instantgo https:// blog.instantgo.com/live-forever-w ith-instantgo-210780450d4c …";;;;"1051155057159360517";https://twitter.com/goinstantgo/status/1051155057159360517
goinstantgo;2018-10-11 20:39;0;0;"Get started today with your new personal assistant in the latest version of the Instantgo app! http:// ow.ly/bjP430mcuiY";;;;"1050546490723233793";https://twitter.com/goinstantgo/status/1050546490723233793
goinstantgo;2018-09-18 12:05;0;1;"Price indication on your personal profile http:// ow.ly/ro4H30lRo2j";;;;"1042082111535099906";https://twitter.com/goinstantgo/status/1042082111535099906
goinstantgo;2018-09-14 18:35;0;0;"Releasing Instantgo to the entire world http:// ow.ly/FcfR30lOuoh";;;;"1040730679301038080";https://twitter.com/goinstantgo/status/1040730679301038080
goddesspower111;2018-09-13 17:08;0;1;"#liveevents coming in #october ! #psychicchannel #youtube #moonpietarot @goinstantgo pic.twitter.com/mLVBcdOjir";;@goinstantgo;#liveevents #october #psychicchannel #youtube #moonpietarot;"1040346592677699584";https://twitter.com/goddesspower111/status/1040346592677699584
MadestThouLook;2018-09-06 20:32;0;1;"Another good source https:// sabiansymbols.com/oracle/";;;;"1037861018356117505";https://twitter.com/MadestThouLook/status/1037861018356117505
MadestThouLook;2018-09-06 18:46;0;1;"A favorite of mine-especially interpretations by Avia https://www. newagestore.com";;;;"1037834533545148416";https://twitter.com/MadestThouLook/status/1037834533545148416
comingouttarot;2018-09-06 17:46;2;6;"There’s also #tarot readers on @PeriscopeCo that often read for free or for donations. Sometimes @streamLiveme and @goinstantgo as well. https:// twitter.com/thetarotlady/s tatus/1035602143389118465 …";;@PeriscopeCo @streamLiveme @goinstantgo;#tarot;"1037819321756594176";https://twitter.com/comingouttarot/status/1037819321756594176
goinstantgo;2018-09-04 17:58;0;0;"If you're going to Techcrunch Disrupt this week in SF, make sure to come see us. We will be happy to meet! https:// techcrunch.com/events/disrupt -sf-2018/ …";;;;"1037097542025142277";https://twitter.com/goinstantgo/status/1037097542025142277
TwinFlameGirl;2018-08-24 06:15;0;2;"Yay! I’ve just received another 5/5 rating from a new client on @goinstantgo just now! #grateful #lovemyjob If you’re looking for a bit of psychic insight, some guidance or a Q&A, find & follow me at: https://www. instantgo.com/twinflamegirl pic.twitter.com/oHpES1QMwA";;@goinstantgo;#grateful #lovemyjob;"1032934378794565632";https://twitter.com/TwinFlameGirl/status/1032934378794565632
goinstantgo;2018-08-15 14:28;0;0;"Take intelligent choices http://www. instantgo.com pic.twitter.com/TQK8NbkITq";;;;"1029796982192263174";https://twitter.com/goinstantgo/status/1029796982192263174
goinstantgo;2018-08-05 05:32;0;1;"We are absolutely thrilled to have @JoshTryhane as part of Instantgo. Watch Josh latest video today https://www. youtube.com/watch?v=YjIwxQ PE9hg … and make sure to contact him for all your questions here https://www. instantgo.com/joshtryhane #dating #expert #love #advice #talk #relationship #knowledge #master";;@JoshTryhane;#dating #expert #love #advice #talk #relationship #knowledge #master;"1026038256692019203";https://twitter.com/goinstantgo/status/1026038256692019203
baran_wiesiaw;2018-07-30 09:09;0;0;"hello";;;;"1023918413410971648";https://twitter.com/baran_wiesiaw/status/1023918413410971648
goinstantgo;2018-07-28 14:28;0;0;"So happy to have Fit Fab Well by Chanel as part of Instantgo. Ask Chanel all your nutritional questions and get the support, empathy and expertise to stay fit and fabulous https://www. instantgo.com/chanelkenner - Visit her site for more information https://www. fitfabwellbychanel.com #nutrition #expert";;;#nutrition #expert;"1023273996396244992";https://twitter.com/goinstantgo/status/1023273996396244992
ChinaRosy;2018-07-27 23:57;1;1;"@goinstantgo Hi !! I've just added an InstantGo widget to KittySol blog so my audience in 122 countries can connect with China Rose directly on InstantGo to email, chat &4 private sessions https:// kittysol.com / Millions of Fortunes Told!!";;@goinstantgo;;"1023054769575718912";https://twitter.com/ChinaRosy/status/1023054769575718912
goinstantgo;2018-07-24 17:12;1;2;"Incredibly delighted to have the comedian @awkwardtv as part of the Instantgo community. Check his latest video today https://www. youtube.com/watch?v=biPoEc lISE4&app=desktop … and make sure to connect for all your questions here https://www. instantgo.com/awkwardafrican #comedian #fun #sketch #video #expert #connect #instantgo";;@awkwardtv;#comedian #fun #sketch #video #expert #connect #instantgo;"1021865652334862337";https://twitter.com/goinstantgo/status/1021865652334862337
AliLevineDesign;2018-07-21 12:08;3;18;"@goinstantgo book me here! Such an amazing app!!";;@goinstantgo;;"1020702101549142016";https://twitter.com/AliLevineDesign/status/1020702101549142016
goddesspower111;2018-07-20 17:37;1;2;"Thank you @goinstantgo ...your app is amaaazzzing";;@goinstantgo;;"1020422556711604226";https://twitter.com/goddesspower111/status/1020422556711604226
goinstantgo;2018-07-20 12:34;1;1;"Thrilled to have the Kath Path on Instantgo, an expert on what is needed to attend top colleges. Check the video today https://www. youtube.com/watch?v=aVvtcU -mYEo&feature=youtu.be … and speak with Kath for all your college admissions questions today https://www. instantgo.com/thekathpath #college #admissions #education #student";;;#college #admissions #education #student;"1020346172886700032";https://twitter.com/goinstantgo/status/1020346172886700032
Als_Tarot;2018-07-19 08:57;0;1;"@goinstantgo , does that mean your app works on Android devices right now and is available?";;@goinstantgo;;"1019929170917363713";https://twitter.com/Als_Tarot/status/1019929170917363713
goinstantgo;2018-07-18 15:16;0;2;"Absolutely! It’s been worked on. Thank you Mitchell";;;;"1019662180696780800";https://twitter.com/goinstantgo/status/1019662180696780800
IntuitiveMe333;2018-07-18 08:51;0;2;"I think @goinstantgo is working hard to make it available soon!!!!";;@goinstantgo;;"1019565248158879744";https://twitter.com/IntuitiveMe333/status/1019565248158879744
goinstantgo;2018-07-14 22:21;0;2;"Thrilled to have @AliLevineDesign on Instantgo. Ali is a celeb fashion stylist, podcaster and TV Personality on @Bravotv . Contact Ali today here for all your fashion and beauty questions http:// instantgo.com/alilevinedesign #stylist #celebrity #stars #fashion #style #bravo #expert #instantgo";;@AliLevineDesign @Bravotv;#stylist #celebrity #stars #fashion #style #bravo #expert #instantgo;"1018319666689789952";https://twitter.com/goinstantgo/status/1018319666689789952
goinstantgo;2018-07-14 21:14;0;2;"Thank you @soulstarbliss for the great video. Watch it here now https://www. youtube.com/watch?v=IRsDPD SC-y8 … and connect with Bonnie today for all your questions https://www. Instantgo.com/soulstarbliss";;@soulstarbliss;;"1018302688843493380";https://twitter.com/goinstantgo/status/1018302688843493380
stannenb;2018-07-14 09:30;0;0;"Cambridge Happenings is out! https:// buff.ly/2L7LTbt #CambMA Stories via @goinstantgo @ftrealty @anugajeeban";;@goinstantgo @ftrealty @anugajeeban;#CambMA;"1018125502333308928";https://twitter.com/stannenb/status/1018125502333308928
CambHappenings;2018-07-14 08:42;0;0;"Cambridge Happenings is out! http:// cambridgehappenings.org/?edition_id=4d 4c2cb0-8763-11e8-9bb7-0cc47a0d15fd … #CambMA Stories via @goinstantgo @ftrealty @anugajeeban";;@goinstantgo @ftrealty @anugajeeban;#CambMA;"1018113396582092800";https://twitter.com/CambHappenings/status/1018113396582092800
goinstantgo;2018-07-13 18:29;1;1;"Great to have @Harvard student Jazz Kaur to help advise on how to draft the perfect college admission letter on Instantgo. Watch her video now https://www. youtube.com/watch?v=0F7Cuc V0Rbg&lc … and contact her today here https://www. instantgo.com/jazzkaur #harvard #college #admission #help #expert #student #apply";;@Harvard;#harvard #college #admission #help #expert #student #apply;"1017898776219017216";https://twitter.com/goinstantgo/status/1017898776219017216
goinstantgo;2018-07-10 22:43;0;0;"Contact us on the chat in the app (go to the help section in settings) and so we can review the account and guide you on how to get verified. We will be happy to do so";;;;"1016875538944704512";https://twitter.com/goinstantgo/status/1016875538944704512
goinstantgo;2018-07-09 12:30;0;2;"New schedule and calendar functionalities now available on Instantgo http:// ow.ly/l5Pj30kQHQW";;;;"1016358921953533953";https://twitter.com/goinstantgo/status/1016358921953533953
goinstantgo;2018-07-09 10:37;0;0;"Delighted to have @cryptocoolertlk as part of the Instantgo community. Ask any questions you have on crypto currencies today to Emmanuel and get personalized answers that fits your own needs here https://www. instantgo.com/crypto-cuz3rd #experts #money #crypto #bitcoin #ethereum #future #ios";;@cryptocoolertlk;#experts #money #crypto #bitcoin #ethereum #future #ios;"1016330465186283520";https://twitter.com/goinstantgo/status/1016330465186283520
goinstantgo;2018-07-08 14:57;0;0;"Thank you! We get a lot of demand for this and we have a list to notify when this will be launched. If you leave us your email on the chat on our website, we will add you to it. Be well";;;;"1016033670979698688";https://twitter.com/goinstantgo/status/1016033670979698688
ram_joshi;2018-07-08 02:05;0;0;"@goinstantgo I liked the product idea. Suggestion - There should be a signup form on your website - for the user to stay connected and receive updates via email. For example, I want to get notified when InstantGo launches Android app.";;@goinstantgo;;"1015839159674724352";https://twitter.com/ram_joshi/status/1015839159674724352
goinstantgo;2018-07-07 18:35;0;0;"New version of the Instantgo app is now available on the app store. Update today here https:// itunes.apple.com/us/app/instant go/id1098194127?mt=8 …";;;;"1015725912250290177";https://twitter.com/goinstantgo/status/1015725912250290177
goinstantgo;2018-07-06 02:13;0;1;"Providing access to people who matter most to others, whatever their expertise is, will change how anyone gets a chance to follow their real path";;;;"1015116416666644480";https://twitter.com/goinstantgo/status/1015116416666644480
goinstantgo;2018-07-06 02:05;0;0;"And it will change significantly more and faster in the coming years";;;;"1015114420794486784";https://twitter.com/goinstantgo/status/1015114420794486784
goinstantgo;2018-07-04 12:01;0;0;"Enjoy this Independence Day with parades, fireworks, music and dance. Have a fun filled 4th of July! http://www. instantgo.com pic.twitter.com/r6QoA3jX06";;;;"1014539623115223040";https://twitter.com/goinstantgo/status/1014539623115223040
goinstantgo;2018-07-02 12:17;0;0;"Work on the go wherever and whenever! https://www. instantgo.com pic.twitter.com/mAR26kJbiQ";;;;"1013818842894790658";https://twitter.com/goinstantgo/status/1013818842894790658
goinstantgo;2018-06-28 13:56;0;0;"Become the real master of your time http://www. instantgo.com pic.twitter.com/nGfE3LlWI5";;;;"1012394379380699136";https://twitter.com/goinstantgo/status/1012394379380699136
goinstantgo;2018-06-27 22:03;1;2;"Very nice from @MoonPieTarot https://www. instantgo.com/moonpietarot https:// twitter.com/moonpietarot/s tatus/1011607324388220929 …";;@MoonPieTarot;;"1012154527267483648";https://twitter.com/goinstantgo/status/1012154527267483648
goinstantgo;2018-06-27 22:02;1;2;"This is such a nice idea";;;;"1012154289957974017";https://twitter.com/goinstantgo/status/1012154289957974017
goinstantgo;2018-06-27 16:24;0;0;"Create visibility and share what you know today with others http://www. instantgo.com pic.twitter.com/7uS0BQ91k8";;;;"1012069228986490888";https://twitter.com/goinstantgo/status/1012069228986490888
goinstantgo;2018-06-26 13:30;0;1;"Get the emotional tools you need today http://www. instantgo.com pic.twitter.com/fNDxKivTn8";;;;"1011662965630783493";https://twitter.com/goinstantgo/status/1011662965630783493
goinstantgo;2018-06-25 18:27;0;1;"Encantado de tener la genial @Valentina_Astro en Instantgo. Asegúrate de mirar su último video ahora https://www. youtube.com/watch?v=7mV3Lp uuNIk … y conectarte con Valentina para todas tus preguntas aquí https://www. instantgo.com/valentina.astr al …";;@Valentina_Astro;;"1011375405205467138";https://twitter.com/goinstantgo/status/1011375405205467138
