username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
InsurTechRising;2018-12-11 14:54;0;0;"Did you know that the amount of data we created over the course of the entire year 2000 is now created over the course of a day? http:// spr.ly/6012EEaZi @insurersAI #InsurTechRising pic.twitter.com/mVd5AdfxQa";;@insurersAI;#InsurTechRising;"1072580467508109312";https://twitter.com/InsurTechRising/status/1072580467508109312
QuarksNova;2018-11-30 03:02;0;0;"#AI is now a major part of every existing industry. Do visit http:// qtsolv.com / for development and integration of #AI , #appdevelopment , and custom #softwaredevelopment services.";;;#AI #AI #appdevelopment #softwaredevelopment;"1068415035058180096";https://twitter.com/QuarksNova/status/1068415035058180096
InsurTechRising;2018-11-28 18:05;1;0;"Did you know that the amount of data we created over the course of the entire year 2000 is now created over the course of a day? Read more here >> http:// spr.ly/6019E6XJP @insurersAI";;@insurersAI;;"1067917390627962880";https://twitter.com/InsurTechRising/status/1067917390627962880
InsurTechRising;2018-11-27 15:29;0;0;"Did you know that the amount of data we created over the course of the entire year 2000 is now created over the course of a day? http:// spr.ly/6012EEaZi @insurersAI pic.twitter.com/z5wieAcKlF";;@insurersAI;;"1067515671117000707";https://twitter.com/InsurTechRising/status/1067515671117000707
InsurTechRising;2018-11-12 17:00;0;0;"Did you know that the amount of data we created over the course of the entire year 2000 is now created over the course of a day? http:// spr.ly/6019E6XJP @insurersAI pic.twitter.com/0jMQV87XW2";;@insurersAI;;"1062102741164679170";https://twitter.com/InsurTechRising/status/1062102741164679170
caroljmcdonald;2018-09-12 16:21;0;0;"“How Artificial Intelligence is changing the Insurance Business” by @insurersAI https:// medium.com/@insurersAI/ho w-artificial-intelligence-is-changing-the-insurance-business-a1c539623c35 …";;@insurersAI @insurersAI;;"1039972244246724608";https://twitter.com/caroljmcdonald/status/1039972244246724608
InsurTechRising;2018-07-05 12:45;0;0;"Did you know that the amount of data we created over the course of the entire year 2000 is now created over the course of a day? http:// spr.ly/6014DYY86 @insurersAI pic.twitter.com/iSgJHrBnAO";;@insurersAI;;"1014913046786068481";https://twitter.com/InsurTechRising/status/1014913046786068481
InsurTechRising;2018-06-28 06:40;0;0;"Did you know that the amount of data we created over the course of the entire year 2000 is now created over the course of a day? http:// spr.ly/6018DYc7E @insurersAI pic.twitter.com/p5hG73J5RL";;@insurersAI;;"1012284478096633863";https://twitter.com/InsurTechRising/status/1012284478096633863
InsurTechRising;2018-06-21 09:20;3;5;"Did you know that the amount of data we created over the course of the entire year 2000 is now created over the course of a day? http:// spr.ly/6016DYcfu @insurersAI pic.twitter.com/Y7hW76saGx";;@insurersAI;;"1009788029991641090";https://twitter.com/InsurTechRising/status/1009788029991641090
InsurTechRising;2018-06-14 13:50;3;5;"Did you know that the amount of data we created over the course of the entire year 2000 is now created over the course of a day? http:// spr.ly/6010DYjcg @insurersAI pic.twitter.com/mGcjvSCncB";;@insurersAI;;"1007319259293343744";https://twitter.com/InsurTechRising/status/1007319259293343744
