username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
webuild_bots;2018-12-07 02:02;0;1;"Andy Beckley of @PwC met with our very own CEO @coupmedia_paul to find out how we turbocharge #customerservice using #Chatbots and #AI ⇢ https:// buff.ly/2ATVPyg #TechNews pic.twitter.com/rInLNZqhHn";;@PwC @coupmedia_paul;#customerservice #Chatbots #AI #TechNews;"1070936455734808576";https://twitter.com/webuild_bots/status/1070936455734808576
meenaminx;2018-12-06 07:14;2;3;"Great to see one of @OracleStartup second cohort CEO @coupmedia_paul pitching @SiliconGorge @bristech pic.twitter.com/smhRt6z18f";;@OracleStartup @coupmedia_paul @SiliconGorge @bristech;;"1070652720250535936";https://twitter.com/meenaminx/status/1070652720250535936
Jessica_A_Poole;2018-12-05 12:37;0;0;"@coupmedia_paul";;@coupmedia_paul;;"1070371481367076865";https://twitter.com/Jessica_A_Poole/status/1070371481367076865
wbb_paul;2018-11-05 13:14;0;0;"Umm not too sure. Tomorrow maybe? It’ll be hard to miss once it’s aired because we’ll be all over it :)";;;;"1059509331224379393";https://twitter.com/wbb_paul/status/1059509331224379393
wbb_paul;2018-11-05 13:13;0;0;"#WebSummit2018 pic.twitter.com/GVJbbHzAf5";;;#WebSummit2018;"1059508968110899200";https://twitter.com/wbb_paul/status/1059508968110899200
webuild_bots;2018-11-04 14:20;3;4;"5 ways #AI wins employee of the month featuring our very own CEO @coupmedia_paul ⇢ https:// buff.ly/2QP57CU #businessdevelopment #tech #chatbots #customerservice pic.twitter.com/WPt10gmaVJ";;@coupmedia_paul;#AI #businessdevelopment #tech #chatbots #customerservice;"1059163381138186242";https://twitter.com/webuild_bots/status/1059163381138186242
SETsquared_Br;2018-11-02 11:29;0;0;"how exciting - when can we watch this?";;;;"1058380591551447041";https://twitter.com/SETsquared_Br/status/1058380591551447041
webuild_bots;2018-11-02 08:26;2;10;"Our very own CEO @coupmedia_paul is currently being interviewed by @ITVWales ! #tech #AI #chatbots #technews pic.twitter.com/XYbSr0nEct";;@coupmedia_paul @ITVWales;#tech #AI #chatbots #technews;"1058334431042289671";https://twitter.com/webuild_bots/status/1058334431042289671
webuild_bots;2018-11-01 02:42;0;0;"#TBT #Botcast Ep.4 with our very own CEO @coupmedia_paul . We talk to Paul microservices, rapid growth & why #bots are so beneficial to businesses. #DigitalTransformation #AI #Chatbots Listen & Subscribe here ⇢ https:// buff.ly/2PITSv4 pic.twitter.com/XeQUVBdj30";;@coupmedia_paul;#TBT #Botcast #bots #DigitalTransformation #AI #Chatbots;"1057885461023244289";https://twitter.com/webuild_bots/status/1057885461023244289
webuild_bots;2018-10-12 06:31;0;1;"Our very own CEO @coupmedia_paul talks to @ceotodaymag about how #Chatbots are revolutionising #CustomerService & #CustomerExperience ⇢ https:// buff.ly/2yzCu4p #CX #Entrepreneurship pic.twitter.com/7gHVDU4TGI";;@coupmedia_paul @ceotodaymag;#Chatbots #CustomerService #CustomerExperience #CX #Entrepreneurship;"1050695501371330560";https://twitter.com/webuild_bots/status/1050695501371330560
