username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
EffWorks;2018-11-28 10:01;0;0;"Watch a short interview with Rob McInerney of @IntelligentX_ai who uses #AI to put the customer at the centre of his beer brewing business: http:// bit.ly/2x7JYvl #EffWeek #EffWorks pic.twitter.com/chYsV1VvgE";;@IntelligentX_ai;#AI #EffWeek #EffWorks;"1067795519752335360";https://twitter.com/EffWorks/status/1067795519752335360
iamstartacus;2018-11-20 13:58;0;0;"Beer that learns! Beer recipes that adapt to the consumer using AI thanks to @IntelligentX_ai Brewing and their AI beer Cheer for the recommendation & tester can @msrsan :) https:// startacus.net/culture/intell igentx-brewing-and-ai-beer#.W_RYwZP7T-Y …";;@IntelligentX_ai @msrsan;#;"1064956137609543680";https://twitter.com/iamstartacus/status/1064956137609543680
EffWorks;2018-11-09 08:00;0;1;"Watch #AI , AR and VR in the hands of experts at #EffWeek 2017 http:// bit.ly/2x8Xzm4 with @The_IPA President @SarahGoldingLDN of @theandpartnershiplondon @ExpWithGoogle @IntelligentX_ai @MillChannel @RGA pic.twitter.com/tLKJsDYC1o";;@The_IPA @SarahGoldingLDN @theandpartnershiplondon @ExpWithGoogle @IntelligentX_ai @MillChannel @RGA;#AI #EffWeek;"1060879855930220544";https://twitter.com/EffWorks/status/1060879855930220544
EffWorks;2018-11-06 10:25;0;0;"Watch a short interview with Rob McInerney of @IntelligentX_ai who uses #AI to brew better beer: http:// bit.ly/2OCXRrC #EffWeek #EffWorks pic.twitter.com/w1j1c3K7Nd";;@IntelligentX_ai;#AI #EffWeek #EffWorks;"1059829037042933761";https://twitter.com/EffWorks/status/1059829037042933761
EffWorks;2018-11-05 19:10;0;0;"Watch #AI , AR and VR in the hands of experts at #EffWeek 2017 http:// bit.ly/2x8Xzm4 with @The_IPA President @SarahGoldingLDN of @theandpartnershiplondon @ExpWithGoogle @IntelligentX_ai @MillChannel @RGA pic.twitter.com/5nOKJvrIcs";;@The_IPA @SarahGoldingLDN @theandpartnershiplondon @ExpWithGoogle @IntelligentX_ai @MillChannel @RGA;#AI #EffWeek;"1059598778750132224";https://twitter.com/EffWorks/status/1059598778750132224
vufrancois;2018-11-03 13:22;0;1;"Issue #16: Early Pitch Deck @magicleap , Side-Hustles @Hustle_Says, Battle for Home @benthompson , Putting Creatives On @thecreativeindp , AR Workspace @spatialxr , Beer that Learns @IntelligentX_ai , Music by @SammHenshaw , @LoyleCarner , and @TomMisch https://www. vufrancois.com/cowboyb3bop/is sue-16 …";;@magicleap @Hustle_Says @benthompson @thecreativeindp @spatialxr @IntelligentX_ai @SammHenshaw @LoyleCarner @TomMisch;#16;"1058771450688126978";https://twitter.com/vufrancois/status/1058771450688126978
wearelegalgeek;2018-10-17 11:10;1;2;"FREE Beer! Remember to grab an @IntelligentX_ai beer, courtesy of @TRLegalUKI , on the way into our final session on 'Investment & Incubators' starting at 5.00pm on the main stage";;@IntelligentX_ai @TRLegalUKI;;"1052577473949458434";https://twitter.com/wearelegalgeek/status/1052577473949458434
santirojascarro;2018-10-17 10:50;0;2;"The best pitch at #legalgeek .. smart beer @IntelligentX_ai pic.twitter.com/3mFlVt0MZF";;@IntelligentX_ai;#legalgeek;"1052572609194397696";https://twitter.com/santirojascarro/status/1052572609194397696
AffineFinance;2018-10-16 15:17;0;0;"Fascinating times!";;;;"1052277280796422145";https://twitter.com/AffineFinance/status/1052277280796422145
apecreative;2018-10-16 07:01;1;2;"In 3 years time, which challenger brands will we be calling seriously impressive? Read our latest Ape Say article on Taste Changers feat @SiloBrighton @IntelligentX_ai http:// bit.ly/2pOOTgP #challengerbrands #tastechangers pic.twitter.com/xt7ssoLVYz";;@SiloBrighton @IntelligentX_ai;#challengerbrands #tastechangers;"1052152583148765184";https://twitter.com/apecreative/status/1052152583148765184
bryangwilson;2018-10-08 16:23;0;0;"Worlds collide: . @IntelligentX_ai uses #AI (probably #ML ?) to brew #beer that is customized to your palate. https:// get.intelligentx.ai /";;@IntelligentX_ai;#AI #ML #beer;"1049394871855923200";https://twitter.com/bryangwilson/status/1049394871855923200
KrisVandenberk;2018-10-06 08:35;0;2;"Using artificial intelligence to make beer better. https:// get.intelligentx.ai / by @IntelligentX_ai ... All in the name of science #AI #ArtificialIntelligence";;@IntelligentX_ai;#AI #ArtificialIntelligence;"1048552333750280192";https://twitter.com/KrisVandenberk/status/1048552333750280192
LPKess;2018-10-05 10:36;0;1;"OMG how do we get this @betaworkstudios !??!";;@betaworkstudios;;"1048220272208371713";https://twitter.com/LPKess/status/1048220272208371713
