username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
leonardofiliani;2018-03-12 08:20;1;1;"RT @infocamere : Via @Nova24Tec 'I lavori aumentati dall'automazione' @guidoromeo @intelliresearch @dedwards93 @qz #AI #IA @TEHAmbrosetti @Accentureitalia @IDCItaly #innovazione";;@infocamere @Nova24Tec @guidoromeo @intelliresearch @dedwards93 @qz @TEHAmbrosetti @Accentureitalia @IDCItaly;#AI #IA #innovazione;"973171800556392448";https://twitter.com/leonardofiliani/status/973171800556392448
dedwards93;2018-03-11 13:51;1;1;"@hekiwi1";;@hekiwi1;;"972892892942409728";https://twitter.com/dedwards93/status/972892892942409728
infocamere;2018-03-11 07:29;19;24;"Via @Nova24Tec 'I lavori aumentati dall'automazione' @guidoromeo @intelliresearch @dedwards93 @qz #AI #IA @TEHAmbrosetti @Accentureitalia @IDCItaly #innovazione pic.twitter.com/8MgvcMaceq";;@Nova24Tec @guidoromeo @intelliresearch @dedwards93 @qz @TEHAmbrosetti @Accentureitalia @IDCItaly;#AI #IA #innovazione;"972796579756367872";https://twitter.com/infocamere/status/972796579756367872
esticastreserch;2018-01-23 00:36;0;1;"It’s Time To Unlock the Intelligent Virtual Assistant Market: Clear View and Insights of The Market @eGain @IntelliResponse @intelliresearch http:// bit.ly/2G3JfhE";;@eGain @IntelliResponse @intelliresearch;;"955675515972501506";https://twitter.com/esticastreserch/status/955675515972501506
intelliresearch;2017-03-12 09:02;2;0;"Voice and the uncanny valley of AI http:// ben-evans.com/benedictevans/ 2017/2/22/voice-and-the-uncanny-valley-of-ai …";;;;"840910935321645057";https://twitter.com/intelliresearch/status/840910935321645057
bryan_johnson;2017-01-29 15:54;1;4;"Congrats to @Qz & @intelliresearch on their new partnership that will expand reporting & products about AI. https:// qz.com/887545/quartz- has-acquired-intelligentsia-ai-an-artificial-intelligence-research-firm/ …";;@Qz @intelliresearch;;"825809239616667649";https://twitter.com/bryan_johnson/status/825809239616667649
jbtbridge;2017-01-25 16:23;0;0;"Congratulations to @intelliresearch and Helen Edwards! A great addition to QZ! https:// lnkd.in/dnE5KiH";;@intelliresearch;;"824367228397174788";https://twitter.com/jbtbridge/status/824367228397174788
CDOStraightTalk;2017-01-23 11:05;1;0;"To expand reporting & products about #AI @qz now acquires San Fransico based Startup @intelliresearch . PoV @TheGrok ? https:// qz.com/887545/quartz- has-acquired-intelligentsia-ai-an-artificial-intelligence-research-firm/ …";;@qz @intelliresearch @TheGrok;#AI;"823562260178206722";https://twitter.com/CDOStraightTalk/status/823562260178206722
intelliresearch;2017-01-21 19:07;0;1;"https:// qz.com/891784/the-tru th-about-the-crowd-at-trumps-inauguration-in-one-photo/ …";;;;"822958897568714753";https://twitter.com/intelliresearch/status/822958897568714753
intelliresearch;2017-01-21 16:45;0;2;"Over a million protesters across the US marched for women’s rights in a rebuke to President Trump https:// qz.com/891589 via @qz";;@qz;;"822923081358290944";https://twitter.com/intelliresearch/status/822923081358290944
demandjump;2017-01-19 11:44;0;3;"Huge congrats to our friends over at @intelliresearch on their acquisition by @qz !!";;@intelliresearch @qz;;"822122547554697216";https://twitter.com/demandjump/status/822122547554697216
KirkDBorne;2017-01-18 13:05;8;6;". @intelliresearch announces acquisition of https://www. intelligentsia.ai / by Quartz => #AI #MachineIntelligence #MachineLearning at @qz @dedwards93 pic.twitter.com/BC7pBsR2hO";;@intelliresearch @qz @dedwards93;#AI #MachineIntelligence #MachineLearning;"821780499089723392";https://twitter.com/KirkDBorne/status/821780499089723392
mattervc;2017-01-18 12:32;0;0;"A #subscription business is on the way at @qz , which just acquired #AI research startup @intelliresearch http:// bit.ly/2jLeFOS pic.twitter.com/3AfpoyzZq2";;@qz @intelliresearch;#subscription #AI;"821772306234146823";https://twitter.com/mattervc/status/821772306234146823
OwlerAlerts;2017-01-18 10:40;0;0;"Quartz ( @qz ) acquires Intelligentsia ( @intelliresearch ). View #OwlerReport : https://www. owler.com/iaApp/reports/ 587f8b41d2b5973045dbb749/quartz-acquires-intelligentsia.htm?utm_source=twitter&utm_medium=social&utm_campaign=atsr … pic.twitter.com/U2aYYNURDs";;@qz @intelliresearch;#OwlerReport;"821744196532875264";https://twitter.com/OwlerAlerts/status/821744196532875264
intelliresearch;2017-01-18 09:37;14;6;"Quartz has acquired Intelligentsia.ai, an artificial intelligence research firm https:// qz.com/887545 via @qz";;@qz;;"821728331200503809";https://twitter.com/intelliresearch/status/821728331200503809
IamRobertoSasso;2017-01-18 08:02;0;0;"Very interesting!!!";;;;"821704410158034944";https://twitter.com/IamRobertoSasso/status/821704410158034944
jtrow;2017-01-18 07:58;0;0;"Congrats @delaney @intelliresearch https:// twitter.com/delaney/status /821683071170871296 …";;@delaney @intelliresearch;;"821703362391511040";https://twitter.com/jtrow/status/821703362391511040
