username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
IlkkaVertanen;2018-12-16 12:06;0;1;"For me, #Slush18 equals an excellent customer experience! Thanks to @GetJenny 's human-directed AI #chatbot , Slush volunteers were able to focus on enabling the Slush experience by having more boots on the ground and less behind the screen. https:// ilkka.rocks/2Bduirz";;@GetJenny;#Slush18 #chatbot;"1074349941810712576";https://twitter.com/IlkkaVertanen/status/1074349941810712576
IlkkaVertanen;2018-12-12 12:31;1;1;"#Customerexperience is all about micro-moments. Every single touchpoint with the brand must be meaningful. For me, #slush18 managed to nail micro-moments. Also, they did the same for all of their 20 000 attendees. @GetJenny helped just a bit. https:// ilkka.rocks/2Bduirz";;@GetJenny;#Customerexperience #slush18;"1072906678398529542";https://twitter.com/IlkkaVertanen/status/1072906678398529542
getjenny;2018-12-12 11:36;6;6;"Human-directed AI chatbot Jenny automates 2/3 of chat conversations at Slush http:// bit.ly/2EiOifR #slush18 #humandirectedAI #BotWhisperer";;;#slush18 #humandirectedAI #BotWhisperer;"1072893049808871425";https://twitter.com/getjenny/status/1072893049808871425
IlkkaVertanen;2018-12-11 02:48;0;1;"Hauska kuulla! Kiitos kuuluu @suomenyrittajat #botwhisperer porukalle. Erinomaista duunia! Btw, tämä saattaa teitäkin kiinnostaa: https://www. getjenny.com/botwhisperer-c ommunity …";;@suomenyrittajat;#botwhisperer;"1072397683426512897";https://twitter.com/IlkkaVertanen/status/1072397683426512897
ArttuTalvela;2018-12-10 08:52;0;2;"Jenni on ottanut ensimmäisen päivänsä tyynesti tottuneen #asiakaspalvelija 'n elkein. #chatbot saatiin käyttöön todella mutkattomasti! Kiitos @IlkkaVertanen ja @getjenny 'n väki sujuvasta julkaisusta!";;@IlkkaVertanen @getjenny;#asiakaspalvelija #chatbot;"1072126970719338496";https://twitter.com/ArttuTalvela/status/1072126970719338496
getjenny;2018-12-05 03:29;3;3;"@bhalligan in #Slush18 : In a test on their website @HubSpot noticed that people actually liked chatting with a #chatbot more than with a human. Interesting, isn’t?! #humandirectedAI #BotWhisperer pic.twitter.com/FB3e0e64cw";;@bhalligan @HubSpot;#Slush18 #chatbot #humandirectedAI #BotWhisperer;"1070233630042136576";https://twitter.com/getjenny/status/1070233630042136576
mikkorindell;2018-12-05 03:15;3;3;"How to grow your startup to a scale-up? One of the most important things is #CustomerExperience . Looking forward to use this thinking and #Hubspot software in building @getjenny marketing & #BotWhisperer community. #humandirectedAI #Slush18 pic.twitter.com/pgFwKTYwLN";;@getjenny;#CustomerExperience #Hubspot #BotWhisperer #humandirectedAI #Slush18;"1070230091534356480";https://twitter.com/mikkorindell/status/1070230091534356480
getjenny;2018-12-04 17:03;2;6;"Did you know that our Jenny is providing #CustomerService to #Slush18 visitors on @SlushHQ mobile app & website. Even now, just after mid night. Go and test: ”who is Ilkka Paananen?” #humandirectedAI #BotWhisperer";;@SlushHQ;#CustomerService #Slush18 #humandirectedAI #BotWhisperer;"1070076247563223040";https://twitter.com/getjenny/status/1070076247563223040
getjenny;2018-12-04 10:30;1;2;"Did you find or see a #BotWhisperer in #Slush18 during the first event day but didn't have time to talk to us. Learn more about the community project here: http:// bit.ly/2BM5Jn2 #HumandirectedAI";;;#BotWhisperer #Slush18 #HumandirectedAI;"1069977194246668294";https://twitter.com/getjenny/status/1069977194246668294
IlkkaVertanen;2018-12-04 07:21;2;3;"Have you met Jenny? Jenny is the #chatbot helping you on the #Slush18 website and mobile app. Go and have a chat. Then come and have a chat with the @GetJenny team on @MicrosoftSuomi booth. pic.twitter.com/caQknpOQR5";;@GetJenny @MicrosoftSuomi;#chatbot #Slush18;"1069929582294388736";https://twitter.com/IlkkaVertanen/status/1069929582294388736
getjenny;2018-12-04 07:18;4;5;"Just now you can meet #BotWhisperer @IlkkaVertanen within Microsoft booth: Recommended discussion topics: #CustomerService #humandirectedAI Andnaturally, bot whispering. pic.twitter.com/hk0GRJaBzh";;@IlkkaVertanen;#BotWhisperer #CustomerService #humandirectedAI;"1069928950258958336";https://twitter.com/getjenny/status/1069928950258958336
getjenny;2018-12-04 05:27;2;4;"Are you afraid of AI taking your job in the future? Answer this and few other questions in our short #Slush18 questionnaire: http:// fbly.io/l/616tr4 #humandirectedAI #BotWhisperer";;;#Slush18 #humandirectedAI #BotWhisperer;"1069900989661147136";https://twitter.com/getjenny/status/1069900989661147136
getjenny;2018-12-04 05:08;0;1;"Kiitos suosituksesta! :)";;;;"1069896160586928133";https://twitter.com/getjenny/status/1069896160586928133
getjenny;2018-12-04 05:07;1;4;"Have you seen a #BotWhisperer already in #Slush18 ? Today the easiest place to spot one is within @MicrosoftSuomi / @msft4startups booth. More info: http:// getjenny.com/botwhisperer-c ommunity … pic.twitter.com/JKvlZIJQ57";;@MicrosoftSuomi @msft4startups;#BotWhisperer #Slush18;"1069895916495212544";https://twitter.com/getjenny/status/1069895916495212544
AhavaMari;2018-12-04 05:05;3;5;"@KarhunAnnu kertoo chatboteista & @getjenny stä #slush2018 Microsoftin standilla - suosittelen pistäytymään";;@KarhunAnnu @getjenny;#slush2018;"1069895444229177344";https://twitter.com/AhavaMari/status/1069895444229177344
MicrosoftSuomi;2018-12-04 04:52;3;3;"@getjenny helps companies to automate conversations and tasks with chatbots. The solution empowers non-technical people to build intelligent chatbots all over the organisation #microsoftXslush #Slush18";;@getjenny;#microsoftXslush #Slush18;"1069892116590018561";https://twitter.com/MicrosoftSuomi/status/1069892116590018561
IlkkaVertanen;2018-12-04 04:27;1;1;"Time for #Slush18 ! Who's here? Come and meet me and @GetJenny team at @MicrosoftSuomi booth. Eager to tell you about our new #BotWhisperer community for everyone interested in #chatbots and #humandirectedAI . Read more about our community: https:// ilkka.rocks/2AFsM1g pic.twitter.com/lfrxto6ZWl";;@GetJenny @MicrosoftSuomi;#Slush18 #BotWhisperer #chatbots #humandirectedAI;"1069885779067965440";https://twitter.com/IlkkaVertanen/status/1069885779067965440
msft4startups;2018-12-04 03:49;7;6;". @GetJenny is with us at #slush18 ! @t_kinos , the mic is yours! #microsoftxslush pic.twitter.com/2sVBrmG7yL";;@GetJenny @t_kinos;#slush18 #microsoftxslush;"1069876212326166529";https://twitter.com/msft4startups/status/1069876212326166529
getjenny;2018-12-04 03:36;2;4;"You can easily spot our team members whit these #BotWhisperer jerseys! #humandirectedAI #slush18 pic.twitter.com/7KmdQLcTL5";;;#BotWhisperer #humandirectedAI #slush18;"1069873031978340352";https://twitter.com/getjenny/status/1069873031978340352
getjenny;2018-12-04 03:32;2;4;"You can find our team all day within @msft4startups booth close to the Evergreen stage. #Slush18 #microsoftxslush #BotWhisperer #humandirectedAI #customerservice pic.twitter.com/b22EHrx6n9";;@msft4startups;#Slush18 #microsoftxslush #BotWhisperer #humandirectedAI #customerservice;"1069871959473819648";https://twitter.com/getjenny/status/1069871959473819648
mikkorindell;2018-12-04 02:14;0;0;"Great!";;;;"1069852534213349376";https://twitter.com/mikkorindell/status/1069852534213349376
mikkorindell;2018-12-04 02:14;0;1;"Yes I am!";;;;"1069852451933700096";https://twitter.com/mikkorindell/status/1069852451933700096
PenttinenTiia;2018-12-03 17:49;0;1;"Are you there on both days?";;;;"1069725435343355904";https://twitter.com/PenttinenTiia/status/1069725435343355904
Jepu;2018-12-03 13:49;0;1;"Let’s talk tomorrow, I might have few candidates for you guys!";;;;"1069665040289226752";https://twitter.com/Jepu/status/1069665040289226752
mikkorindell;2018-12-03 13:45;1;3;"I’m looking for marketing talent who could join @getjenny team during H1 2019. If you are interested in joining us and able to help our team to build a scalable marketing engine, happy to have a chat durin #Slush18 !! Content specialist & paid media specialist needed.";;@getjenny;#Slush18;"1069664027754803201";https://twitter.com/mikkorindell/status/1069664027754803201
IlkkaVertanen;2018-12-03 12:03;2;3;"Just few more hours to go before #Slush18 ! Meet @GetJenny team at Microsoft's booth tomorrow. We are the team with cool jerseys. Meet us because: - We are recruiting - We are launching our new #BotWhisperer community - Let's chat about #humandirectedAI https:// ilkka.rocks/2AFsM1g pic.twitter.com/yse7rcWCC1";;@GetJenny;#Slush18 #BotWhisperer #humandirectedAI;"1069638148928475136";https://twitter.com/IlkkaVertanen/status/1069638148928475136
getjenny;2018-12-03 10:00;2;5;"Hey #slush18 attendee interested in #CustomerExperience and #chatbots . Find our #BotWhisperer in #Slush18 and join our community. #humandirectedAI http:// bit.ly/2RoqN8Q";;;#slush18 #CustomerExperience #chatbots #BotWhisperer #Slush18 #humandirectedAI;"1069607298602012672";https://twitter.com/getjenny/status/1069607298602012672
ZuzuDotAI;2018-12-03 04:09;0;0;"RT @getjenny : Check out the case study about automating @SlushHQ customer service during last years event. http:// bit.ly/2BLm2R7 #humandirectedAI #Slush18 #chatbots #AI";;@getjenny @SlushHQ;#humandirectedAI #Slush18 #chatbots #AI;"1069519018179117057";https://twitter.com/ZuzuDotAI/status/1069519018179117057
getjenny;2018-12-03 04:05;1;2;"Check out the case study about automating @SlushHQ customer service during last years event. http:// bit.ly/2BLm2R7 #humandirectedAI #Slush18 #chatbots #AI";;@SlushHQ;#humandirectedAI #Slush18 #chatbots #AI;"1069517848236707840";https://twitter.com/getjenny/status/1069517848236707840
AurabearGrowth;2018-12-02 12:27;0;0;"@getjenny";;@getjenny;;"1069281954808369155";https://twitter.com/AurabearGrowth/status/1069281954808369155
getjenny;2018-12-02 07:48;3;8;"Hey #customerexperience professionals, have you heard about bot whispering yet? Shortly, this is the process of non-technical customer service people easily training AI #chatbots . Join our #BotWhisperer Community. #Slush18 #humandirectedAI http:// bit.ly/2KNWzcX";;;#customerexperience #chatbots #BotWhisperer #Slush18 #humandirectedAI;"1069211580129296384";https://twitter.com/getjenny/status/1069211580129296384
getjenny;2018-12-02 06:47;0;0;"Thank you for the mention. Our team is really looking forward to meet you and work together during #Slush18 .";;;#Slush18;"1069196407083536384";https://twitter.com/getjenny/status/1069196407083536384
getjenny;2018-12-02 06:02;4;10;"This is the case study from the cooperation with @SlushHQ and @Ninchat . Our team is looking forward to share some updated data from #Slush18 as well. http:// bit.ly/2KNFvUq #humandirectedAI";;@SlushHQ @Ninchat;#Slush18 #humandirectedAI;"1069184909955276800";https://twitter.com/getjenny/status/1069184909955276800
getjenny;2018-12-02 05:52;0;0;"This is cool! #Slush18";;;#Slush18;"1069182489430814721";https://twitter.com/getjenny/status/1069182489430814721
getjenny;2018-12-02 05:19;0;2;"We are in great company here! #Slush18";;;#Slush18;"1069174271384215558";https://twitter.com/getjenny/status/1069174271384215558
Ninchat;2018-11-30 09:25;3;14;"Ready for Slush? Ninchat and @GetJenny powering again the communication at Slush. See you in Messukeskus at booth C.15 on Tue, Dec 4th! #slush #slush2018 #slush18 @SlushHQ pic.twitter.com/LtsJinDAyQ";;@GetJenny @SlushHQ;#slush #slush2018 #slush18;"1068511411591135235";https://twitter.com/Ninchat/status/1068511411591135235
mikkorindell;2018-11-28 12:54;2;1;"Hyvällä kulmalla liikenteessä. Myös @getjenny yrittäjineen bongattavissa näissä kuvioissa! ##slush18 #BotWhisperer https:// twitter.com/MicrosoftSuomi /status/1065183041012842496 …";;@getjenny;# #slush18 #BotWhisperer;"1067839077955903490";https://twitter.com/mikkorindell/status/1067839077955903490
msft4startups;2018-11-20 05:59;5;3;"With @getjenny , companies quickly and easily teach, deploy, and maintain human-directed AI to every communication channel, in over 50 languages. Customer service people can focus on life experience tasks and use Jenny for more common tasks. Check them out! https://www. getjenny.com / pic.twitter.com/DMCQf3Oseg";;@getjenny;;"1064835494880587776";https://twitter.com/msft4startups/status/1064835494880587776
