username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
talentwunder;2018-12-28 06:37;0;0;"Wir veranstalten ein neues Webinar am 17.01.! Mit @thejobpal , @jobUFOapp & @truffls sprechen wir über den Wandel des Arbeitsmarktes sowie neue digitale Kanäle im Recruiting. Jetzt anmelden: https:// zoom.us/webinar/regist er/4315447145529/WN_m8n8R3-WSF-TsKtuTCkstw … pic.twitter.com/Ijul6g8uzQ";;@thejobpal @jobUFOapp @truffls;;"1078615885458358272";https://twitter.com/talentwunder/status/1078615885458358272
thejobpal;2018-12-19 07:34;0;1;"You want to learn more about #recruiting #chatbots ? We have the perfect two-minute introduction for you: https:// jobpal.ai/en/blog/introd uction-recruiting-chatbots/ …";;;#recruiting #chatbots;"1075368749560225792";https://twitter.com/thejobpal/status/1075368749560225792
jobUFOapp;2018-12-18 07:34;7;13;"Am 17.1. um 9:00 Uhr stellen wir gemeinsam mit @talentwunder @thejobpal und @truffls das #Recruiting der Zukunft vor. Jetzt zum kostenlosen #Webinar anmelden: http:// bit.ly/RecruitingInno vation … #HR #Bewerbung #CandidateExperience #CandidateJourney #Innovation #Digitalisierung #Personal pic.twitter.com/BtSJWMZtx9";;@talentwunder @thejobpal @truffls;#Recruiting #Webinar #HR #Bewerbung #CandidateExperience #CandidateJourney #Innovation #Digitalisierung #Personal;"1075006291460976640";https://twitter.com/jobUFOapp/status/1075006291460976640
thejobpal;2018-12-14 09:32;0;1;"Im neuen Jahr gibt es wieder ein Recruiting Innovation Webinar mit @talentwunder . 17.01., save the date! Mehr infos und Anmeldung unter https:// zoom.us/webinar/regist er/8315447143674/WN_m8n8R3-WSF-TsKtuTCkstw … https:// twitter.com/talentwunder/s tatus/1073567343878524929 …";;@talentwunder;;"1073586557070790656";https://twitter.com/thejobpal/status/1073586557070790656
talentwunder;2018-12-14 08:16;6;12;"Wir veranstalten ein neues Webinar am 17.01.! Mit @thejobpal , @jobUFOapp & @truffls sprechen wir über den Wandel des Arbeitsmarktes sowie neue digitale Kanäle im Recruiting. Jetzt anmelden: https:// zoom.us/webinar/regist er/4315447145529/WN_m8n8R3-WSF-TsKtuTCkstw … pic.twitter.com/N7Dl0dWpaL";;@thejobpal @jobUFOapp @truffls;;"1073567343878524929";https://twitter.com/talentwunder/status/1073567343878524929
thejobpal;2018-12-11 06:24;1;1;"Employer Branding is no longer optional — With digital transformation, priorities shift more towards culture and the perception of your company. Learn how you can use Employer branding to your advantage in our blog post: https:// jobpal.ai/en/blog/employ er-branding-no-longer-nice-to-have/ …";;;;"1072451959377092609";https://twitter.com/thejobpal/status/1072451959377092609
thejobpal;2018-11-29 10:04;0;1;"Improved Candidate Experience, efficient processes, more time to spend with talents — Read more about how chatbots can enhance #recruiting processes: https:// jobpal.ai/en/blog/how-ch atbots-enhance-recruiting/ …";;;#recruiting;"1068158694020587526";https://twitter.com/thejobpal/status/1068158694020587526
ZP_Universe;2018-11-27 05:14;0;2;"Zu den glücklichen Gewinnern zählen @Instahelp_me @peopleForecast @StackFuelHQ @thejobpal @wbsakademie @SAP und SSZ Beratung";;@Instahelp_me @peopleForecast @StackFuelHQ @thejobpal @wbsakademie @SAP;;"1067361066886340608";https://twitter.com/ZP_Universe/status/1067361066886340608
UweSchu00765363;2018-11-21 11:33;0;0;"Gibt es ein link zu diesem Vortrag?";;;;"1065282091015962624";https://twitter.com/UweSchu00765363/status/1065282091015962624
Nazruli60294092;2018-11-18 06:27;0;0;"Thanks";;;;"1064117933314457600";https://twitter.com/Nazruli60294092/status/1064117933314457600
